Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[40, 21, 13, 39, 5]",0.74,0.0,0.0
combo_1,"[40, 21, 15, 44, 41]",0.82,0.7,0.6
combo_2,"[40, 23, 29, 37, 42]",0.8,0.72,0.7
combo_3,"[40, 21, 13, 12, 41]",0.8,0.0,0.0
combo_4,"[40, 14, 27, 46, 5]",0.68,0.0,0.0
combo_5,"[40, 21, 34, 9, 43]",0.8,0.64,0.62
combo_6,"[40, 16, 18, 9, 36]",0.94,0.0,0.0
combo_7,"[40, 21, 34, 50, 5]",0.78,0.6,0.5
combo_8,"[40, 26, 34, 31, 41]",0.76,0.64,0.58
combo_9,"[40, 16, 20, 37, 36]",0.86,0.0,0.0
combo_10,"[40, 21, 20, 6, 36]",0.8,0.0,0.0
combo_11,"[40, 26, 34, 3, 43]",0.68,0.62,0.48
combo_12,"[40, 22, 15, 49, 42]",0.76,0.7,0.66
combo_13,"[40, 19, 29, 47, 42]",0.74,0.0,0.0
combo_14,"[40, 21, 17, 25, 5]",0.78,0.0,0.0
combo_15,"[40, 35, 27, 3, 36]",0.7,0.6,0.46
combo_16,"[40, 14, 20, 50, 5]",0.72,0.0,0.0
combo_17,"[40, 26, 18, 11, 36]",0.64,0.0,0.0
combo_18,"[40, 22, 29, 31, 41]",0.76,0.0,0.0
combo_19,"[40, 23, 13, 4, 5]",0.72,0.56,0.44
combo_20,"[40, 16, 29, 51, 5]",0.76,0.0,0.0
combo_21,"[40, 35, 34, 3, 36]",0.86,0.78,0.58
combo_22,"[40, 21, 15, 30, 5]",0.86,0.62,0.5
combo_23,"[40, 26, 15, 46, 5]",0.68,0.56,0.48
combo_24,"[40, 14, 29, 1, 41]",0.64,0.0,0.0
combo_25,"[40, 26, 15, 1, 43]",0.66,0.58,0.52
combo_26,"[40, 21, 13, 49, 5]",0.76,0.0,0.0
combo_27,"[40, 16, 13, 30, 41]",0.76,0.0,0.0
combo_28,"[40, 22, 15, 39, 36]",0.78,0.66,0.6
combo_29,"[40, 26, 20, 38, 36]",0.74,0.0,0.0
combo_30,"[40, 35, 29, 10, 43]",0.8,0.64,0.66
combo_31,"[40, 26, 13, 37, 41]",0.8,0.0,0.0
combo_32,"[40, 26, 15, 2, 42]",0.66,0.58,0.5
combo_33,"[40, 16, 34, 39, 36]",0.92,0.82,0.66
combo_34,"[40, 19, 27, 53, 36]",0.68,0.0,0.0
combo_35,"[40, 35, 15, 44, 42]",0.88,0.84,0.78
combo_36,"[40, 21, 13, 50, 43]",0.66,0.0,0.0
combo_37,"[40, 16, 18, 10, 42]",0.9,0.0,0.0
combo_38,"[40, 16, 20, 50, 42]",0.78,0.0,0.0
combo_39,"[40, 26, 20, 1, 42]",0.68,0.0,0.0
combo_40,"[40, 22, 18, 49, 43]",0.76,0.0,0.0
combo_41,"[40, 22, 13, 10, 5]",0.82,0.0,0.0
combo_42,"[40, 14, 17, 3, 5]",0.72,0.0,0.0
combo_43,"[40, 14, 13, 50, 43]",0.7,0.0,0.0
combo_44,"[40, 19, 20, 49, 5]",0.88,0.0,0.0
combo_45,"[40, 19, 17, 47, 36]",0.82,0.0,0.0
combo_46,"[40, 35, 27, 1, 42]",0.66,0.62,0.48
combo_47,"[40, 14, 13, 24, 42]",0.7,0.0,0.0
combo_48,"[40, 19, 15, 39, 5]",0.9,0.62,0.54
combo_49,"[40, 35, 18, 48, 43]",0.82,0.7,0.66
combo_50,"[40, 23, 17, 4, 43]",0.8,0.7,0.6
combo_51,"[40, 26, 34, 37, 36]",0.72,0.62,0.58
combo_52,"[40, 22, 34, 31, 41]",0.82,0.7,0.66
combo_53,"[40, 14, 27, 39, 5]",0.7,0.0,0.0
combo_54,"[40, 19, 13, 48, 5]",0.76,0.0,0.0
combo_55,"[40, 19, 15, 30, 43]",0.82,0.72,0.66
combo_56,"[40, 35, 20, 11, 36]",0.74,0.6,0.52
combo_57,"[40, 22, 13, 52, 5]",0.76,0.0,0.0
combo_58,"[40, 35, 27, 4, 5]",0.68,0.52,0.42
combo_59,"[40, 21, 15, 53, 41]",0.8,0.72,0.66
combo_60,"[40, 19, 18, 11, 36]",0.74,0.0,0.0
combo_61,"[40, 35, 20, 11, 42]",0.7,0.7,0.58
combo_62,"[40, 16, 13, 45, 42]",0.68,0.0,0.0
combo_63,"[40, 35, 13, 2, 5]",0.72,0.56,0.44
combo_64,"[40, 22, 18, 2, 5]",0.72,0.0,0.0
combo_65,"[40, 19, 34, 44, 42]",0.82,0.72,0.64
combo_66,"[40, 23, 20, 32, 5]",0.82,0.64,0.54
combo_67,"[40, 23, 17, 32, 43]",0.84,0.74,0.7
combo_68,"[40, 22, 27, 11, 41]",0.68,0.0,0.0
