Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[4, 14, 18, 3, 8]",1.0,0.92,0.86
combo_1,"[4, 13, 10, 3, 9]",0.86,0.8,0.8
combo_2,"[4, 14, 10, 11, 7]",1.0,0.96,0.94
combo_3,"[4, 13, 2, 19, 8]",0.96,0.94,0.84
combo_4,"[4, 16, 17, 11, 5]",0.9,0.74,0.68
combo_5,"[4, 1, 2, 12, 9]",0.88,0.86,0.82
combo_6,"[4, 1, 10, 12, 8]",1.0,0.96,0.88
combo_7,"[4, 14, 2, 12, 6]",0.88,0.92,0.8
combo_8,"[4, 16, 18, 12, 7]",1.0,0.86,0.78
combo_9,"[4, 13, 10, 11, 8]",1.0,0.94,0.92
combo_10,"[4, 14, 2, 12, 5]",0.92,0.9,0.86
combo_11,"[4, 14, 17, 19, 9]",0.84,0.64,0.64
combo_12,"[4, 14, 18, 11, 8]",0.96,0.86,0.88
combo_13,"[4, 1, 18, 19, 8]",1.0,0.82,0.78
combo_14,"[4, 15, 18, 19, 7]",1.0,0.8,0.74
combo_15,"[4, 13, 10, 19, 6]",0.9,0.78,0.76
combo_16,"[4, 1, 18, 12, 5]",0.98,0.88,0.8
combo_17,"[4, 14, 2, 3, 5]",0.98,0.98,0.98
combo_18,"[4, 1, 17, 11, 8]",0.96,0.86,0.82
combo_19,"[4, 16, 2, 3, 8]",0.96,0.9,0.88
combo_20,"[4, 16, 17, 20, 8]",0.98,0.64,0.6
combo_21,"[4, 13, 17, 12, 5]",0.9,0.74,0.74
combo_22,"[4, 1, 2, 19, 9]",0.86,0.82,0.74
combo_23,"[4, 1, 2, 20, 9]",0.84,0.74,0.74
combo_24,"[4, 13, 2, 20, 6]",0.86,0.82,0.7
combo_25,"[4, 1, 10, 3, 5]",0.98,0.94,0.96
combo_26,"[4, 14, 2, 19, 8]",1.0,0.92,0.84
combo_27,"[4, 14, 17, 12, 7]",0.98,0.82,0.78
combo_28,"[4, 15, 10, 19, 9]",0.86,0.7,0.64
combo_29,"[4, 13, 2, 20, 7]",0.98,0.9,0.84
combo_30,"[4, 13, 10, 19, 8]",1.0,0.84,0.8
combo_31,"[4, 1, 17, 11, 9]",0.82,0.72,0.7
combo_32,"[4, 16, 18, 19, 5]",0.94,0.68,0.66
combo_33,"[4, 1, 18, 12, 7]",1.0,0.96,0.86
combo_34,"[4, 13, 2, 3, 6]",0.96,0.9,0.88
combo_35,"[4, 13, 2, 12, 9]",0.84,0.8,0.74
combo_36,"[4, 15, 18, 20, 6]",0.9,0.64,0.64
combo_37,"[4, 16, 17, 3, 7]",1.0,0.86,0.78
combo_38,"[4, 13, 18, 3, 6]",0.88,0.8,0.78
combo_39,"[4, 13, 2, 12, 6]",0.88,0.84,0.82
combo_40,"[4, 15, 2, 19, 5]",0.94,0.8,0.78
combo_41,"[4, 14, 2, 19, 9]",0.82,0.82,0.72
combo_42,"[4, 14, 10, 12, 6]",0.88,0.82,0.78
combo_43,"[4, 14, 2, 3, 7]",1.0,1.0,1.0
combo_44,"[4, 15, 2, 11, 5]",0.94,0.88,0.88
combo_45,"[4, 15, 18, 3, 9]",0.88,0.72,0.74
combo_46,"[4, 14, 18, 20, 5]",0.9,0.76,0.68
combo_47,"[4, 15, 10, 20, 7]",1.0,0.86,0.7
combo_48,"[4, 14, 10, 11, 8]",1.0,0.94,0.92
combo_49,"[4, 16, 18, 11, 6]",0.86,0.68,0.68
combo_50,"[4, 13, 17, 19, 9]",0.82,0.68,0.68
combo_51,"[4, 14, 18, 20, 9]",0.84,0.68,0.64
combo_52,"[4, 14, 18, 3, 7]",1.0,0.96,0.98
combo_53,"[4, 14, 17, 3, 9]",0.86,0.76,0.7
combo_54,"[4, 13, 17, 11, 7]",0.98,0.9,0.86
combo_55,"[4, 14, 2, 19, 6]",0.86,0.8,0.7
combo_56,"[4, 13, 2, 11, 8]",0.98,0.96,0.94
combo_57,"[4, 13, 2, 19, 7]",0.98,0.98,0.88
combo_58,"[4, 13, 18, 3, 5]",0.94,0.88,0.86
combo_59,"[4, 1, 10, 12, 9]",0.94,0.8,0.76
combo_60,"[4, 15, 2, 3, 8]",1.0,0.94,0.96
combo_61,"[4, 14, 10, 20, 9]",0.84,0.68,0.66
combo_62,"[4, 16, 2, 11, 8]",0.96,0.88,0.82
combo_63,"[4, 1, 2, 11, 9]",0.88,0.82,0.86
combo_64,"[4, 14, 18, 11, 6]",0.94,0.78,0.74
combo_65,"[4, 16, 18, 12, 9]",0.84,0.7,0.62
combo_66,"[4, 1, 10, 19, 7]",1.0,0.94,0.88
combo_67,"[4, 14, 18, 12, 6]",0.9,0.76,0.74
combo_68,"[4, 15, 17, 12, 8]",0.98,0.74,0.74
combo_69,"[4, 1, 10, 19, 5]",0.96,0.86,0.84
combo_70,"[4, 13, 18, 12, 9]",0.86,0.74,0.66
combo_71,"[4, 1, 2, 20, 8]",0.96,0.92,0.86
combo_72,"[4, 15, 17, 20, 8]",0.94,0.7,0.64
combo_73,"[4, 14, 10, 3, 7]",1.0,1.0,1.0
combo_74,"[4, 16, 17, 19, 5]",0.96,0.68,0.6
combo_75,"[4, 1, 17, 3, 9]",0.84,0.8,0.76
combo_76,"[4, 13, 2, 3, 8]",1.0,1.0,1.0
combo_77,"[4, 16, 17, 11, 7]",1.0,0.76,0.74
combo_78,"[4, 16, 2, 19, 8]",0.98,0.82,0.7
combo_79,"[4, 16, 10, 11, 5]",0.94,0.8,0.76
combo_80,"[4, 16, 10, 12, 5]",0.96,0.78,0.7
combo_81,"[4, 15, 18, 3, 8]",1.0,0.92,0.82
combo_82,"[4, 15, 17, 12, 9]",0.86,0.68,0.62
combo_83,"[4, 16, 17, 19, 9]",0.82,0.62,0.58
combo_84,"[4, 16, 10, 19, 8]",0.98,0.8,0.68
combo_85,"[4, 15, 2, 12, 7]",1.0,0.94,0.9
combo_86,"[4, 15, 18, 12, 8]",0.96,0.8,0.76
combo_87,"[4, 16, 18, 12, 8]",0.96,0.74,0.72
combo_88,"[4, 1, 2, 12, 7]",1.0,1.0,1.0
combo_89,"[4, 14, 18, 11, 5]",0.9,0.8,0.84
combo_90,"[4, 1, 2, 3, 6]",1.0,0.92,0.98
combo_91,"[4, 13, 10, 11, 9]",0.82,0.8,0.76
combo_92,"[4, 15, 10, 11, 5]",0.94,0.84,0.8
combo_93,"[4, 15, 10, 19, 5]",0.96,0.78,0.68
combo_94,"[4, 16, 10, 11, 7]",1.0,0.9,0.88
combo_95,"[4, 13, 2, 11, 9]",0.9,0.78,0.82
combo_96,"[4, 13, 18, 3, 9]",0.88,0.8,0.76
combo_97,"[4, 15, 18, 12, 5]",0.94,0.78,0.7
combo_98,"[4, 13, 17, 19, 7]",1.0,0.8,0.78
combo_99,"[4, 16, 17, 19, 8]",0.94,0.64,0.68
