Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[23, 3, 25]",1.0,0.94,0.94
combo_1,"[23, 22, 10]",1.0,1.0,1.0
combo_2,"[23, 22, 25]",1.0,1.0,1.0
combo_3,"[23, 4, 27]",1.0,0.88,0.9
combo_4,"[23, 22, 12]",1.0,1.0,1.0
combo_5,"[23, 16, 27]",1.0,0.88,0.84
combo_6,"[23, 19, 10]",1.0,0.86,0.82
combo_7,"[23, 20, 24]",1.0,1.0,1.0
combo_8,"[23, 2, 11]",1.0,0.96,0.96
combo_9,"[23, 4, 14]",1.0,1.0,1.0
combo_10,"[23, 22, 26]",1.0,1.0,1.0
combo_11,"[23, 21, 14]",1.0,1.0,1.0
combo_12,"[23, 18, 14]",1.0,0.98,1.0
combo_13,"[23, 20, 26]",1.0,1.0,0.98
combo_14,"[23, 21, 13]",1.0,0.96,0.98
combo_15,"[23, 1, 11]",1.0,1.0,0.94
combo_16,"[23, 3, 11]",0.98,0.88,0.9
combo_17,"[23, 21, 12]",1.0,1.0,1.0
combo_18,"[23, 19, 5]",0.98,0.96,0.9
combo_19,"[23, 18, 25]",1.0,1.0,0.98
combo_20,"[23, 18, 26]",1.0,0.94,0.96
combo_21,"[23, 3, 27]",1.0,0.88,0.92
combo_22,"[23, 16, 8]",1.0,0.96,0.86
combo_23,"[23, 1, 15]",1.0,0.94,0.98
combo_24,"[23, 21, 25]",1.0,1.0,1.0
combo_25,"[23, 18, 11]",1.0,0.92,0.9
combo_26,"[23, 16, 25]",1.0,0.98,0.98
combo_27,"[23, 4, 15]",1.0,0.9,0.92
combo_28,"[23, 21, 7]",1.0,1.0,1.0
combo_29,"[23, 18, 27]",1.0,0.94,0.84
combo_30,"[23, 19, 14]",1.0,0.96,0.96
combo_31,"[23, 16, 13]",0.92,0.8,0.82
combo_32,"[23, 18, 12]",1.0,0.92,0.9
combo_33,"[23, 1, 25]",1.0,1.0,1.0
combo_34,"[23, 20, 11]",0.98,0.94,0.96
combo_35,"[23, 2, 14]",1.0,1.0,1.0
combo_36,"[23, 22, 7]",1.0,1.0,1.0
combo_37,"[23, 19, 15]",0.94,0.9,0.82
combo_38,"[23, 22, 24]",1.0,1.0,1.0
combo_39,"[23, 2, 15]",1.0,0.92,0.96
combo_40,"[23, 21, 11]",1.0,1.0,0.96
combo_41,"[23, 17, 27]",0.98,0.92,0.88
combo_42,"[23, 17, 13]",0.98,0.84,0.84
combo_43,"[23, 4, 13]",1.0,0.84,0.8
combo_44,"[23, 20, 15]",0.98,0.96,0.96
combo_45,"[23, 21, 5]",1.0,1.0,1.0
combo_46,"[23, 2, 26]",1.0,0.98,1.0
combo_47,"[23, 2, 7]",1.0,1.0,1.0
combo_48,"[23, 3, 15]",0.94,0.88,0.86
combo_49,"[23, 1, 13]",0.96,0.9,0.9
combo_50,"[23, 16, 5]",0.96,0.96,0.9
combo_51,"[23, 3, 8]",0.98,0.94,0.86
combo_52,"[23, 3, 6]",0.96,0.92,0.88
combo_53,"[23, 18, 15]",1.0,0.9,0.9
combo_54,"[23, 2, 12]",1.0,1.0,0.94
combo_55,"[23, 17, 6]",0.98,0.94,0.9
combo_56,"[23, 22, 5]",1.0,1.0,1.0
