Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[14, 10, 40, 35, 27]",0.92,0.88,0.8
combo_1,"[14, 18, 32, 1, 26]",1.0,0.86,0.86
combo_2,"[14, 16, 49, 50, 12]",0.76,0.6,0.54
combo_3,"[14, 7, 40, 2, 9]",0.82,0.0,0.0
combo_4,"[14, 8, 11, 42, 20]",0.78,0.54,0.52
combo_5,"[14, 19, 30, 50, 29]",0.84,0.6,0.64
combo_6,"[14, 10, 46, 41, 20]",0.78,0.62,0.54
combo_7,"[14, 16, 30, 41, 25]",0.84,0.68,0.62
combo_8,"[14, 6, 34, 35, 29]",0.96,0.84,0.82
combo_9,"[14, 6, 32, 42, 9]",0.88,0.48,0.4
combo_10,"[14, 15, 46, 41, 12]",0.8,0.58,0.54
combo_11,"[14, 8, 39, 1, 28]",0.86,0.68,0.58
combo_12,"[14, 8, 31, 1, 20]",0.86,0.62,0.56
combo_13,"[14, 18, 46, 50, 28]",0.8,0.62,0.58
combo_14,"[14, 17, 38, 42, 12]",0.8,0.62,0.66
combo_15,"[14, 8, 34, 1, 29]",0.96,0.72,0.72
combo_16,"[14, 16, 47, 2, 24]",0.96,0.8,0.76
combo_17,"[14, 6, 34, 50, 20]",0.82,0.64,0.6
combo_18,"[14, 6, 22, 2, 29]",0.78,0.6,0.56
combo_19,"[14, 6, 40, 41, 26]",0.74,0.58,0.54
combo_20,"[14, 37, 30, 41, 29]",0.82,0.68,0.66
combo_21,"[14, 15, 39, 35, 13]",0.86,0.7,0.74
combo_22,"[14, 7, 22, 36, 12]",0.82,0.56,0.5
combo_23,"[14, 19, 23, 41, 24]",0.78,0.56,0.6
combo_24,"[14, 7, 45, 2, 20]",0.94,0.62,0.54
combo_25,"[14, 15, 48, 1, 27]",0.96,0.72,0.76
combo_26,"[14, 16, 38, 42, 20]",0.8,0.6,0.62
combo_27,"[14, 18, 40, 35, 29]",0.86,0.8,0.74
combo_28,"[14, 19, 47, 36, 20]",0.9,0.62,0.58
combo_29,"[14, 18, 47, 35, 12]",0.88,0.72,0.84
combo_30,"[14, 10, 46, 2, 12]",0.86,0.66,0.62
combo_31,"[14, 37, 44, 42, 29]",0.78,0.64,0.54
combo_32,"[14, 19, 22, 41, 9]",0.7,0.5,0.48
combo_33,"[14, 18, 34, 36, 28]",0.94,0.86,0.84
combo_34,"[14, 19, 39, 41, 27]",0.8,0.64,0.56
combo_35,"[14, 6, 23, 35, 24]",0.84,0.7,0.7
combo_36,"[14, 8, 40, 35, 24]",0.8,0.74,0.66
combo_37,"[14, 8, 32, 1, 24]",1.0,0.72,0.74
combo_38,"[14, 15, 11, 50, 12]",0.78,0.56,0.58
combo_39,"[14, 10, 32, 1, 12]",0.96,0.72,0.72
combo_40,"[14, 15, 43, 41, 24]",0.78,0.62,0.56
combo_41,"[14, 19, 49, 35, 5]",0.78,0.64,0.6
combo_42,"[14, 18, 46, 1, 24]",0.94,0.78,0.76
combo_43,"[14, 6, 40, 2, 12]",0.82,0.58,0.5
combo_44,"[14, 10, 34, 2, 12]",0.9,0.72,0.66
combo_45,"[14, 8, 38, 50, 29]",0.82,0.6,0.56
combo_46,"[14, 37, 21, 50, 20]",0.86,0.6,0.56
combo_47,"[14, 37, 4, 35, 13]",0.9,0.82,0.8
combo_48,"[14, 6, 49, 2, 13]",0.8,0.58,0.52
combo_49,"[14, 18, 43, 42, 20]",0.74,0.58,0.5
combo_50,"[14, 17, 38, 1, 5]",0.9,0.72,0.7
combo_51,"[14, 10, 21, 42, 26]",0.82,0.66,0.62
combo_52,"[14, 16, 32, 1, 28]",0.98,0.74,0.72
combo_53,"[14, 15, 47, 41, 20]",0.8,0.6,0.56
combo_54,"[14, 17, 31, 42, 20]",0.84,0.64,0.58
combo_55,"[14, 10, 46, 41, 25]",0.78,0.64,0.6
combo_56,"[14, 7, 32, 50, 26]",0.88,0.7,0.52
combo_57,"[14, 16, 48, 36, 24]",0.9,0.8,0.82
combo_58,"[14, 10, 39, 36, 12]",0.84,0.7,0.62
combo_59,"[14, 18, 4, 1, 28]",0.94,0.76,0.72
combo_60,"[14, 15, 39, 2, 20]",0.86,0.62,0.6
combo_61,"[14, 6, 38, 42, 5]",0.82,0.48,0.44
combo_62,"[14, 7, 47, 2, 12]",0.9,0.58,0.54
combo_63,"[14, 6, 23, 42, 20]",0.74,0.5,0.46
combo_64,"[14, 7, 4, 2, 24]",1.0,0.76,0.64
combo_65,"[14, 8, 47, 36, 27]",0.92,0.8,0.8
combo_66,"[14, 8, 22, 41, 12]",0.74,0.54,0.52
combo_67,"[14, 10, 39, 42, 28]",0.76,0.6,0.6
combo_68,"[14, 17, 48, 2, 25]",0.88,0.74,0.72
combo_69,"[14, 18, 44, 41, 28]",0.72,0.58,0.52
combo_70,"[14, 10, 38, 35, 5]",0.92,0.72,0.64
combo_71,"[14, 19, 3, 35, 12]",0.86,0.64,0.64
combo_72,"[14, 6, 31, 35, 28]",0.92,0.64,0.64
combo_73,"[14, 7, 3, 41, 26]",0.9,0.0,0.0
combo_74,"[14, 19, 39, 42, 24]",0.82,0.6,0.56
combo_75,"[14, 37, 44, 42, 9]",0.7,0.56,0.5
combo_76,"[14, 15, 48, 41, 12]",0.8,0.56,0.56
combo_77,"[14, 15, 48, 41, 20]",0.8,0.58,0.58
combo_78,"[14, 19, 44, 2, 12]",0.86,0.52,0.56
combo_79,"[14, 6, 21, 36, 20]",0.9,0.6,0.6
combo_80,"[14, 10, 43, 2, 25]",0.82,0.62,0.58
combo_81,"[14, 18, 40, 50, 28]",0.76,0.62,0.56
combo_82,"[14, 37, 48, 1, 12]",0.88,0.68,0.66
combo_83,"[14, 8, 34, 36, 26]",0.94,0.82,0.78
combo_84,"[14, 17, 33, 50, 9]",0.82,0.62,0.64
combo_85,"[14, 17, 40, 35, 24]",0.9,0.88,0.86
combo_86,"[14, 10, 44, 1, 12]",0.86,0.62,0.54
combo_87,"[14, 16, 43, 50, 25]",0.74,0.64,0.56
