Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[19, 6]",1.0,1.0,1.0
combo_1,"[19, 18]",1.0,1.0,1.0
combo_2,"[19, 8]",1.0,1.0,1.0
combo_3,"[19, 20]",1.0,1.0,1.0
combo_4,"[19, 10]",1.0,1.0,1.0
combo_5,"[19, 3]",1.0,1.0,1.0
combo_6,"[19, 9]",1.0,1.0,1.0
combo_7,"[19, 4]",1.0,1.0,1.0
combo_8,"[19, 15]",1.0,1.0,1.0
combo_9,"[19, 13]",1.0,1.0,1.0
combo_10,"[19, 21]",1.0,1.0,1.0
combo_11,"[19, 12]",1.0,1.0,1.0
combo_12,"[19, 22]",1.0,1.0,1.0
combo_13,"[19, 1]",1.0,1.0,1.0
combo_14,"[19, 16]",1.0,1.0,1.0
combo_15,"[19, 11]",1.0,1.0,1.0
combo_16,"[19, 7]",1.0,1.0,1.0
combo_17,"[19, 5]",1.0,1.0,1.0
combo_18,"[19, 17]",1.0,1.0,1.0
combo_19,"[19, 2]",1.0,1.0,1.0
combo_20,"[19, 23]",1.0,1.0,1.0
