Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[7, 1, 11, 19]",0.9,0.94,0.88
combo_1,"[7, 5, 9, 15]",0.98,0.88,0.86
combo_2,"[7, 4, 8, 12]",1.0,1.0,1.0
combo_3,"[7, 5, 13, 12]",0.96,0.84,0.84
combo_4,"[7, 1, 13, 12]",0.92,0.84,0.8
combo_5,"[7, 5, 13, 18]",0.94,0.82,0.84
combo_6,"[7, 4, 13, 10]",1.0,0.92,0.94
combo_7,"[7, 1, 8, 19]",1.0,1.0,1.0
combo_8,"[7, 4, 3, 18]",1.0,0.96,0.92
combo_9,"[7, 1, 8, 15]",0.96,0.9,0.86
combo_10,"[7, 4, 3, 16]",0.96,0.9,0.8
combo_11,"[7, 1, 11, 18]",0.98,0.94,0.98
combo_12,"[7, 1, 14, 17]",0.9,0.86,0.86
combo_13,"[7, 6, 11, 18]",1.0,0.92,0.88
combo_14,"[7, 6, 9, 17]",1.0,0.9,0.9
combo_15,"[7, 4, 8, 19]",1.0,1.0,1.0
combo_16,"[7, 1, 14, 15]",0.94,0.82,0.74
combo_17,"[7, 1, 13, 19]",0.92,0.8,0.82
combo_18,"[7, 2, 3, 19]",0.94,0.84,0.82
combo_19,"[7, 2, 8, 12]",1.0,0.98,0.98
combo_20,"[7, 1, 9, 18]",1.0,1.0,1.0
combo_21,"[7, 6, 14, 19]",0.94,0.8,0.8
combo_22,"[7, 2, 3, 17]",0.96,0.8,0.8
combo_23,"[7, 5, 14, 16]",0.94,0.84,0.84
combo_24,"[7, 6, 9, 19]",1.0,0.86,0.96
combo_25,"[7, 5, 14, 18]",0.94,0.92,0.88
combo_26,"[7, 2, 3, 15]",0.92,0.78,0.74
combo_27,"[7, 2, 9, 16]",0.92,0.94,0.86
combo_28,"[7, 4, 11, 12]",1.0,0.98,1.0
combo_29,"[7, 6, 3, 12]",1.0,0.9,0.84
combo_30,"[7, 2, 9, 18]",0.96,0.94,0.9
combo_31,"[7, 4, 13, 15]",1.0,0.82,0.74
combo_32,"[7, 4, 11, 17]",1.0,0.98,0.92
combo_33,"[7, 5, 14, 17]",0.92,0.92,0.82
combo_34,"[7, 2, 13, 10]",0.88,0.88,0.82
combo_35,"[7, 2, 3, 18]",1.0,0.84,0.82
combo_36,"[7, 5, 14, 10]",0.98,0.96,0.98
combo_37,"[7, 1, 13, 16]",0.98,0.8,0.76
combo_38,"[7, 6, 11, 16]",0.96,0.8,0.76
combo_39,"[7, 1, 3, 10]",1.0,0.94,0.96
combo_40,"[7, 1, 11, 10]",0.98,0.98,1.0
combo_41,"[7, 4, 3, 10]",1.0,1.0,1.0
combo_42,"[7, 5, 11, 17]",0.98,0.94,0.88
combo_43,"[7, 5, 8, 10]",1.0,1.0,1.0
combo_44,"[7, 4, 3, 12]",1.0,0.98,0.98
combo_45,"[7, 5, 11, 10]",1.0,0.98,0.98
combo_46,"[7, 5, 13, 15]",0.98,0.76,0.74
combo_47,"[7, 5, 3, 15]",0.92,0.8,0.72
combo_48,"[7, 2, 13, 12]",0.9,0.86,0.82
combo_49,"[7, 1, 3, 19]",0.96,0.86,0.86
combo_50,"[7, 6, 11, 10]",1.0,0.94,0.98
combo_51,"[7, 2, 13, 18]",0.88,0.82,0.8
combo_52,"[7, 5, 14, 15]",0.96,0.82,0.74
combo_53,"[7, 6, 9, 15]",0.98,0.82,0.78
combo_54,"[7, 6, 3, 10]",1.0,0.92,0.9
combo_55,"[7, 5, 9, 18]",1.0,1.0,1.0
combo_56,"[7, 4, 9, 10]",1.0,1.0,1.0
combo_57,"[7, 6, 11, 12]",1.0,0.9,0.88
combo_58,"[7, 4, 11, 16]",0.98,0.96,0.9
combo_59,"[7, 4, 11, 15]",0.96,0.88,0.8
combo_60,"[7, 1, 9, 10]",1.0,1.0,1.0
combo_61,"[7, 2, 14, 17]",0.9,0.82,0.78
combo_62,"[7, 1, 3, 16]",0.96,0.86,0.8
combo_63,"[7, 4, 13, 12]",0.98,0.96,0.9
combo_64,"[7, 2, 9, 15]",0.92,0.86,0.8
combo_65,"[7, 6, 14, 18]",0.96,0.84,0.84
combo_66,"[7, 4, 9, 16]",1.0,0.98,0.94
combo_67,"[7, 1, 3, 17]",0.98,0.94,0.88
combo_68,"[7, 2, 8, 15]",0.94,0.88,0.88
combo_69,"[7, 4, 11, 10]",1.0,1.0,1.0
combo_70,"[7, 4, 13, 17]",0.98,0.88,0.84
combo_71,"[7, 6, 13, 15]",0.96,0.72,0.7
combo_72,"[7, 4, 13, 16]",0.98,0.86,0.78
combo_73,"[7, 6, 3, 16]",0.98,0.8,0.8
combo_74,"[7, 6, 13, 12]",0.94,0.8,0.8
combo_75,"[7, 5, 8, 18]",1.0,1.0,1.0
combo_76,"[7, 1, 14, 18]",0.92,0.96,0.92
combo_77,"[7, 6, 8, 18]",1.0,0.98,1.0
combo_78,"[7, 2, 13, 16]",0.92,0.76,0.72
combo_79,"[7, 1, 8, 10]",1.0,1.0,1.0
combo_80,"[7, 4, 9, 18]",1.0,1.0,1.0
combo_81,"[7, 1, 13, 10]",0.96,0.92,0.88
combo_82,"[7, 2, 14, 12]",0.94,0.84,0.86
combo_83,"[7, 5, 13, 17]",0.94,0.84,0.82
combo_84,"[7, 1, 3, 15]",0.92,0.78,0.8
combo_85,"[7, 2, 11, 18]",0.94,0.88,0.9
combo_86,"[7, 1, 3, 18]",0.98,0.86,0.9
combo_87,"[7, 5, 11, 19]",0.96,0.94,0.88
combo_88,"[7, 1, 8, 12]",1.0,1.0,1.0
combo_89,"[7, 5, 8, 17]",1.0,1.0,0.98
combo_90,"[7, 6, 9, 10]",1.0,1.0,0.98
combo_91,"[7, 6, 3, 17]",1.0,0.86,0.78
combo_92,"[7, 2, 14, 16]",0.88,0.78,0.7
combo_93,"[7, 6, 13, 18]",0.94,0.78,0.8
combo_94,"[7, 2, 11, 15]",0.9,0.8,0.78
combo_95,"[7, 2, 14, 18]",0.92,0.84,0.88
combo_96,"[7, 4, 11, 19]",0.94,0.96,0.96
combo_97,"[7, 2, 8, 18]",0.98,1.0,1.0
combo_98,"[7, 4, 9, 17]",1.0,1.0,1.0
combo_99,"[7, 6, 8, 19]",1.0,0.98,0.94
