Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[8, 6, 4]",1.0,1.0,1.0
combo_1,"[8, 10, 3]",1.0,1.0,1.0
combo_2,"[8, 10, 4]",1.0,1.0,1.0
combo_3,"[8, 7, 2]",1.0,1.0,1.0
combo_4,"[8, 7, 9]",1.0,1.0,1.0
combo_5,"[8, 6, 3]",1.0,1.0,1.0
combo_6,"[8, 11, 9]",1.0,1.0,1.0
combo_7,"[8, 10, 1]",1.0,1.0,1.0
combo_8,"[8, 11, 1]",1.0,1.0,1.0
combo_9,"[8, 11, 4]",1.0,1.0,1.0
combo_10,"[8, 13, 9]",1.0,1.0,1.0
combo_11,"[8, 13, 2]",1.0,0.98,1.0
combo_12,"[8, 7, 3]",1.0,1.0,1.0
combo_13,"[8, 5, 3]",1.0,1.0,1.0
combo_14,"[8, 10, 12]",1.0,1.0,1.0
combo_15,"[8, 10, 14]",1.0,1.0,1.0
combo_16,"[8, 7, 1]",1.0,1.0,1.0
combo_17,"[8, 5, 2]",1.0,1.0,1.0
combo_18,"[8, 6, 14]",1.0,1.0,1.0
combo_19,"[8, 13, 14]",1.0,0.98,1.0
combo_20,"[8, 6, 2]",1.0,1.0,1.0
combo_21,"[8, 10, 2]",1.0,1.0,1.0
combo_22,"[8, 5, 12]",1.0,1.0,1.0
combo_23,"[8, 7, 14]",1.0,1.0,1.0
combo_24,"[8, 10, 9]",1.0,1.0,1.0
combo_25,"[8, 5, 4]",1.0,1.0,1.0
combo_26,"[8, 13, 4]",1.0,1.0,0.98
combo_27,"[8, 11, 3]",1.0,1.0,1.0
combo_28,"[8, 5, 14]",1.0,1.0,0.98
combo_29,"[8, 13, 1]",1.0,0.98,1.0
combo_30,"[8, 7, 12]",1.0,1.0,1.0
combo_31,"[8, 11, 12]",1.0,1.0,1.0
combo_32,"[8, 6, 9]",1.0,1.0,1.0
combo_33,"[8, 6, 12]",1.0,1.0,1.0
combo_34,"[8, 7, 4]",1.0,1.0,1.0
combo_35,"[8, 6, 1]",1.0,1.0,1.0
combo_36,"[8, 13, 3]",1.0,1.0,1.0
combo_37,"[8, 5, 1]",1.0,0.98,1.0
combo_38,"[8, 11, 2]",1.0,1.0,1.0
combo_39,"[8, 13, 12]",1.0,1.0,1.0
combo_40,"[8, 11, 14]",1.0,1.0,1.0
combo_41,"[8, 5, 9]",1.0,1.0,1.0
