Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[20, 21]",0.92,0.9,0.92
combo_1,"[20, 17]",1.0,1.0,1.0
combo_2,"[20, 7]",1.0,1.0,1.0
combo_3,"[20, 14]",0.8,0.8,0.84
combo_4,"[20, 10]",0.94,0.96,0.96
combo_5,"[20, 13]",0.84,0.84,0.86
combo_6,"[20, 29]",0.88,0.9,0.86
combo_7,"[20, 6]",1.0,1.0,1.0
combo_8,"[20, 28]",0.82,0.82,0.86
combo_9,"[20, 8]",1.0,1.0,1.0
combo_10,"[20, 1]",0.98,1.0,1.0
combo_11,"[20, 34]",0.88,0.9,0.92
combo_12,"[20, 30]",0.94,0.86,0.92
combo_13,"[20, 27]",0.98,0.96,0.98
combo_14,"[20, 19]",1.0,1.0,1.0
combo_15,"[20, 24]",1.0,1.0,1.0
combo_16,"[20, 16]",1.0,0.96,1.0
combo_17,"[20, 2]",1.0,1.0,1.0
combo_18,"[20, 31]",0.92,0.96,0.96
combo_19,"[20, 11]",0.96,0.94,0.96
combo_20,"[20, 32]",0.92,0.94,0.94
combo_21,"[20, 12]",0.9,0.86,0.88
combo_22,"[20, 18]",1.0,1.0,1.0
combo_23,"[20, 33]",0.88,0.86,0.86
combo_24,"[20, 23]",1.0,1.0,1.0
combo_25,"[20, 22]",1.0,1.0,1.0
combo_26,"[20, 15]",0.94,0.84,0.88
combo_27,"[20, 26]",1.0,1.0,1.0
combo_28,"[20, 3]",0.98,0.98,1.0
combo_29,"[20, 4]",1.0,0.98,0.96
combo_30,"[20, 5]",1.0,1.0,1.0
combo_31,"[20, 35]",0.9,0.9,0.9
combo_32,"[20, 25]",1.0,1.0,1.0
combo_33,"[20, 9]",0.98,0.98,1.0
