Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[8, 7, 11]",1.0,1.0,1.0
combo_1,"[8, 3, 11]",1.0,1.0,1.0
combo_2,"[8, 3, 10]",1.0,1.0,1.0
combo_3,"[8, 4, 9]",1.0,0.98,1.0
combo_4,"[8, 13, 5]",1.0,1.0,1.0
combo_5,"[8, 1, 10]",1.0,1.0,1.0
combo_6,"[8, 12, 9]",1.0,1.0,1.0
combo_7,"[8, 12, 11]",1.0,1.0,1.0
combo_8,"[8, 3, 2]",1.0,1.0,1.0
combo_9,"[8, 4, 11]",1.0,1.0,1.0
combo_10,"[8, 13, 9]",1.0,1.0,1.0
combo_11,"[8, 3, 14]",1.0,1.0,1.0
combo_12,"[8, 12, 10]",1.0,1.0,1.0
combo_13,"[8, 1, 6]",1.0,1.0,1.0
combo_14,"[8, 4, 5]",1.0,0.98,1.0
combo_15,"[8, 7, 6]",1.0,1.0,1.0
combo_16,"[8, 3, 5]",1.0,1.0,1.0
combo_17,"[8, 4, 6]",1.0,1.0,1.0
combo_18,"[8, 1, 5]",1.0,1.0,1.0
combo_19,"[8, 7, 2]",1.0,1.0,1.0
combo_20,"[8, 12, 2]",1.0,1.0,0.98
combo_21,"[8, 3, 6]",1.0,1.0,1.0
combo_22,"[8, 1, 9]",1.0,1.0,1.0
combo_23,"[8, 7, 5]",1.0,1.0,1.0
combo_24,"[8, 7, 9]",1.0,1.0,1.0
combo_25,"[8, 12, 14]",1.0,1.0,1.0
combo_26,"[8, 4, 14]",1.0,1.0,1.0
combo_27,"[8, 4, 2]",1.0,1.0,1.0
combo_28,"[8, 13, 14]",1.0,1.0,1.0
combo_29,"[8, 4, 10]",1.0,1.0,1.0
combo_30,"[8, 1, 11]",1.0,1.0,1.0
combo_31,"[8, 13, 11]",1.0,1.0,1.0
combo_32,"[8, 7, 14]",1.0,1.0,1.0
combo_33,"[8, 1, 14]",1.0,1.0,1.0
combo_34,"[8, 7, 10]",1.0,1.0,0.98
combo_35,"[8, 13, 10]",1.0,1.0,1.0
combo_36,"[8, 13, 2]",1.0,1.0,1.0
combo_37,"[8, 1, 2]",1.0,1.0,1.0
combo_38,"[8, 13, 6]",1.0,1.0,1.0
combo_39,"[8, 12, 5]",1.0,1.0,1.0
combo_40,"[8, 3, 9]",1.0,1.0,1.0
combo_41,"[8, 12, 6]",1.0,1.0,1.0
