Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[3, 16, 23, 5, 13]",0.88,0.0,0.0
combo_1,"[3, 1, 23, 5, 13]",0.82,0.6,0.58
combo_2,"[3, 1, 24, 4, 6]",0.96,0.9,0.92
combo_3,"[3, 16, 22, 11, 6]",0.88,0.0,0.0
combo_4,"[3, 7, 19, 8, 14]",0.76,0.58,0.58
combo_5,"[3, 2, 21, 5, 17]",0.88,0.78,0.76
combo_6,"[3, 2, 22, 11, 6]",0.9,0.72,0.72
combo_7,"[3, 7, 23, 5, 13]",0.88,0.62,0.66
combo_8,"[3, 1, 22, 4, 15]",0.88,0.82,0.8
combo_9,"[3, 1, 25, 11, 6]",0.92,0.6,0.0
combo_10,"[3, 2, 24, 8, 9]",0.98,0.92,0.92
combo_11,"[3, 1, 20, 12, 10]",0.76,0.5,0.5
combo_12,"[3, 16, 24, 4, 18]",0.92,0.82,0.84
combo_13,"[3, 2, 23, 12, 13]",0.88,0.54,0.58
combo_14,"[3, 2, 19, 4, 18]",0.86,0.86,0.84
combo_15,"[3, 16, 19, 12, 15]",0.72,0.0,0.0
combo_16,"[3, 2, 19, 8, 18]",0.88,0.78,0.78
combo_17,"[3, 2, 20, 12, 10]",0.78,0.6,0.52
combo_18,"[3, 2, 21, 11, 10]",0.86,0.66,0.64
combo_19,"[3, 2, 21, 11, 17]",0.84,0.74,0.74
combo_20,"[3, 2, 24, 11, 10]",0.98,0.72,0.68
combo_21,"[3, 2, 21, 4, 9]",0.88,0.8,0.76
combo_22,"[3, 16, 20, 11, 6]",0.78,0.0,0.0
combo_23,"[3, 1, 21, 11, 9]",0.82,0.58,0.58
combo_24,"[3, 2, 21, 4, 18]",0.94,0.94,0.94
combo_25,"[3, 7, 25, 12, 14]",0.86,0.5,0.0
combo_26,"[3, 16, 23, 11, 10]",0.92,0.0,0.0
combo_27,"[3, 7, 24, 11, 13]",0.9,0.66,0.62
combo_28,"[3, 1, 23, 5, 15]",0.92,0.7,0.7
combo_29,"[3, 2, 20, 11, 15]",0.8,0.66,0.66
combo_30,"[3, 7, 22, 4, 9]",0.86,0.84,0.8
combo_31,"[3, 1, 24, 11, 18]",1.0,0.78,0.76
combo_32,"[3, 7, 21, 11, 17]",0.82,0.66,0.68
combo_33,"[3, 2, 25, 8, 14]",0.9,0.66,0.0
combo_34,"[3, 16, 20, 5, 13]",0.78,0.0,0.0
combo_35,"[3, 2, 23, 5, 9]",0.92,0.74,0.74
combo_36,"[3, 1, 23, 5, 9]",0.9,0.68,0.66
combo_37,"[3, 1, 22, 8, 18]",1.0,0.84,0.86
combo_38,"[3, 16, 21, 8, 14]",0.78,0.56,0.54
combo_39,"[3, 16, 25, 11, 10]",0.92,0.0,0.0
combo_40,"[3, 16, 24, 11, 10]",0.94,0.0,0.0
combo_41,"[3, 7, 25, 11, 15]",0.86,0.64,0.0
combo_42,"[3, 2, 20, 4, 15]",0.88,0.82,0.8
combo_43,"[3, 1, 22, 4, 18]",0.98,0.92,0.92
combo_44,"[3, 1, 19, 8, 9]",0.76,0.64,0.6
combo_45,"[3, 2, 25, 12, 13]",0.84,0.46,0.0
combo_46,"[3, 1, 25, 5, 13]",0.84,0.54,0.0
combo_47,"[3, 1, 19, 12, 6]",0.7,0.54,0.54
combo_48,"[3, 1, 23, 11, 13]",0.88,0.6,0.6
combo_49,"[3, 7, 20, 8, 18]",0.9,0.78,0.78
combo_50,"[3, 2, 22, 12, 15]",0.76,0.62,0.64
combo_51,"[3, 16, 19, 8, 13]",0.68,0.48,0.5
combo_52,"[3, 1, 21, 11, 14]",0.8,0.54,0.56
combo_53,"[3, 7, 20, 11, 14]",0.76,0.56,0.62
combo_54,"[3, 16, 23, 12, 18]",0.88,0.0,0.0
combo_55,"[3, 1, 25, 4, 10]",0.96,0.7,0.0
combo_56,"[3, 2, 20, 12, 6]",0.74,0.58,0.6
combo_57,"[3, 16, 19, 8, 17]",0.78,0.64,0.56
combo_58,"[3, 7, 22, 4, 6]",0.92,0.84,0.86
combo_59,"[3, 1, 24, 8, 18]",1.0,0.98,0.98
combo_60,"[3, 1, 19, 11, 10]",0.8,0.52,0.54
combo_61,"[3, 2, 23, 8, 9]",0.96,0.84,0.88
combo_62,"[3, 16, 21, 8, 13]",0.78,0.58,0.54
combo_63,"[3, 7, 25, 8, 10]",0.92,0.7,0.0
combo_64,"[3, 7, 19, 12, 6]",0.68,0.56,0.54
combo_65,"[3, 16, 25, 8, 13]",0.86,0.5,0.0
combo_66,"[3, 2, 19, 11, 6]",0.76,0.64,0.62
combo_67,"[3, 1, 21, 8, 15]",0.88,0.78,0.7
combo_68,"[3, 7, 22, 12, 14]",0.8,0.56,0.5
combo_69,"[3, 16, 20, 8, 15]",0.7,0.62,0.58
combo_70,"[3, 2, 23, 5, 18]",1.0,0.9,0.92
combo_71,"[3, 1, 22, 8, 9]",0.86,0.78,0.7
combo_72,"[3, 16, 23, 5, 14]",0.84,0.0,0.0
combo_73,"[3, 16, 20, 4, 6]",0.78,0.7,0.6
combo_74,"[3, 16, 23, 8, 15]",0.82,0.7,0.7
combo_75,"[3, 7, 23, 4, 18]",1.0,1.0,0.96
combo_76,"[3, 2, 21, 8, 17]",0.96,0.86,0.84
combo_77,"[3, 7, 20, 8, 17]",0.86,0.8,0.76
combo_78,"[3, 7, 25, 12, 10]",0.88,0.5,0.0
combo_79,"[3, 1, 23, 8, 9]",0.92,0.8,0.78
combo_80,"[3, 1, 24, 4, 15]",1.0,0.94,0.92
combo_81,"[3, 2, 21, 5, 15]",0.86,0.7,0.74
combo_82,"[3, 16, 21, 8, 18]",0.78,0.7,0.68
combo_83,"[3, 16, 21, 5, 6]",0.8,0.0,0.0
combo_84,"[3, 16, 19, 11, 10]",0.74,0.0,0.0
combo_85,"[3, 1, 25, 8, 10]",0.96,0.68,0.0
combo_86,"[3, 1, 20, 11, 18]",0.86,0.64,0.7
combo_87,"[3, 16, 20, 11, 9]",0.8,0.0,0.0
combo_88,"[3, 7, 22, 4, 13]",0.84,0.68,0.68
combo_89,"[3, 7, 21, 11, 10]",0.84,0.56,0.62
combo_90,"[3, 7, 19, 8, 17]",0.86,0.72,0.72
combo_91,"[3, 2, 24, 8, 14]",0.96,0.78,0.84
combo_92,"[3, 16, 21, 12, 6]",0.76,0.0,0.0
combo_93,"[3, 7, 24, 11, 17]",0.96,0.78,0.78
combo_94,"[3, 1, 22, 5, 10]",0.9,0.62,0.64
combo_95,"[3, 7, 25, 5, 9]",0.9,0.62,0.0
combo_96,"[3, 7, 22, 12, 15]",0.78,0.66,0.62
combo_97,"[3, 2, 25, 8, 15]",1.0,0.82,0.0
combo_98,"[3, 7, 25, 8, 13]",0.84,0.62,0.0
combo_99,"[3, 2, 25, 4, 6]",0.98,0.84,0.0
