Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[15, 4, 13]",1.0,1.0,1.0
combo_1,"[15, 8, 12]",0.98,0.94,0.96
combo_2,"[15, 2, 10]",0.98,0.92,0.9
combo_3,"[15, 4, 14]",1.0,1.0,1.0
combo_4,"[15, 7, 11]",1.0,1.0,1.0
combo_5,"[15, 3, 11]",0.98,1.0,0.98
combo_6,"[15, 3, 10]",0.98,0.96,0.96
combo_7,"[15, 1, 12]",0.98,1.0,0.96
combo_8,"[15, 1, 11]",1.0,0.96,0.98
combo_9,"[15, 5, 14]",1.0,1.0,1.0
combo_10,"[15, 9, 14]",1.0,1.0,1.0
combo_11,"[15, 6, 10]",1.0,1.0,0.96
combo_12,"[15, 2, 13]",1.0,1.0,1.0
combo_13,"[15, 8, 14]",1.0,1.0,1.0
combo_14,"[15, 1, 10]",1.0,0.92,0.9
combo_15,"[15, 7, 14]",1.0,1.0,1.0
combo_16,"[15, 5, 11]",0.94,0.92,0.92
combo_17,"[15, 6, 13]",1.0,1.0,1.0
combo_18,"[15, 2, 11]",0.96,0.94,0.96
combo_19,"[15, 4, 11]",1.0,1.0,1.0
combo_20,"[15, 2, 12]",0.96,0.98,1.0
combo_21,"[15, 9, 10]",1.0,0.88,0.94
combo_22,"[15, 5, 12]",0.96,0.96,0.94
combo_23,"[15, 7, 13]",1.0,1.0,1.0
combo_24,"[15, 9, 11]",1.0,0.98,0.96
combo_25,"[15, 7, 10]",1.0,0.96,0.96
combo_26,"[15, 7, 12]",1.0,1.0,1.0
combo_27,"[15, 3, 12]",1.0,1.0,1.0
combo_28,"[15, 9, 13]",1.0,1.0,1.0
combo_29,"[15, 6, 11]",1.0,1.0,1.0
combo_30,"[15, 5, 10]",0.92,0.9,0.86
combo_31,"[15, 2, 14]",1.0,1.0,1.0
combo_32,"[15, 1, 14]",1.0,1.0,1.0
combo_33,"[15, 8, 10]",1.0,0.82,0.9
combo_34,"[15, 6, 14]",1.0,1.0,1.0
combo_35,"[15, 6, 12]",1.0,1.0,1.0
combo_36,"[15, 3, 14]",1.0,1.0,1.0
combo_37,"[15, 9, 12]",1.0,1.0,1.0
combo_38,"[15, 8, 13]",1.0,0.98,1.0
combo_39,"[15, 3, 13]",1.0,1.0,1.0
combo_40,"[15, 4, 12]",1.0,1.0,1.0
combo_41,"[15, 5, 13]",1.0,1.0,1.0
combo_42,"[15, 8, 11]",1.0,0.88,0.9
combo_43,"[15, 4, 10]",1.0,0.94,0.92
combo_44,"[15, 1, 13]",1.0,1.0,1.0
