Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[12, 26, 5]",1.0,1.0,1.0
combo_1,"[12, 7, 15]",1.0,1.0,1.0
combo_2,"[12, 7, 17]",1.0,1.0,1.0
combo_3,"[12, 36, 4]",1.0,1.0,1.0
combo_4,"[12, 11, 13]",1.0,1.0,1.0
combo_5,"[12, 32, 15]",1.0,1.0,1.0
combo_6,"[12, 25, 18]",1.0,1.0,1.0
combo_7,"[12, 26, 22]",1.0,1.0,1.0
combo_8,"[12, 8, 14]",1.0,1.0,1.0
combo_9,"[12, 26, 20]",1.0,1.0,1.0
combo_10,"[12, 28, 13]",1.0,1.0,1.0
combo_11,"[12, 8, 17]",1.0,0.98,0.98
combo_12,"[12, 7, 4]",1.0,1.0,1.0
combo_13,"[12, 25, 5]",1.0,1.0,1.0
combo_14,"[12, 25, 2]",1.0,1.0,1.0
combo_15,"[12, 10, 13]",1.0,1.0,1.0
combo_16,"[12, 26, 2]",1.0,1.0,1.0
combo_17,"[12, 33, 22]",1.0,1.0,1.0
combo_18,"[12, 34, 20]",1.0,1.0,1.0
combo_19,"[12, 35, 4]",1.0,0.98,0.98
combo_20,"[12, 35, 3]",1.0,0.98,1.0
combo_21,"[12, 8, 18]",1.0,1.0,1.0
combo_22,"[12, 19, 6]",1.0,1.0,1.0
combo_23,"[12, 9, 29]",1.0,1.0,1.0
combo_24,"[12, 33, 3]",1.0,0.98,1.0
combo_25,"[12, 28, 2]",1.0,1.0,0.96
combo_26,"[12, 32, 13]",1.0,1.0,1.0
combo_27,"[12, 32, 1]",1.0,1.0,1.0
combo_28,"[12, 8, 3]",1.0,1.0,1.0
combo_29,"[12, 27, 1]",1.0,0.98,0.98
combo_30,"[12, 19, 2]",1.0,1.0,1.0
combo_31,"[12, 25, 14]",1.0,1.0,1.0
combo_32,"[12, 33, 5]",1.0,1.0,1.0
combo_33,"[12, 34, 6]",1.0,1.0,1.0
combo_34,"[12, 33, 18]",1.0,1.0,1.0
combo_35,"[12, 27, 18]",1.0,1.0,0.98
combo_36,"[12, 24, 13]",1.0,1.0,1.0
combo_37,"[12, 26, 18]",1.0,1.0,1.0
combo_38,"[12, 35, 2]",1.0,1.0,1.0
combo_39,"[12, 30, 23]",1.0,1.0,1.0
combo_40,"[12, 11, 2]",1.0,1.0,1.0
combo_41,"[12, 19, 17]",1.0,0.98,0.96
combo_42,"[12, 27, 6]",1.0,1.0,1.0
combo_43,"[12, 19, 5]",1.0,1.0,0.98
combo_44,"[12, 7, 16]",1.0,1.0,1.0
combo_45,"[12, 36, 3]",1.0,1.0,1.0
combo_46,"[12, 8, 29]",1.0,1.0,1.0
combo_47,"[12, 28, 4]",1.0,0.98,0.88
combo_48,"[12, 35, 23]",1.0,1.0,1.0
combo_49,"[12, 8, 22]",1.0,0.98,0.98
