Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[3, 1, 15, 11]",1.0,1.0,0.94
combo_0,"[3, 16, 14, 11]",1.0,0.94,0.96
combo_1,"[3, 16, 2, 4]",1.0,0.98,0.98
combo_2,"[3, 10, 6, 12]",1.0,1.0,0.9
combo_3,"[3, 5, 6, 8]",1.0,0.98,0.94
combo_4,"[3, 10, 22, 4]",1.0,0.98,0.94
combo_5,"[3, 1, 6, 12]",1.0,1.0,0.98
combo_6,"[3, 16, 2, 17]",1.0,0.96,0.92
combo_7,"[3, 21, 6, 4]",1.0,0.92,0.88
combo_8,"[3, 5, 7, 11]",1.0,1.0,1.0
combo_9,"[3, 9, 15, 8]",1.0,0.98,0.92
combo_10,"[3, 20, 14, 8]",1.0,1.0,1.0
combo_11,"[3, 20, 19, 4]",1.0,0.98,0.9
combo_0,"[3, 5, 22, 17]",1.0,0.96,0.9
combo_1,"[3, 20, 22, 11]",1.0,0.98,0.94
combo_2,"[3, 9, 22, 11]",1.0,0.94,0.86
combo_3,"[3, 21, 14, 4]",1.0,0.94,0.86
combo_4,"[3, 20, 22, 18]",1.0,0.98,0.96
combo_5,"[3, 16, 6, 18]",1.0,1.0,0.94
combo_6,"[3, 1, 2, 11]",1.0,1.0,1.0
combo_7,"[3, 16, 19, 18]",1.0,0.94,0.9
combo_8,"[3, 16, 2, 18]",1.0,1.0,0.96
combo_9,"[3, 21, 15, 8]",1.0,0.92,0.88
combo_10,"[3, 5, 22, 4]",1.0,0.98,0.96
combo_11,"[3, 5, 22, 18]",1.0,0.98,0.9
combo_12,"[3, 21, 22, 11]",1.0,0.92,0.88
combo_13,"[3, 16, 14, 18]",1.0,1.0,1.0
combo_14,"[3, 16, 14, 4]",1.0,0.98,0.94
combo_15,"[3, 5, 7, 12]",1.0,1.0,0.94
combo_16,"[3, 5, 19, 4]",1.0,0.92,0.92
combo_17,"[3, 21, 2, 4]",1.0,0.92,0.88
combo_18,"[3, 5, 6, 18]",1.0,0.96,0.88
combo_19,"[3, 9, 14, 8]",1.0,1.0,0.92
combo_20,"[3, 5, 19, 18]",1.0,1.0,0.9
combo_21,"[3, 20, 7, 11]",1.0,0.98,0.98
combo_22,"[3, 16, 22, 13]",1.0,1.0,1.0
combo_23,"[3, 9, 2, 17]",1.0,0.9,0.86
combo_24,"[3, 20, 2, 18]",1.0,0.98,0.98
combo_25,"[3, 1, 19, 18]",1.0,0.98,0.94
combo_26,"[3, 1, 19, 8]",1.0,0.98,0.98
combo_27,"[3, 10, 2, 13]",1.0,1.0,1.0
combo_28,"[3, 20, 2, 13]",1.0,1.0,1.0
combo_29,"[3, 10, 22, 12]",1.0,1.0,0.98
combo_30,"[3, 16, 14, 12]",1.0,1.0,0.98
combo_31,"[3, 21, 7, 13]",1.0,1.0,1.0
combo_32,"[3, 16, 6, 11]",1.0,1.0,0.92
combo_33,"[3, 21, 2, 13]",1.0,1.0,1.0
combo_34,"[3, 9, 19, 12]",1.0,0.98,0.9
combo_35,"[3, 5, 6, 12]",1.0,1.0,0.88
combo_36,"[3, 10, 7, 18]",1.0,0.98,0.96
combo_37,"[3, 10, 15, 13]",1.0,1.0,1.0
combo_38,"[3, 10, 6, 17]",1.0,0.96,0.92
combo_39,"[3, 21, 7, 12]",1.0,0.98,1.0
combo_40,"[3, 10, 14, 18]",1.0,0.96,0.94
combo_41,"[3, 10, 2, 11]",1.0,0.94,0.96
combo_42,"[3, 1, 22, 11]",1.0,0.98,0.98
combo_43,"[3, 10, 22, 11]",1.0,0.98,0.96
combo_44,"[3, 20, 2, 11]",1.0,0.98,0.94
combo_45,"[3, 10, 7, 11]",1.0,0.98,1.0
combo_46,"[3, 10, 7, 8]",1.0,1.0,1.0
combo_47,"[3, 16, 19, 12]",1.0,0.96,0.98
combo_48,"[3, 16, 6, 17]",1.0,0.96,0.88
combo_49,"[3, 10, 2, 8]",1.0,1.0,1.0
combo_50,"[3, 21, 6, 17]",1.0,0.94,0.82
combo_51,"[3, 20, 19, 4]",1.0,0.94,0.9
combo_52,"[3, 16, 7, 12]",1.0,1.0,1.0
combo_53,"[3, 10, 14, 13]",1.0,1.0,1.0
combo_54,"[3, 1, 15, 12]",1.0,1.0,1.0
combo_55,"[3, 16, 6, 8]",1.0,1.0,0.94
combo_56,"[3, 21, 6, 18]",1.0,0.94,0.86
combo_57,"[3, 5, 19, 8]",1.0,0.98,0.92
combo_58,"[3, 20, 14, 13]",1.0,1.0,1.0
combo_59,"[3, 20, 7, 18]",1.0,1.0,0.98
combo_60,"[3, 21, 2, 8]",1.0,0.98,0.96
combo_61,"[3, 20, 19, 17]",1.0,0.92,0.86
combo_62,"[3, 10, 22, 4]",1.0,1.0,1.0
combo_63,"[3, 16, 15, 13]",1.0,1.0,0.98
combo_64,"[3, 16, 2, 17]",1.0,0.96,0.92
combo_65,"[3, 21, 7, 18]",1.0,0.96,1.0
combo_66,"[3, 9, 7, 4]",1.0,0.98,0.94
combo_67,"[3, 9, 6, 12]",1.0,0.98,0.86
combo_68,"[3, 16, 6, 13]",1.0,1.0,0.94
combo_69,"[3, 9, 2, 13]",1.0,1.0,0.98
combo_70,"[3, 1, 14, 17]",1.0,0.98,0.94
combo_71,"[3, 5, 19, 11]",1.0,0.94,0.92
combo_72,"[3, 5, 14, 18]",1.0,1.0,0.86
combo_73,"[3, 5, 2, 8]",1.0,0.98,0.96
combo_74,"[3, 5, 15, 4]",1.0,0.98,0.92
combo_75,"[3, 5, 7, 18]",1.0,1.0,0.98
combo_76,"[3, 21, 2, 12]",1.0,0.96,0.94
combo_77,"[3, 10, 15, 12]",1.0,0.98,0.94
combo_78,"[3, 20, 7, 8]",1.0,1.0,1.0
combo_79,"[3, 21, 6, 4]",1.0,0.94,0.86
combo_80,"[3, 10, 6, 8]",1.0,1.0,0.98
combo_81,"[3, 20, 7, 13]",1.0,1.0,1.0
combo_82,"[3, 5, 15, 12]",1.0,0.98,0.82
combo_83,"[3, 1, 22, 8]",1.0,1.0,1.0
combo_84,"[3, 9, 19, 8]",1.0,0.96,0.88
combo_85,"[3, 1, 19, 11]",1.0,1.0,0.92
combo_86,"[3, 16, 7, 13]",1.0,1.0,1.0
combo_87,"[3, 1, 6, 11]",1.0,1.0,0.96
combo_88,"[3, 1, 15, 17]",1.0,0.96,0.92
combo_89,"[3, 20, 15, 18]",1.0,0.96,0.88
combo_90,"[3, 16, 14, 11]",1.0,0.96,0.96
combo_91,"[3, 9, 19, 17]",1.0,0.9,0.76
combo_92,"[3, 1, 22, 18]",1.0,1.0,0.98
combo_93,"[3, 21, 15, 12]",1.0,0.94,0.88
combo_94,"[3, 21, 22, 13]",1.0,1.0,1.0
combo_95,"[3, 9, 22, 4]",1.0,0.96,0.9
combo_96,"[3, 9, 2, 4]",1.0,0.94,0.88
combo_97,"[3, 10, 15, 11]",1.0,0.98,0.88
combo_98,"[3, 10, 6, 11]",1.0,0.98,0.9
combo_99,"[3, 10, 7, 4]",1.0,1.0,0.98
