Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[11, 19]",0.8,0.78,0.82
combo_1,"[11, 26]",1.0,1.0,1.0
combo_2,"[11, 1]",1.0,1.0,1.0
combo_3,"[11, 5]",1.0,1.0,1.0
combo_4,"[11, 14]",0.98,0.94,0.96
combo_5,"[11, 3]",1.0,1.0,1.0
combo_6,"[11, 22]",1.0,0.92,0.96
combo_7,"[11, 15]",0.98,1.0,0.98
combo_8,"[11, 18]",1.0,1.0,1.0
combo_9,"[11, 8]",1.0,1.0,1.0
combo_10,"[11, 10]",0.98,0.98,1.0
combo_11,"[11, 25]",1.0,1.0,1.0
combo_12,"[11, 17]",1.0,1.0,1.0
combo_13,"[11, 6]",1.0,1.0,1.0
combo_14,"[11, 4]",1.0,1.0,1.0
combo_15,"[11, 13]",0.94,0.92,0.94
combo_16,"[11, 9]",1.0,1.0,1.0
combo_17,"[11, 21]",0.74,0.8,0.78
combo_18,"[11, 12]",0.84,0.9,0.88
combo_19,"[11, 24]",1.0,1.0,1.0
combo_20,"[11, 2]",1.0,1.0,1.0
combo_21,"[11, 20]",0.78,0.8,0.82
combo_22,"[11, 23]",0.9,0.9,0.9
combo_23,"[11, 16]",0.78,0.74,0.72
combo_24,"[11, 7]",1.0,1.0,1.0
