Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[7, 13, 6]",1.0,1.0,0.98
combo_1,"[7, 12, 3]",0.94,0.76,0.8
combo_2,"[7, 4, 9]",1.0,1.0,1.0
combo_3,"[7, 1, 2]",0.96,0.94,0.96
combo_4,"[7, 10, 11]",0.94,0.78,0.74
combo_5,"[7, 1, 8]",1.0,0.98,0.98
combo_6,"[7, 4, 3]",0.96,0.94,0.98
combo_7,"[7, 12, 6]",1.0,1.0,1.0
combo_8,"[7, 13, 8]",0.92,0.9,0.9
combo_9,"[7, 1, 9]",1.0,1.0,1.0
combo_10,"[7, 5, 8]",1.0,1.0,1.0
combo_11,"[7, 1, 3]",0.94,0.86,0.82
combo_12,"[7, 12, 8]",0.96,0.96,0.94
combo_13,"[7, 12, 2]",0.92,0.92,0.88
combo_14,"[7, 4, 11]",1.0,0.98,1.0
combo_15,"[7, 4, 2]",1.0,1.0,1.0
combo_16,"[7, 4, 8]",1.0,1.0,1.0
combo_17,"[7, 5, 3]",0.94,0.88,0.9
combo_18,"[7, 13, 11]",0.92,0.8,0.78
combo_19,"[7, 5, 6]",1.0,1.0,1.0
combo_20,"[7, 1, 6]",1.0,1.0,1.0
combo_21,"[7, 4, 6]",1.0,1.0,1.0
combo_22,"[7, 5, 2]",0.98,0.98,0.98
combo_23,"[7, 10, 2]",0.98,0.8,0.84
combo_24,"[7, 1, 11]",0.92,0.92,0.9
combo_25,"[7, 10, 9]",0.98,0.88,0.92
combo_26,"[7, 12, 9]",1.0,1.0,0.96
combo_27,"[7, 13, 3]",0.94,0.8,0.78
combo_28,"[7, 10, 3]",0.96,0.72,0.72
combo_29,"[7, 13, 9]",0.98,0.92,0.96
combo_30,"[7, 5, 11]",0.98,0.98,0.94
combo_31,"[7, 5, 9]",1.0,1.0,1.0
combo_32,"[7, 12, 11]",0.9,0.86,0.84
combo_33,"[7, 13, 2]",0.94,0.84,0.82
combo_34,"[7, 10, 6]",0.98,0.94,0.98
combo_35,"[7, 10, 8]",0.98,0.88,0.9
