Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[11, 6, 13, 8, 20]",1.0,0.74,0.64
combo_1,"[11, 21, 15, 5, 18]",1.0,0.74,0.7
combo_2,"[11, 7, 15, 17, 20]",1.0,0.74,0.72
combo_3,"[11, 6, 13, 3, 19]",0.94,0.76,0.66
combo_4,"[11, 22, 13, 5, 23]",0.92,0.72,0.64
combo_5,"[11, 9, 15, 4, 23]",0.9,0.76,0.7
combo_6,"[11, 6, 15, 25, 23]",0.92,0.72,0.56
combo_7,"[11, 22, 13, 8, 23]",0.94,0.7,0.62
combo_8,"[11, 24, 10, 17, 23]",0.98,0.7,0.56
combo_9,"[11, 9, 13, 8, 23]",0.96,0.84,0.74
combo_10,"[11, 2, 10, 1, 18]",0.96,0.78,0.8
combo_11,"[11, 7, 13, 12, 23]",1.0,0.84,0.78
combo_12,"[11, 7, 10, 8, 23]",1.0,0.8,0.78
combo_13,"[11, 6, 15, 3, 14]",0.96,0.76,0.74
combo_14,"[11, 22, 10, 25, 18]",0.98,0.72,0.7
combo_15,"[11, 2, 10, 3, 26]",0.98,0.78,0.68
combo_16,"[11, 22, 15, 25, 26]",0.96,0.7,0.6
combo_17,"[11, 21, 10, 5, 14]",0.98,0.88,0.82
combo_18,"[11, 22, 13, 4, 23]",0.92,0.74,0.6
combo_19,"[11, 21, 10, 3, 23]",0.92,0.78,0.68
combo_20,"[11, 22, 15, 25, 18]",0.96,0.66,0.6
combo_21,"[11, 22, 15, 4, 23]",0.88,0.64,0.6
combo_22,"[11, 2, 10, 8, 23]",0.9,0.78,0.68
combo_23,"[11, 24, 13, 1, 14]",0.96,0.84,0.72
combo_24,"[11, 2, 10, 5, 18]",0.94,0.84,0.78
combo_25,"[11, 22, 15, 8, 26]",0.98,0.64,0.58
combo_26,"[11, 24, 13, 8, 20]",0.96,0.72,0.6
combo_27,"[11, 7, 13, 25, 19]",0.98,0.72,0.64
combo_28,"[11, 21, 10, 17, 26]",1.0,0.74,0.6
combo_29,"[11, 7, 13, 3, 19]",0.94,0.82,0.68
combo_30,"[11, 21, 10, 5, 18]",0.96,0.82,0.78
combo_31,"[11, 22, 10, 25, 26]",1.0,0.72,0.66
combo_32,"[11, 24, 15, 25, 16]",1.0,0.72,0.66
combo_33,"[11, 9, 10, 17, 23]",1.0,0.8,0.82
combo_34,"[11, 6, 10, 4, 20]",0.98,0.86,0.74
combo_35,"[11, 7, 15, 12, 19]",1.0,0.78,0.76
combo_36,"[11, 24, 10, 1, 23]",0.88,0.78,0.7
combo_37,"[11, 6, 13, 8, 19]",0.98,0.76,0.66
combo_38,"[11, 2, 15, 4, 20]",0.96,0.68,0.62
combo_39,"[11, 9, 10, 1, 18]",0.98,0.92,0.94
combo_40,"[11, 21, 15, 4, 16]",0.96,0.8,0.74
combo_41,"[11, 21, 15, 1, 20]",0.92,0.7,0.58
combo_42,"[11, 7, 13, 4, 20]",0.98,0.8,0.74
combo_43,"[11, 24, 15, 3, 26]",0.92,0.7,0.66
combo_44,"[11, 24, 10, 8, 14]",1.0,0.84,0.84
combo_45,"[11, 24, 10, 5, 14]",1.0,0.84,0.82
combo_46,"[11, 9, 13, 1, 16]",1.0,0.92,0.96
combo_47,"[11, 24, 13, 12, 18]",1.0,0.84,0.84
combo_48,"[11, 2, 13, 12, 26]",0.96,0.78,0.74
combo_49,"[11, 7, 13, 8, 16]",1.0,0.9,0.9
combo_50,"[11, 6, 13, 8, 14]",1.0,0.84,0.74
combo_51,"[11, 7, 10, 17, 23]",1.0,0.8,0.82
combo_52,"[11, 24, 10, 1, 16]",0.98,0.86,0.86
combo_53,"[11, 2, 10, 25, 16]",0.96,0.86,0.8
combo_54,"[11, 6, 13, 8, 23]",0.98,0.74,0.66
combo_55,"[11, 22, 10, 1, 20]",0.88,0.8,0.72
combo_56,"[11, 9, 10, 25, 16]",1.0,0.92,0.86
combo_57,"[11, 24, 13, 5, 20]",0.98,0.74,0.64
combo_58,"[11, 21, 10, 12, 18]",1.0,0.92,0.84
combo_59,"[11, 24, 13, 4, 16]",0.98,0.86,0.82
combo_60,"[11, 24, 15, 5, 16]",1.0,0.82,0.74
combo_61,"[11, 9, 15, 25, 23]",0.96,0.72,0.62
combo_62,"[11, 9, 15, 4, 18]",1.0,0.82,0.72
combo_63,"[11, 22, 13, 3, 16]",0.98,0.86,0.78
combo_64,"[11, 6, 10, 17, 18]",1.0,0.84,0.82
combo_65,"[11, 21, 10, 1, 20]",0.94,0.76,0.76
combo_66,"[11, 9, 10, 3, 18]",0.98,0.92,0.92
combo_67,"[11, 2, 13, 4, 16]",1.0,0.8,0.8
combo_68,"[11, 7, 10, 3, 14]",1.0,0.92,0.9
combo_69,"[11, 24, 10, 3, 23]",0.9,0.76,0.72
combo_70,"[11, 2, 13, 12, 23]",0.96,0.8,0.64
combo_71,"[11, 21, 10, 17, 16]",1.0,0.84,0.76
combo_72,"[11, 24, 10, 3, 20]",0.92,0.76,0.72
combo_73,"[11, 9, 13, 5, 14]",1.0,0.94,0.88
combo_0,"[11, 22, 13, 5, 14]",1.0,0.8,0.74
combo_1,"[11, 7, 15, 4, 23]",0.94,0.72,0.66
combo_2,"[11, 8, 13, 21, 18]",1.0,0.76,0.7
combo_3,"[11, 22, 15, 4, 19]",0.92,0.72,0.6
combo_4,"[11, 7, 15, 25, 19]",0.98,0.7,0.58
combo_5,"[11, 22, 13, 25, 19]",0.96,0.7,0.58
