Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[20, 11, 10, 22]",1.0,0.84,0.8
combo_1,"[20, 17, 4, 33]",0.88,0.84,0.88
combo_2,"[20, 11, 21, 33]",0.86,0.78,0.8
combo_3,"[20, 13, 1, 25]",0.86,0.8,0.74
combo_4,"[20, 17, 7, 27]",0.98,0.88,0.88
combo_5,"[20, 16, 4, 29]",0.88,0.9,0.9
combo_6,"[20, 19, 8, 24]",0.9,0.86,0.84
combo_7,"[20, 11, 4, 25]",0.9,0.82,0.82
combo_8,"[20, 18, 8, 22]",1.0,1.0,0.98
combo_9,"[20, 15, 5, 23]",0.92,0.78,0.8
combo_10,"[20, 16, 1, 28]",0.86,0.82,0.8
combo_11,"[20, 15, 5, 25]",0.86,0.74,0.74
combo_12,"[20, 17, 6, 29]",0.84,0.8,0.78
combo_13,"[20, 11, 21, 27]",0.86,0.8,0.8
combo_14,"[20, 14, 6, 29]",0.8,0.8,0.76
combo_15,"[20, 17, 6, 26]",0.92,0.8,0.88
combo_16,"[20, 19, 6, 22]",0.96,0.86,0.88
combo_17,"[20, 13, 6, 32]",0.84,0.76,0.68
combo_18,"[20, 14, 7, 23]",1.0,1.0,1.0
combo_19,"[20, 18, 12, 30]",0.88,0.8,0.76
combo_20,"[20, 14, 7, 32]",0.86,0.9,0.78
combo_21,"[20, 13, 8, 26]",0.92,0.9,0.88
combo_22,"[20, 13, 8, 25]",0.94,0.88,0.88
combo_23,"[20, 19, 5, 24]",0.84,0.72,0.72
combo_24,"[20, 11, 8, 25]",0.88,0.86,0.82
combo_25,"[20, 14, 21, 30]",0.92,0.96,0.9
combo_26,"[20, 15, 12, 24]",0.96,0.84,0.8
combo_27,"[20, 16, 12, 22]",1.0,1.0,1.0
combo_28,"[20, 17, 3, 28]",0.88,0.84,0.86
combo_29,"[20, 19, 1, 27]",0.88,0.74,0.64
combo_30,"[20, 16, 3, 25]",0.96,0.96,0.98
combo_31,"[20, 11, 8, 26]",0.92,0.78,0.8
combo_32,"[20, 16, 10, 32]",0.84,0.84,0.76
combo_33,"[20, 14, 8, 32]",0.9,0.86,0.8
combo_34,"[20, 15, 3, 31]",0.84,0.8,0.74
combo_35,"[20, 13, 1, 27]",0.86,0.74,0.66
combo_36,"[20, 11, 1, 28]",0.76,0.68,0.64
combo_37,"[20, 18, 21, 31]",0.92,0.9,0.9
combo_38,"[20, 14, 3, 31]",0.88,0.86,0.82
combo_39,"[20, 15, 10, 30]",0.84,0.72,0.7
combo_40,"[20, 19, 10, 31]",0.8,0.78,0.76
combo_41,"[20, 19, 21, 23]",0.96,0.98,0.92
combo_42,"[20, 15, 6, 32]",0.8,0.72,0.62
combo_43,"[20, 16, 5, 30]",0.82,0.78,0.78
combo_44,"[20, 15, 21, 32]",0.86,0.78,0.76
combo_45,"[20, 18, 8, 33]",0.86,0.84,0.78
combo_46,"[20, 19, 9, 25]",0.92,0.84,0.86
combo_47,"[20, 14, 8, 30]",0.86,0.9,0.84
combo_48,"[20, 16, 10, 29]",0.86,0.84,0.84
combo_49,"[20, 14, 4, 24]",0.98,1.0,0.96
combo_50,"[20, 18, 3, 32]",0.8,0.78,0.7
combo_51,"[20, 11, 2, 22]",0.88,0.8,0.76
combo_52,"[20, 11, 12, 22]",1.0,0.88,0.9
combo_53,"[20, 17, 10, 24]",0.9,0.88,0.86
combo_0,"[20, 18, 5, 25]",0.82,0.76,0.8
combo_1,"[20, 16, 10, 29]",0.86,0.86,0.82
combo_2,"[20, 11, 7, 26]",0.88,0.84,0.82
combo_3,"[20, 19, 5, 22]",0.88,0.8,0.82
combo_4,"[20, 18, 3, 30]",0.84,0.78,0.74
combo_5,"[20, 11, 1, 25]",0.8,0.74,0.66
combo_6,"[20, 15, 7, 25]",0.9,0.88,0.88
combo_7,"[20, 15, 10, 24]",0.9,0.78,0.78
combo_8,"[20, 17, 3, 25]",0.9,0.9,0.86
combo_9,"[20, 18, 6, 31]",0.82,0.76,0.76
combo_10,"[20, 17, 3, 29]",0.84,0.86,0.78
combo_11,"[20, 16, 12, 26]",0.98,0.98,0.94
combo_12,"[20, 19, 9, 26]",0.98,0.84,0.84
combo_13,"[20, 11, 9, 28]",0.86,0.76,0.76
combo_14,"[20, 18, 2, 24]",0.84,0.8,0.78
combo_15,"[20, 14, 7, 23]",1.0,0.96,1.0
combo_16,"[20, 18, 6, 32]",0.76,0.72,0.68
combo_17,"[20, 14, 1, 23]",0.9,0.9,0.88
combo_18,"[20, 15, 10, 26]",0.9,0.76,0.76
combo_19,"[20, 19, 6, 32]",0.78,0.7,0.68
combo_20,"[20, 13, 8, 33]",0.86,0.86,0.8
combo_21,"[20, 13, 3, 33]",0.78,0.8,0.72
combo_22,"[20, 17, 3, 23]",0.94,0.94,0.94
combo_23,"[20, 13, 9, 23]",1.0,0.98,0.94
combo_24,"[20, 11, 6, 31]",0.88,0.68,0.72
combo_25,"[20, 19, 1, 33]",0.74,0.68,0.7
combo_26,"[20, 19, 8, 32]",0.86,0.78,0.72
combo_27,"[20, 11, 4, 31]",0.88,0.8,0.74
combo_28,"[20, 17, 7, 29]",0.88,0.84,0.86
combo_29,"[20, 17, 21, 24]",1.0,1.0,0.98
combo_30,"[20, 18, 2, 23]",0.88,0.86,0.86
combo_31,"[20, 17, 6, 26]",0.9,0.86,0.78
combo_32,"[20, 19, 6, 29]",0.82,0.72,0.68
combo_33,"[20, 15, 1, 31]",0.76,0.72,0.7
combo_34,"[20, 15, 4, 25]",0.92,0.84,0.86
combo_35,"[20, 19, 3, 31]",0.84,0.78,0.76
combo_36,"[20, 15, 10, 32]",0.82,0.7,0.62
combo_37,"[20, 14, 5, 26]",0.88,0.82,0.82
combo_38,"[20, 19, 2, 32]",0.74,0.74,0.68
combo_39,"[20, 15, 3, 29]",0.78,0.76,0.74
combo_40,"[20, 19, 9, 27]",0.96,0.82,0.76
combo_41,"[20, 13, 9, 22]",1.0,1.0,0.98
combo_42,"[20, 17, 6, 22]",0.98,0.94,0.96
combo_43,"[20, 15, 9, 28]",0.86,0.8,0.8
combo_44,"[20, 15, 21, 24]",0.96,0.92,0.9
combo_45,"[20, 16, 12, 33]",0.88,0.86,0.88
combo_46,"[20, 18, 21, 30]",0.9,0.86,0.82
combo_47,"[20, 13, 21, 24]",0.98,0.98,0.92
combo_48,"[20, 16, 10, 32]",0.82,0.82,0.76
combo_49,"[20, 15, 6, 25]",0.88,0.78,0.76
combo_50,"[20, 13, 12, 28]",0.96,0.82,0.82
