Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[5, 1, 8]",1.0,1.0,1.0
combo_1,"[5, 2, 19]",1.0,0.96,0.84
combo_2,"[5, 26, 15]",1.0,0.98,1.0
combo_3,"[5, 3, 6]",1.0,1.0,1.0
combo_4,"[5, 17, 10]",0.98,0.96,0.96
combo_5,"[5, 2, 12]",1.0,0.98,0.86
combo_6,"[5, 17, 6]",1.0,1.0,1.0
combo_7,"[5, 3, 14]",1.0,1.0,1.0
combo_8,"[5, 1, 15]",1.0,1.0,1.0
combo_9,"[5, 3, 7]",1.0,1.0,1.0
combo_10,"[5, 2, 9]",1.0,1.0,0.88
combo_11,"[5, 18, 15]",1.0,1.0,1.0
combo_12,"[5, 17, 25]",1.0,0.96,0.98
combo_13,"[5, 3, 21]",1.0,1.0,1.0
combo_14,"[5, 4, 22]",1.0,1.0,1.0
combo_15,"[5, 3, 19]",1.0,1.0,1.0
combo_16,"[5, 2, 14]",1.0,1.0,0.9
combo_17,"[5, 18, 9]",1.0,1.0,1.0
combo_18,"[5, 3, 24]",1.0,0.98,1.0
combo_19,"[5, 1, 22]",1.0,1.0,1.0
combo_20,"[5, 3, 11]",1.0,1.0,0.98
combo_21,"[5, 26, 16]",0.96,0.92,0.94
combo_22,"[5, 4, 23]",1.0,1.0,1.0
combo_23,"[5, 17, 12]",1.0,1.0,0.98
combo_24,"[5, 1, 12]",1.0,1.0,1.0
combo_25,"[5, 2, 22]",1.0,0.96,0.86
combo_26,"[5, 4, 11]",1.0,1.0,1.0
combo_27,"[5, 26, 7]",1.0,0.96,0.96
combo_28,"[5, 1, 11]",1.0,0.98,0.98
combo_29,"[5, 2, 25]",1.0,0.94,0.84
combo_30,"[5, 26, 19]",0.98,0.96,1.0
combo_31,"[5, 3, 9]",1.0,1.0,1.0
combo_32,"[5, 1, 24]",1.0,0.98,0.98
combo_33,"[5, 3, 20]",1.0,0.98,0.94
combo_34,"[5, 17, 7]",1.0,1.0,1.0
combo_35,"[5, 18, 8]",1.0,1.0,1.0
combo_36,"[5, 2, 6]",1.0,0.98,0.84
combo_37,"[5, 1, 21]",1.0,1.0,0.98
combo_38,"[5, 26, 10]",0.96,0.94,0.9
combo_39,"[5, 18, 19]",1.0,1.0,1.0
combo_40,"[5, 4, 24]",1.0,1.0,1.0
combo_41,"[5, 2, 13]",1.0,1.0,0.84
combo_42,"[5, 2, 24]",1.0,0.96,0.92
combo_43,"[5, 4, 8]",1.0,1.0,1.0
combo_44,"[5, 4, 19]",1.0,1.0,1.0
