Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[18, 25, 10]",0.84,0.76,0.68
combo_1,"[18, 35, 38]",1.0,0.96,1.0
combo_2,"[18, 43, 4]",0.94,0.8,0.74
combo_3,"[18, 23, 41]",0.8,0.72,0.7
combo_4,"[18, 20, 7]",0.92,0.9,0.86
combo_5,"[18, 22, 37]",0.9,0.82,0.78
combo_6,"[18, 32, 14]",1.0,1.0,1.0
combo_7,"[18, 45, 4]",0.9,0.9,0.86
combo_8,"[18, 11, 13]",0.98,0.96,0.96
combo_9,"[18, 19, 9]",1.0,0.88,0.88
combo_10,"[18, 25, 41]",0.76,0.68,0.66
combo_11,"[18, 20, 39]",0.96,0.9,0.92
combo_12,"[18, 35, 3]",0.9,0.9,0.9
combo_13,"[18, 30, 41]",0.82,0.76,0.72
combo_14,"[18, 26, 38]",0.98,0.88,0.94
combo_15,"[18, 27, 4]",0.86,0.82,0.76
combo_16,"[18, 34, 5]",0.92,0.9,0.92
combo_17,"[18, 22, 5]",0.84,0.88,0.88
combo_18,"[18, 44, 37]",0.82,0.88,0.84
combo_19,"[18, 17, 41]",0.88,0.86,0.82
combo_20,"[18, 20, 13]",0.98,1.0,1.0
combo_21,"[18, 33, 5]",0.9,0.92,0.9
combo_22,"[18, 35, 1]",1.0,0.9,0.9
combo_23,"[18, 11, 1]",0.96,0.9,0.9
combo_24,"[18, 25, 13]",0.86,0.84,0.8
combo_25,"[18, 16, 12]",1.0,1.0,1.0
combo_26,"[18, 30, 37]",0.92,0.9,0.94
combo_27,"[18, 15, 1]",1.0,0.96,1.0
combo_28,"[18, 22, 29]",0.88,0.74,0.76
combo_29,"[18, 21, 40]",0.9,0.8,0.8
combo_30,"[18, 26, 14]",1.0,0.92,0.92
combo_31,"[18, 19, 14]",1.0,1.0,1.0
combo_32,"[18, 20, 38]",1.0,1.0,1.0
combo_33,"[18, 21, 7]",0.88,0.8,0.82
combo_34,"[18, 16, 40]",0.98,0.98,0.96
combo_35,"[18, 35, 39]",0.84,0.86,0.84
combo_36,"[18, 16, 6]",0.98,0.98,0.98
combo_37,"[18, 43, 1]",0.9,0.86,0.82
combo_38,"[18, 32, 36]",1.0,0.94,0.94
combo_39,"[18, 33, 6]",0.82,0.84,0.82
combo_40,"[18, 45, 38]",1.0,1.0,1.0
combo_41,"[18, 16, 41]",0.94,0.94,0.98
combo_42,"[18, 20, 14]",1.0,1.0,1.0
combo_43,"[18, 26, 29]",1.0,0.76,0.72
combo_44,"[18, 30, 40]",0.9,0.82,0.86
combo_45,"[18, 33, 37]",0.92,0.86,0.82
combo_46,"[18, 25, 5]",0.9,0.86,0.8
combo_47,"[18, 34, 4]",0.8,0.76,0.74
combo_48,"[18, 15, 9]",1.0,0.98,0.98
combo_49,"[18, 46, 7]",0.76,0.74,0.66
combo_50,"[18, 45, 40]",0.88,0.86,0.88
combo_51,"[18, 23, 10]",0.9,0.82,0.78
combo_52,"[18, 25, 37]",0.92,0.84,0.76
combo_53,"[18, 32, 13]",0.98,0.94,0.92
combo_54,"[18, 46, 36]",0.96,0.82,0.78
combo_55,"[18, 26, 7]",0.8,0.78,0.72
combo_56,"[18, 30, 36]",1.0,0.98,0.96
combo_57,"[18, 11, 14]",1.0,1.0,1.0
combo_58,"[18, 34, 40]",0.82,0.78,0.76
combo_59,"[18, 45, 2]",0.94,0.94,0.94
combo_60,"[18, 20, 37]",0.94,0.94,0.94
combo_61,"[18, 43, 8]",1.0,0.98,0.88
combo_62,"[18, 23, 12]",1.0,1.0,0.94
combo_63,"[18, 34, 7]",0.82,0.8,0.76
combo_64,"[18, 24, 9]",0.84,0.86,0.8
combo_65,"[18, 11, 29]",0.86,0.86,0.8
combo_66,"[18, 22, 10]",0.82,0.8,0.82
combo_67,"[18, 31, 41]",0.86,0.82,0.82
combo_68,"[18, 16, 4]",0.96,0.98,0.94
combo_69,"[18, 26, 36]",0.96,0.82,0.84
combo_70,"[18, 44, 42]",0.96,0.78,0.76
combo_71,"[18, 27, 3]",0.88,0.86,0.84
combo_72,"[18, 27, 8]",0.98,1.0,0.96
combo_73,"[18, 17, 42]",0.94,0.94,0.9
combo_74,"[18, 32, 10]",0.92,0.84,0.84
combo_75,"[18, 24, 28]",0.96,0.78,0.74
combo_76,"[18, 20, 6]",0.9,0.9,0.88
combo_77,"[18, 15, 42]",0.96,0.92,0.86
combo_78,"[18, 46, 8]",0.88,0.9,0.88
combo_79,"[18, 43, 40]",0.98,0.78,0.78
combo_80,"[18, 44, 8]",0.94,0.92,0.96
combo_81,"[18, 24, 6]",0.8,0.78,0.8
combo_82,"[18, 27, 36]",1.0,0.88,0.88
combo_83,"[18, 31, 14]",1.0,1.0,1.0
combo_84,"[18, 33, 40]",0.8,0.76,0.76
combo_85,"[18, 24, 3]",0.82,0.8,0.74
combo_86,"[18, 21, 29]",0.84,0.82,0.82
combo_87,"[18, 31, 12]",1.0,1.0,1.0
combo_88,"[18, 16, 8]",1.0,1.0,1.0
combo_0,"[18, 19, 36]",0.96,0.96,0.96
combo_1,"[18, 16, 40]",1.0,0.96,0.98
combo_2,"[18, 20, 42]",0.98,0.86,0.84
combo_3,"[18, 21, 29]",0.86,0.8,0.8
combo_4,"[18, 44, 40]",0.92,0.8,0.76
combo_5,"[18, 23, 6]",0.84,0.82,0.8
combo_6,"[18, 25, 13]",0.84,0.84,0.82
combo_7,"[18, 11, 6]",0.96,0.82,0.84
combo_8,"[18, 46, 3]",0.82,0.76,0.78
combo_9,"[18, 16, 37]",1.0,1.0,1.0
combo_10,"[18, 24, 40]",0.78,0.74,0.72
combo_11,"[18, 35, 14]",1.0,1.0,1.0
combo_12,"[18, 46, 1]",0.92,0.8,0.78
combo_13,"[18, 33, 5]",0.92,0.9,0.94
combo_14,"[18, 21, 9]",0.94,0.92,0.92
combo_15,"[18, 26, 28]",0.96,0.74,0.74
combo_16,"[18, 31, 2]",0.94,0.88,0.96
combo_17,"[18, 23, 40]",0.8,0.78,0.76
combo_18,"[18, 17, 40]",0.96,0.94,0.9
combo_19,"[18, 19, 40]",0.9,0.82,0.8
combo_20,"[18, 26, 14]",1.0,0.94,0.96
combo_21,"[18, 43, 10]",1.0,0.86,0.82
combo_22,"[18, 17, 36]",1.0,1.0,1.0
combo_23,"[18, 30, 29]",0.94,0.8,0.76
combo_24,"[18, 17, 29]",0.98,0.92,0.9
combo_25,"[18, 19, 5]",0.96,0.96,0.96
combo_26,"[18, 33, 9]",0.88,0.88,0.8
combo_27,"[18, 32, 39]",0.84,0.86,0.84
combo_28,"[18, 45, 12]",1.0,1.0,1.0
combo_29,"[18, 43, 36]",0.96,0.9,0.9
combo_30,"[18, 44, 36]",0.92,0.92,0.92
combo_31,"[18, 21, 12]",0.98,1.0,0.98
combo_32,"[18, 44, 38]",0.98,0.98,0.98
combo_33,"[18, 35, 5]",0.98,0.94,0.94
combo_34,"[18, 46, 40]",0.74,0.72,0.72
combo_35,"[18, 15, 7]",0.92,0.92,0.88
combo_36,"[18, 19, 28]",0.88,0.88,0.84
combo_37,"[18, 45, 2]",0.92,0.9,0.86
combo_38,"[18, 44, 29]",0.84,0.82,0.76
combo_39,"[18, 26, 41]",0.78,0.72,0.72
combo_40,"[18, 17, 4]",0.92,0.94,0.94
combo_41,"[18, 44, 42]",0.96,0.84,0.78
combo_42,"[18, 17, 38]",1.0,1.0,1.0
combo_43,"[18, 27, 3]",0.86,0.84,0.84
combo_44,"[18, 43, 9]",0.98,0.88,0.88
combo_45,"[18, 43, 6]",0.96,0.82,0.8
combo_46,"[18, 24, 13]",0.86,0.82,0.86
combo_47,"[18, 23, 8]",0.94,0.96,0.94
combo_48,"[18, 23, 39]",0.86,0.88,0.8
combo_49,"[18, 45, 10]",0.94,0.88,0.92
combo_50,"[18, 46, 5]",0.86,0.82,0.8
combo_51,"[18, 34, 1]",1.0,0.86,0.9
combo_52,"[18, 43, 2]",1.0,0.88,0.8
combo_53,"[18, 32, 9]",0.92,0.92,0.88
combo_54,"[18, 15, 36]",1.0,1.0,1.0
combo_55,"[18, 45, 36]",1.0,1.0,1.0
combo_56,"[18, 30, 7]",0.82,0.86,0.82
combo_57,"[18, 15, 12]",1.0,1.0,1.0
combo_58,"[18, 27, 6]",0.86,0.8,0.78
combo_59,"[18, 22, 3]",0.86,0.8,0.82
combo_60,"[18, 17, 42]",0.96,0.92,0.9
combo_61,"[18, 19, 29]",0.88,0.82,0.78
combo_62,"[18, 11, 8]",1.0,1.0,1.0
combo_63,"[18, 44, 8]",0.98,0.94,1.0
combo_64,"[18, 34, 12]",0.98,1.0,0.9
combo_65,"[18, 43, 28]",0.88,0.84,0.8
combo_66,"[18, 32, 41]",0.88,0.78,0.74
combo_67,"[18, 44, 37]",0.9,0.88,0.84
combo_68,"[18, 11, 10]",0.98,0.9,0.84
combo_69,"[18, 16, 6]",1.0,1.0,0.98
combo_70,"[18, 33, 29]",0.9,0.82,0.8
combo_71,"[18, 45, 39]",0.92,0.94,0.9
combo_72,"[18, 24, 5]",0.9,0.88,0.8
combo_73,"[18, 20, 10]",0.98,0.92,0.9
combo_74,"[18, 33, 38]",0.98,0.96,0.96
combo_75,"[18, 21, 7]",0.86,0.84,0.78
combo_76,"[18, 23, 5]",0.9,0.88,0.9
combo_77,"[18, 43, 8]",0.98,0.98,0.94
combo_78,"[18, 11, 38]",1.0,1.0,1.0
combo_79,"[18, 16, 41]",0.96,0.94,0.9
