Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[7, 1, 8]",1.0,1.0,1.0
combo_1,"[7, 22, 19]",0.9,0.8,0.8
combo_2,"[7, 4, 10]",1.0,1.0,1.0
combo_3,"[7, 27, 9]",0.8,0.8,0.78
combo_4,"[7, 28, 6]",0.84,0.8,0.74
combo_5,"[7, 22, 5]",0.98,0.86,0.84
combo_6,"[7, 2, 9]",1.0,1.0,1.0
combo_7,"[7, 25, 21]",0.9,0.76,0.74
combo_8,"[7, 23, 16]",0.76,0.78,0.74
combo_9,"[7, 23, 19]",0.88,0.86,0.86
combo_10,"[7, 2, 21]",0.98,1.0,0.98
combo_11,"[7, 23, 15]",0.88,0.84,0.88
combo_12,"[7, 3, 12]",0.84,0.8,0.82
combo_13,"[7, 27, 5]",0.88,0.78,0.74
combo_14,"[7, 3, 5]",0.9,0.86,0.82
combo_15,"[7, 27, 19]",0.76,0.74,0.76
combo_16,"[7, 4, 16]",0.8,0.8,0.8
combo_17,"[7, 27, 15]",0.74,0.72,0.74
combo_18,"[7, 28, 15]",0.8,0.72,0.72
combo_19,"[7, 4, 6]",1.0,1.0,1.0
combo_20,"[7, 2, 8]",1.0,1.0,1.0
combo_21,"[7, 3, 19]",0.78,0.82,0.8
combo_22,"[7, 22, 6]",1.0,0.94,0.88
combo_23,"[7, 2, 15]",1.0,1.0,0.98
combo_24,"[7, 28, 16]",0.68,0.66,0.62
combo_25,"[7, 26, 19]",0.78,0.74,0.74
combo_26,"[7, 1, 5]",1.0,1.0,0.98
combo_27,"[7, 2, 5]",1.0,1.0,1.0
combo_28,"[7, 27, 13]",0.78,0.78,0.74
combo_29,"[7, 28, 5]",0.84,0.74,0.7
combo_30,"[7, 3, 13]",0.9,0.84,0.86
combo_31,"[7, 25, 6]",0.9,0.86,0.84
combo_32,"[7, 25, 13]",0.84,0.84,0.82
combo_33,"[7, 2, 17]",0.98,0.96,0.94
combo_34,"[7, 28, 12]",0.74,0.74,0.7
