Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[65, 116, 94]",0.64,0.64,0.54
combo_1,"[65, 114, 85]",0.7,0.6,0.48
combo_2,"[65, 110, 90]",0.64,0.56,0.5
combo_3,"[65, 28, 43]",0.66,0.62,0.5
combo_4,"[65, 9, 42]",0.7,0.6,0.48
combo_5,"[65, 69, 45]",0.76,0.62,0.64
combo_6,"[65, 58, 90]",0.78,0.74,0.66
combo_7,"[65, 116, 103]",0.66,0.64,0.56
combo_8,"[65, 133, 106]",0.66,0.66,0.62
combo_9,"[65, 10, 34]",0.68,0.62,0.52
combo_10,"[65, 82, 42]",0.78,0.7,0.62
combo_11,"[65, 9, 39]",0.6,0.58,0.46
combo_12,"[65, 59, 121]",0.78,0.66,0.62
combo_13,"[65, 1, 123]",0.68,0.56,0.52
combo_14,"[65, 53, 93]",0.74,0.74,0.72
combo_15,"[65, 60, 108]",0.62,0.58,0.48
combo_16,"[65, 58, 37]",0.82,0.68,0.62
combo_17,"[65, 5, 103]",0.68,0.68,0.66
combo_18,"[65, 8, 140]",0.7,0.6,0.46
combo_19,"[65, 13, 76]",0.82,0.78,0.78
combo_20,"[65, 122, 98]",0.86,0.8,0.74
combo_21,"[65, 6, 67]",0.76,0.72,0.66
combo_22,"[65, 118, 123]",0.82,0.62,0.52
combo_23,"[65, 56, 44]",0.6,0.56,0.5
combo_24,"[65, 128, 39]",0.74,0.52,0.52
combo_25,"[65, 6, 101]",0.7,0.68,0.64
combo_26,"[65, 7, 141]",0.7,0.58,0.48
combo_27,"[65, 16, 78]",0.84,0.76,0.76
combo_28,"[65, 35, 137]",0.64,0.6,0.5
combo_29,"[65, 62, 29]",0.78,0.76,0.76
combo_30,"[65, 28, 139]",0.68,0.62,0.58
combo_31,"[65, 62, 137]",0.72,0.64,0.56
combo_32,"[65, 115, 106]",0.66,0.6,0.56
combo_33,"[65, 31, 75]",0.78,0.74,0.7
combo_34,"[65, 80, 105]",0.88,0.92,0.86
combo_35,"[65, 81, 119]",0.92,0.82,0.78
combo_36,"[65, 109, 23]",0.68,0.58,0.52
combo_37,"[65, 35, 47]",0.82,0.74,0.7
combo_38,"[65, 135, 37]",0.78,0.6,0.52
combo_39,"[65, 116, 45]",0.58,0.54,0.46
combo_40,"[65, 73, 2]",0.88,0.76,0.62
combo_41,"[65, 27, 24]",0.9,0.76,0.72
combo_42,"[65, 80, 25]",0.98,0.92,0.9
combo_43,"[65, 5, 77]",0.72,0.64,0.58
combo_44,"[65, 110, 49]",0.56,0.56,0.42
combo_45,"[65, 142, 88]",0.66,0.62,0.64
combo_46,"[65, 113, 74]",0.72,0.58,0.5
combo_47,"[65, 131, 107]",0.66,0.62,0.52
combo_48,"[65, 62, 78]",0.92,0.98,0.9
combo_49,"[65, 56, 41]",0.66,0.64,0.5
combo_50,"[65, 8, 93]",0.88,0.74,0.68
combo_51,"[65, 81, 48]",0.76,0.74,0.66
combo_52,"[65, 9, 2]",0.7,0.62,0.52
