Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[19, 9, 30, 7, 2]",0.92,0.8,0.68
combo_1,"[19, 49, 24, 45, 2]",0.96,0.82,0.76
combo_2,"[19, 33, 13, 20, 42]",0.94,0.84,0.72
combo_3,"[19, 9, 17, 45, 48]",1.0,0.9,0.84
combo_4,"[19, 9, 34, 5, 35]",0.94,0.8,0.72
combo_5,"[19, 26, 43, 45, 2]",1.0,0.92,0.72
combo_6,"[19, 23, 47, 7, 50]",0.96,0.8,0.7
combo_7,"[19, 11, 47, 7, 27]",0.94,0.8,0.62
combo_8,"[19, 37, 24, 7, 31]",0.94,0.76,0.6
combo_9,"[19, 39, 10, 7, 25]",0.96,0.72,0.62
combo_10,"[19, 44, 29, 5, 50]",1.0,0.84,0.8
combo_11,"[19, 11, 43, 7, 27]",0.94,0.74,0.56
combo_12,"[19, 22, 34, 20, 48]",0.96,0.9,0.8
combo_13,"[19, 36, 13, 45, 31]",0.94,0.76,0.76
combo_14,"[19, 28, 24, 5, 18]",0.98,0.78,0.68
combo_15,"[19, 11, 24, 20, 31]",1.0,0.88,0.84
combo_16,"[19, 39, 47, 45, 46]",1.0,0.8,0.72
combo_17,"[19, 6, 30, 20, 2]",0.98,0.92,0.92
combo_18,"[19, 11, 29, 45, 48]",1.0,0.92,0.84
combo_19,"[19, 8, 47, 20, 12]",0.98,0.8,0.72
combo_20,"[19, 44, 17, 20, 2]",1.0,0.94,0.86
combo_21,"[19, 26, 29, 5, 21]",0.98,0.82,0.78
combo_22,"[19, 49, 43, 45, 42]",0.94,0.78,0.58
combo_23,"[19, 16, 13, 45, 21]",0.9,0.68,0.56
combo_24,"[19, 16, 34, 7, 14]",0.92,0.72,0.62
combo_25,"[19, 28, 43, 7, 42]",0.92,0.74,0.48
combo_26,"[19, 23, 24, 7, 27]",0.94,0.76,0.56
combo_27,"[19, 28, 47, 45, 48]",0.96,0.8,0.74
combo_28,"[19, 16, 10, 7, 14]",0.94,0.74,0.66
combo_29,"[19, 15, 47, 7, 27]",0.9,0.74,0.66
combo_30,"[19, 44, 1, 20, 25]",0.96,0.86,0.72
combo_31,"[19, 8, 1, 20, 41]",0.88,0.8,0.64
combo_32,"[19, 15, 10, 20, 14]",1.0,0.92,0.88
combo_33,"[19, 23, 43, 20, 46]",0.96,0.88,0.7
combo_34,"[19, 49, 47, 5, 35]",0.94,0.76,0.68
combo_35,"[19, 44, 29, 45, 46]",1.0,0.88,0.82
combo_36,"[19, 15, 13, 20, 14]",1.0,0.8,0.8
combo_37,"[19, 36, 17, 20, 35]",1.0,0.92,0.9
combo_38,"[19, 28, 1, 5, 4]",0.94,0.76,0.62
combo_39,"[19, 39, 43, 20, 12]",0.96,0.84,0.62
combo_40,"[19, 23, 34, 45, 2]",1.0,0.82,0.78
combo_41,"[19, 39, 29, 5, 31]",0.94,0.78,0.7
combo_42,"[19, 37, 24, 7, 14]",0.92,0.74,0.64
combo_43,"[19, 11, 43, 45, 50]",1.0,0.88,0.68
combo_44,"[19, 23, 10, 45, 3]",0.98,0.86,0.82
combo_45,"[19, 39, 13, 7, 35]",0.92,0.72,0.54
combo_46,"[19, 36, 24, 45, 25]",1.0,0.8,0.78
combo_47,"[19, 39, 17, 45, 14]",1.0,0.88,0.8
combo_48,"[19, 22, 29, 7, 27]",0.94,0.74,0.64
combo_49,"[19, 9, 29, 5, 14]",1.0,0.84,0.82
combo_50,"[19, 23, 13, 20, 14]",0.96,0.86,0.8
combo_51,"[19, 28, 17, 45, 18]",0.96,0.84,0.76
combo_52,"[19, 44, 43, 45, 21]",0.98,0.74,0.6
combo_53,"[19, 26, 47, 5, 14]",1.0,0.88,0.86
combo_54,"[19, 36, 29, 45, 27]",0.98,0.82,0.78
combo_55,"[19, 16, 47, 7, 2]",0.92,0.7,0.58
combo_56,"[19, 39, 30, 5, 12]",0.94,0.78,0.66
combo_57,"[19, 23, 17, 45, 18]",0.98,0.86,0.8
combo_58,"[19, 33, 13, 7, 21]",0.94,0.7,0.58
combo_59,"[19, 16, 47, 20, 18]",0.9,0.78,0.72
combo_60,"[19, 44, 1, 5, 3]",0.96,0.78,0.66
combo_61,"[19, 28, 24, 7, 3]",0.92,0.76,0.62
