Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[11, 7, 1, 8, 15, 12]",0.92,0.78,0.78
combo_1,"[11, 7, 3, 10, 16, 14]",0.92,0.86,0.88
combo_2,"[11, 7, 1, 9, 15, 12]",0.92,0.8,0.8
combo_3,"[11, 6, 2, 8, 15, 12]",0.88,0.7,0.78
combo_4,"[11, 6, 2, 10, 15, 13]",0.9,0.78,0.76
combo_5,"[11, 7, 1, 10, 17, 12]",0.94,0.98,0.96
combo_6,"[11, 7, 1, 8, 16, 14]",0.9,0.76,0.72
combo_7,"[11, 7, 5, 9, 17, 12]",0.98,0.96,0.96
combo_8,"[11, 6, 2, 8, 16, 14]",0.9,0.74,0.68
combo_9,"[11, 6, 3, 10, 16, 14]",0.9,0.84,0.82
combo_10,"[11, 7, 3, 9, 16, 13]",0.9,0.86,0.84
combo_11,"[11, 7, 2, 8, 16, 13]",0.86,0.76,0.74
combo_12,"[11, 7, 5, 8, 17, 14]",0.94,0.8,0.8
combo_13,"[11, 6, 1, 8, 15, 12]",0.9,0.72,0.7
combo_14,"[11, 6, 4, 10, 16, 12]",1.0,0.94,0.94
combo_15,"[11, 6, 2, 8, 16, 12]",0.92,0.74,0.76
combo_16,"[11, 6, 5, 9, 15, 13]",0.94,0.74,0.74
combo_17,"[11, 6, 2, 9, 15, 14]",0.86,0.72,0.68
combo_18,"[11, 6, 1, 10, 17, 13]",0.94,0.82,0.86
combo_19,"[11, 6, 5, 10, 15, 13]",0.94,0.8,0.78
combo_20,"[11, 6, 4, 9, 16, 13]",0.94,0.88,0.86
combo_21,"[11, 7, 2, 10, 17, 14]",0.88,0.86,0.84
combo_22,"[11, 7, 4, 9, 16, 12]",0.96,0.98,0.96
combo_23,"[11, 6, 1, 8, 15, 13]",0.88,0.72,0.72
combo_24,"[11, 7, 1, 8, 15, 13]",0.88,0.74,0.7
combo_25,"[11, 6, 3, 9, 17, 12]",0.96,0.88,0.9
combo_26,"[11, 6, 5, 9, 17, 12]",0.98,0.88,0.9
combo_27,"[11, 6, 5, 9, 16, 12]",0.94,0.82,0.84
combo_28,"[11, 6, 2, 9, 16, 14]",0.86,0.7,0.7
combo_29,"[11, 6, 3, 8, 17, 13]",0.9,0.76,0.82
combo_30,"[11, 6, 1, 10, 15, 14]",0.9,0.76,0.74
combo_31,"[11, 6, 3, 10, 15, 14]",0.94,0.78,0.72
combo_32,"[11, 7, 1, 10, 16, 14]",0.9,0.82,0.8
combo_33,"[11, 6, 3, 9, 16, 13]",0.9,0.8,0.8
combo_34,"[11, 7, 3, 8, 17, 12]",0.98,0.9,0.88
combo_35,"[11, 7, 5, 10, 17, 12]",1.0,1.0,1.0
combo_36,"[11, 7, 3, 8, 16, 12]",0.9,0.84,0.8
combo_37,"[11, 6, 5, 8, 16, 12]",1.0,0.8,0.78
combo_38,"[11, 7, 1, 10, 17, 13]",0.94,0.92,0.9
combo_39,"[11, 6, 5, 8, 16, 14]",0.94,0.78,0.72
combo_40,"[11, 7, 1, 8, 16, 13]",0.88,0.74,0.74
combo_41,"[11, 6, 3, 8, 15, 14]",0.9,0.68,0.66
combo_42,"[11, 7, 4, 10, 15, 14]",0.98,0.86,0.86
combo_43,"[11, 7, 4, 10, 17, 13]",1.0,1.0,0.98
combo_44,"[11, 6, 4, 10, 15, 13]",0.96,0.88,0.86
combo_45,"[11, 6, 4, 9, 16, 12]",0.98,0.88,0.84
combo_46,"[11, 7, 3, 8, 17, 13]",0.92,0.86,0.86
