Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[16, 5, 13]",1.0,1.0,1.0
combo_1,"[16, 1, 15]",0.98,1.0,0.96
combo_2,"[16, 6, 13]",1.0,1.0,1.0
combo_3,"[16, 3, 15]",1.0,1.0,0.98
combo_4,"[16, 4, 12]",0.96,0.96,0.96
combo_5,"[16, 10, 9]",1.0,1.0,0.94
combo_6,"[16, 6, 12]",1.0,0.98,1.0
combo_7,"[16, 5, 15]",1.0,1.0,1.0
combo_8,"[16, 8, 12]",1.0,1.0,1.0
combo_9,"[16, 8, 13]",1.0,1.0,1.0
combo_10,"[16, 3, 12]",1.0,1.0,1.0
combo_11,"[16, 11, 14]",1.0,1.0,1.0
combo_12,"[16, 8, 15]",1.0,1.0,1.0
combo_13,"[16, 2, 15]",1.0,1.0,0.98
combo_14,"[16, 4, 15]",0.94,0.94,0.92
combo_15,"[16, 10, 12]",1.0,1.0,1.0
combo_16,"[16, 7, 12]",1.0,1.0,1.0
combo_17,"[16, 8, 14]",1.0,1.0,1.0
combo_18,"[16, 11, 13]",1.0,1.0,1.0
combo_19,"[16, 2, 9]",1.0,1.0,0.94
combo_20,"[16, 11, 9]",1.0,1.0,0.98
combo_21,"[16, 2, 12]",1.0,1.0,1.0
combo_22,"[16, 1, 13]",1.0,1.0,1.0
combo_23,"[16, 7, 15]",1.0,1.0,1.0
combo_24,"[16, 7, 14]",1.0,1.0,1.0
combo_25,"[16, 8, 9]",1.0,0.98,1.0
combo_26,"[16, 3, 14]",1.0,1.0,1.0
combo_27,"[16, 10, 15]",1.0,1.0,1.0
combo_28,"[16, 1, 14]",1.0,1.0,1.0
combo_29,"[16, 4, 9]",0.9,0.88,0.88
combo_30,"[16, 5, 9]",1.0,1.0,0.98
combo_31,"[16, 1, 12]",1.0,1.0,1.0
combo_32,"[16, 2, 13]",1.0,1.0,1.0
combo_33,"[16, 5, 12]",1.0,1.0,1.0
combo_34,"[16, 2, 14]",1.0,1.0,1.0
combo_35,"[16, 7, 9]",1.0,1.0,1.0
combo_36,"[16, 5, 14]",1.0,1.0,1.0
combo_37,"[16, 3, 13]",1.0,1.0,1.0
combo_38,"[16, 4, 14]",0.98,0.96,0.94
combo_39,"[16, 10, 14]",1.0,1.0,1.0
combo_40,"[16, 10, 13]",1.0,1.0,1.0
combo_41,"[16, 7, 13]",1.0,1.0,1.0
combo_42,"[16, 1, 9]",1.0,0.96,0.9
combo_43,"[16, 11, 15]",1.0,1.0,1.0
combo_44,"[16, 11, 12]",1.0,1.0,1.0
combo_45,"[16, 6, 14]",1.0,1.0,1.0
combo_46,"[16, 4, 13]",1.0,1.0,1.0
combo_47,"[16, 6, 15]",1.0,0.96,0.98
combo_48,"[16, 3, 9]",1.0,0.98,0.96
combo_49,"[16, 6, 9]",1.0,0.9,0.9
