Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[10, 9, 11]",1.0,0.98,1.0
combo_1,"[10, 3, 12]",1.0,1.0,1.0
combo_2,"[10, 3, 14]",1.0,1.0,1.0
combo_3,"[10, 4, 13]",1.0,1.0,1.0
combo_4,"[10, 17, 12]",1.0,1.0,0.84
combo_5,"[10, 3, 11]",1.0,1.0,1.0
combo_6,"[10, 7, 6]",1.0,1.0,1.0
combo_7,"[10, 9, 14]",1.0,1.0,0.98
combo_8,"[10, 7, 18]",1.0,1.0,1.0
combo_9,"[10, 8, 6]",1.0,1.0,0.96
combo_10,"[10, 1, 16]",1.0,1.0,1.0
combo_11,"[10, 5, 14]",1.0,1.0,1.0
combo_12,"[10, 3, 16]",1.0,1.0,1.0
combo_13,"[10, 8, 11]",1.0,0.96,0.94
combo_14,"[10, 8, 16]",1.0,0.96,0.9
combo_15,"[10, 9, 18]",1.0,1.0,1.0
combo_16,"[10, 5, 15]",1.0,1.0,1.0
combo_17,"[10, 7, 11]",1.0,1.0,1.0
combo_18,"[10, 3, 6]",1.0,1.0,1.0
combo_19,"[10, 9, 16]",1.0,1.0,1.0
combo_20,"[10, 7, 15]",1.0,1.0,1.0
combo_21,"[10, 7, 16]",1.0,1.0,1.0
combo_22,"[10, 1, 15]",1.0,1.0,1.0
combo_23,"[10, 5, 6]",1.0,1.0,1.0
combo_24,"[10, 7, 14]",1.0,1.0,0.98
combo_25,"[10, 17, 15]",1.0,1.0,0.8
combo_26,"[10, 4, 2]",1.0,1.0,1.0
combo_27,"[10, 9, 15]",1.0,1.0,1.0
combo_28,"[10, 9, 12]",1.0,1.0,1.0
combo_29,"[10, 4, 18]",1.0,1.0,1.0
combo_30,"[10, 8, 13]",1.0,0.98,0.96
combo_31,"[10, 5, 16]",1.0,1.0,1.0
combo_32,"[10, 17, 11]",1.0,0.96,0.82
combo_33,"[10, 4, 11]",1.0,1.0,1.0
combo_34,"[10, 5, 13]",1.0,1.0,1.0
combo_35,"[10, 4, 16]",1.0,1.0,1.0
combo_36,"[10, 3, 15]",1.0,1.0,1.0
combo_37,"[10, 4, 12]",1.0,1.0,1.0
combo_0,"[10, 5, 15]",1.0,1.0,1.0
combo_1,"[10, 6, 8]",1.0,1.0,0.96
combo_2,"[10, 17, 2]",1.0,0.98,0.84
combo_3,"[10, 6, 2]",1.0,1.0,1.0
combo_4,"[10, 4, 16]",1.0,1.0,1.0
combo_5,"[10, 6, 16]",1.0,1.0,1.0
combo_6,"[10, 3, 8]",1.0,1.0,1.0
combo_7,"[10, 4, 18]",1.0,1.0,1.0
combo_8,"[10, 6, 15]",1.0,1.0,1.0
combo_9,"[10, 9, 15]",1.0,1.0,1.0
combo_10,"[10, 1, 15]",1.0,1.0,1.0
combo_11,"[10, 7, 18]",1.0,1.0,1.0
combo_12,"[10, 5, 2]",1.0,1.0,1.0
combo_13,"[10, 5, 11]",1.0,1.0,1.0
combo_14,"[10, 6, 11]",1.0,1.0,1.0
combo_15,"[10, 3, 15]",1.0,1.0,1.0
combo_16,"[10, 3, 12]",1.0,1.0,1.0
combo_17,"[10, 7, 12]",1.0,1.0,1.0
combo_18,"[10, 17, 16]",1.0,0.94,0.9
combo_19,"[10, 5, 16]",1.0,1.0,1.0
combo_20,"[10, 17, 18]",1.0,1.0,0.84
combo_21,"[10, 9, 12]",1.0,1.0,1.0
combo_22,"[10, 6, 12]",1.0,1.0,1.0
combo_23,"[10, 1, 16]",1.0,0.98,0.98
combo_24,"[10, 4, 11]",1.0,1.0,1.0
combo_25,"[10, 7, 8]",1.0,0.94,0.96
combo_26,"[10, 7, 15]",1.0,1.0,1.0
combo_27,"[10, 9, 14]",1.0,0.98,0.98
combo_28,"[10, 9, 8]",1.0,0.98,0.94
combo_29,"[10, 7, 11]",1.0,0.98,0.98
combo_30,"[10, 17, 8]",1.0,0.94,0.86
combo_31,"[10, 3, 2]",1.0,1.0,1.0
combo_32,"[10, 7, 2]",1.0,1.0,1.0
combo_33,"[10, 4, 14]",1.0,1.0,1.0
combo_34,"[10, 7, 16]",1.0,1.0,0.98
combo_35,"[10, 17, 13]",1.0,1.0,0.88
combo_36,"[10, 6, 14]",1.0,1.0,0.98
combo_37,"[10, 6, 13]",1.0,1.0,0.98
combo_38,"[10, 9, 16]",1.0,1.0,0.98
combo_39,"[10, 5, 18]",1.0,1.0,1.0
combo_40,"[10, 17, 12]",1.0,1.0,0.84
combo_41,"[10, 1, 11]",0.98,1.0,1.0
combo_42,"[10, 4, 13]",1.0,1.0,1.0
combo_43,"[10, 9, 2]",1.0,1.0,1.0
combo_44,"[10, 5, 14]",1.0,1.0,1.0
combo_45,"[10, 3, 11]",1.0,1.0,1.0
combo_46,"[10, 4, 8]",1.0,1.0,0.98
combo_47,"[10, 3, 13]",1.0,1.0,1.0
combo_48,"[10, 9, 18]",1.0,1.0,1.0
combo_49,"[10, 1, 14]",1.0,1.0,1.0
combo_50,"[10, 1, 2]",1.0,1.0,1.0
combo_51,"[10, 17, 11]",1.0,0.96,0.78
