Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[8, 3, 5, 12]",1.0,1.0,1.0
combo_1,"[8, 1, 5, 10]",1.0,1.0,0.98
combo_2,"[8, 6, 5, 10]",1.0,1.0,1.0
combo_3,"[8, 4, 5, 17]",1.0,1.0,0.98
combo_4,"[8, 3, 14, 12]",1.0,0.9,0.96
combo_5,"[8, 2, 11, 15]",1.0,0.88,0.88
combo_6,"[8, 6, 14, 12]",1.0,1.0,1.0
combo_7,"[8, 6, 14, 15]",1.0,0.92,0.9
combo_8,"[8, 4, 14, 12]",1.0,0.94,0.94
combo_9,"[8, 3, 11, 12]",1.0,1.0,0.96
combo_10,"[8, 2, 13, 12]",1.0,0.92,0.94
combo_11,"[8, 1, 5, 17]",1.0,0.96,0.92
combo_12,"[8, 6, 13, 18]",1.0,0.92,0.82
combo_13,"[8, 2, 5, 7]",1.0,0.98,0.98
combo_14,"[8, 3, 14, 16]",1.0,0.9,0.9
combo_15,"[8, 6, 13, 12]",1.0,0.98,1.0
combo_16,"[8, 6, 11, 10]",1.0,0.98,0.98
combo_17,"[8, 3, 9, 15]",1.0,0.98,0.98
combo_18,"[8, 2, 14, 10]",1.0,0.94,0.86
combo_19,"[8, 3, 5, 19]",1.0,0.98,1.0
combo_20,"[8, 6, 5, 20]",1.0,1.0,1.0
combo_21,"[8, 1, 11, 12]",1.0,0.96,0.94
combo_22,"[8, 3, 11, 15]",1.0,0.9,0.92
combo_23,"[8, 2, 14, 17]",0.98,0.86,0.78
combo_24,"[8, 4, 13, 12]",1.0,0.98,0.94
combo_25,"[8, 4, 14, 16]",0.98,0.92,0.88
combo_26,"[8, 6, 11, 16]",1.0,1.0,0.98
combo_27,"[8, 1, 9, 20]",1.0,0.9,0.84
combo_28,"[8, 2, 13, 10]",1.0,0.9,0.82
combo_29,"[8, 2, 11, 7]",1.0,0.9,0.86
combo_30,"[8, 4, 9, 17]",1.0,0.98,0.94
combo_31,"[8, 3, 13, 20]",1.0,0.86,0.78
combo_32,"[8, 1, 11, 19]",1.0,0.92,0.84
combo_33,"[8, 6, 5, 7]",1.0,1.0,1.0
combo_34,"[8, 3, 13, 12]",1.0,1.0,0.94
combo_35,"[8, 3, 13, 10]",1.0,0.9,0.88
combo_36,"[8, 4, 11, 18]",1.0,0.86,0.86
combo_37,"[8, 4, 5, 10]",1.0,1.0,1.0
