Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[8, 2, 4, 12]",1.0,0.9,0.84
combo_1,"[8, 3, 6, 9]",1.0,1.0,1.0
combo_2,"[8, 7, 5, 12]",1.0,1.0,1.0
combo_3,"[8, 3, 1, 11]",1.0,0.88,0.92
combo_4,"[8, 3, 6, 10]",1.0,0.98,0.98
combo_5,"[8, 7, 5, 10]",1.0,1.0,1.0
combo_6,"[8, 7, 1, 11]",1.0,0.94,0.98
combo_7,"[8, 2, 4, 9]",1.0,0.96,0.96
combo_8,"[8, 3, 5, 11]",1.0,1.0,1.0
combo_9,"[8, 7, 6, 9]",1.0,1.0,1.0
combo_10,"[8, 7, 6, 10]",1.0,1.0,1.0
combo_11,"[8, 2, 6, 11]",1.0,0.96,0.92
combo_12,"[8, 2, 1, 10]",1.0,0.86,0.86
combo_13,"[8, 7, 4, 11]",1.0,1.0,1.0
combo_14,"[8, 3, 4, 9]",1.0,1.0,1.0
combo_15,"[8, 7, 1, 12]",1.0,0.92,0.9
combo_16,"[8, 2, 4, 10]",1.0,0.88,0.88
combo_17,"[8, 3, 4, 10]",1.0,0.98,0.98
combo_18,"[8, 3, 6, 12]",1.0,0.98,0.98
combo_19,"[8, 3, 4, 11]",1.0,0.96,0.96
combo_20,"[8, 7, 5, 11]",1.0,1.0,1.0
combo_21,"[8, 3, 1, 9]",1.0,0.96,0.98
combo_22,"[8, 3, 1, 12]",1.0,0.9,0.86
combo_23,"[8, 2, 6, 10]",1.0,0.96,0.98
combo_24,"[8, 2, 5, 9]",1.0,1.0,1.0
combo_25,"[8, 2, 1, 12]",1.0,0.82,0.82
combo_26,"[8, 2, 4, 11]",1.0,0.88,0.96
combo_27,"[8, 3, 5, 12]",1.0,1.0,1.0
combo_28,"[8, 7, 4, 10]",1.0,0.98,1.0
combo_29,"[8, 2, 5, 12]",1.0,0.96,0.94
combo_30,"[8, 3, 6, 11]",1.0,1.0,0.98
combo_31,"[8, 3, 1, 10]",1.0,0.88,0.9
combo_32,"[8, 2, 1, 9]",1.0,0.92,0.9
combo_33,"[8, 7, 6, 11]",1.0,1.0,1.0
combo_34,"[8, 2, 5, 11]",1.0,1.0,1.0
combo_35,"[8, 2, 6, 9]",1.0,0.98,1.0
combo_36,"[8, 2, 6, 12]",1.0,0.94,0.9
combo_37,"[8, 3, 5, 10]",1.0,1.0,1.0
combo_38,"[8, 2, 1, 11]",1.0,0.84,0.84
combo_39,"[8, 3, 5, 9]",1.0,1.0,1.0
combo_40,"[8, 7, 6, 12]",1.0,1.0,0.98
combo_41,"[8, 7, 1, 10]",1.0,0.96,0.96
combo_42,"[8, 7, 1, 9]",1.0,1.0,0.98
combo_43,"[8, 7, 4, 9]",1.0,1.0,1.0
combo_44,"[8, 7, 5, 9]",1.0,1.0,1.0
combo_45,"[8, 7, 4, 12]",1.0,0.98,0.96
combo_46,"[8, 3, 4, 12]",1.0,0.96,0.88
combo_47,"[8, 2, 5, 10]",1.0,1.0,1.0
