Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[12, 11, 13]",1.0,1.0,1.0
combo_1,"[12, 3, 1]",0.84,0.6,0.58
combo_2,"[12, 9, 17]",0.9,0.92,0.92
combo_3,"[12, 6, 29]",0.74,0.74,0.7
combo_4,"[12, 8, 16]",0.92,0.92,0.9
combo_5,"[12, 4, 32]",0.8,0.8,0.8
combo_6,"[12, 10, 13]",1.0,1.0,1.0
combo_7,"[12, 3, 25]",0.78,0.68,0.64
combo_8,"[12, 5, 17]",0.74,0.74,0.72
combo_9,"[12, 5, 15]",0.82,0.82,0.78
combo_10,"[12, 10, 28]",1.0,0.96,0.94
combo_11,"[12, 4, 19]",0.74,0.72,0.68
combo_12,"[12, 8, 15]",0.96,0.94,0.96
combo_13,"[12, 8, 1]",0.8,0.74,0.68
combo_14,"[12, 11, 23]",1.0,1.0,1.0
combo_15,"[12, 7, 17]",0.78,0.84,0.78
combo_16,"[12, 8, 32]",1.0,1.0,0.98
combo_17,"[12, 6, 22]",0.92,0.9,0.96
combo_18,"[12, 4, 18]",0.7,0.68,0.68
combo_19,"[12, 10, 30]",0.92,0.88,0.8
combo_20,"[12, 11, 30]",0.92,0.96,0.9
combo_21,"[12, 9, 22]",1.0,1.0,1.0
combo_22,"[12, 3, 24]",0.78,0.74,0.68
combo_23,"[12, 5, 30]",0.74,0.66,0.68
combo_24,"[12, 9, 25]",0.94,0.94,0.9
combo_25,"[12, 9, 16]",0.96,0.98,0.96
combo_26,"[12, 10, 15]",1.0,1.0,1.0
combo_27,"[12, 6, 14]",0.9,0.92,0.88
combo_28,"[12, 3, 2]",0.84,0.58,0.54
combo_29,"[12, 9, 29]",0.88,0.86,0.86
combo_30,"[12, 4, 13]",0.86,0.84,0.86
combo_31,"[12, 7, 30]",0.76,0.74,0.7
combo_32,"[12, 8, 20]",0.92,0.94,0.9
combo_33,"[12, 7, 20]",0.88,0.88,0.84
combo_34,"[12, 5, 1]",0.76,0.66,0.62
combo_35,"[12, 3, 32]",0.84,0.82,0.76
combo_36,"[12, 5, 14]",0.84,0.86,0.84
combo_37,"[12, 9, 14]",1.0,1.0,1.0
combo_38,"[12, 6, 21]",0.86,0.86,0.86
combo_39,"[12, 8, 24]",0.9,0.92,0.9
combo_40,"[12, 5, 2]",0.78,0.58,0.64
combo_41,"[12, 7, 29]",0.76,0.8,0.76
combo_42,"[12, 4, 20]",0.72,0.72,0.72
combo_43,"[12, 3, 20]",0.76,0.72,0.62
combo_44,"[12, 4, 25]",0.76,0.7,0.72
combo_45,"[12, 3, 31]",0.82,0.82,0.74
combo_46,"[12, 11, 19]",1.0,1.0,1.0
combo_47,"[12, 4, 28]",0.78,0.7,0.7
combo_48,"[12, 5, 25]",0.8,0.76,0.72
combo_49,"[12, 5, 31]",0.84,0.9,0.82
combo_50,"[12, 10, 31]",1.0,1.0,1.0
combo_51,"[12, 8, 23]",0.98,0.96,0.94
combo_52,"[12, 7, 23]",0.92,0.96,0.92
combo_53,"[12, 4, 17]",0.72,0.7,0.64
combo_54,"[12, 10, 18]",0.92,0.96,0.88
combo_55,"[12, 8, 22]",1.0,0.96,0.98
combo_56,"[12, 9, 1]",0.84,0.78,0.78
combo_57,"[12, 7, 25]",0.86,0.86,0.8
combo_58,"[12, 5, 28]",0.76,0.76,0.72
combo_59,"[12, 11, 26]",1.0,1.0,1.0
combo_60,"[12, 6, 13]",0.96,0.94,0.96
combo_61,"[12, 6, 16]",0.82,0.82,0.78
combo_62,"[12, 6, 23]",0.92,0.9,0.9
combo_63,"[12, 11, 25]",1.0,1.0,1.0
combo_64,"[12, 8, 19]",0.86,0.88,0.88
combo_65,"[12, 6, 2]",0.84,0.66,0.6
combo_66,"[12, 9, 32]",1.0,1.0,1.0
combo_67,"[12, 8, 30]",0.8,0.76,0.76
combo_68,"[12, 4, 22]",0.78,0.82,0.78
combo_69,"[12, 11, 17]",1.0,1.0,0.98
combo_70,"[12, 3, 28]",0.82,0.66,0.66
combo_71,"[12, 6, 26]",0.82,0.86,0.78
combo_72,"[12, 6, 30]",0.74,0.7,0.68
combo_73,"[12, 10, 32]",1.0,1.0,1.0
combo_74,"[12, 11, 16]",1.0,1.0,1.0
combo_75,"[12, 9, 30]",0.82,0.82,0.8
combo_76,"[12, 6, 31]",0.88,0.9,0.94
combo_77,"[12, 7, 28]",0.86,0.8,0.8
combo_78,"[12, 3, 23]",0.82,0.74,0.74
combo_79,"[12, 6, 18]",0.76,0.78,0.7
combo_80,"[12, 7, 31]",0.96,0.98,0.92
combo_81,"[12, 9, 23]",1.0,1.0,1.0
combo_82,"[12, 6, 28]",0.82,0.76,0.72
combo_83,"[12, 5, 19]",0.74,0.74,0.74
combo_84,"[12, 4, 31]",0.8,0.8,0.78
combo_85,"[12, 10, 26]",1.0,1.0,1.0
combo_0,"[12, 4, 28]",0.84,0.72,0.72
combo_1,"[12, 5, 17]",0.78,0.74,0.76
combo_2,"[12, 8, 20]",0.9,0.94,0.9
combo_3,"[12, 11, 1]",0.88,0.88,0.84
combo_4,"[12, 3, 29]",0.82,0.64,0.6
combo_5,"[12, 11, 2]",0.86,0.82,0.78
combo_6,"[12, 3, 23]",0.84,0.78,0.74
combo_7,"[12, 11, 21]",1.0,1.0,1.0
