Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[11, 8, 19, 1]",0.9,0.84,0.86
combo_1,"[11, 7, 16, 1]",0.94,0.8,0.78
combo_2,"[11, 10, 17, 12]",1.0,1.0,1.0
combo_3,"[11, 10, 17, 6]",1.0,0.94,0.96
combo_4,"[11, 13, 17, 5]",1.0,0.96,0.88
combo_5,"[11, 13, 16, 4]",0.98,0.88,0.86
combo_6,"[11, 10, 15, 6]",1.0,1.0,1.0
combo_7,"[11, 13, 17, 4]",0.96,0.84,0.86
combo_8,"[11, 7, 19, 4]",0.96,0.84,0.84
combo_9,"[11, 13, 16, 1]",0.92,0.88,0.82
combo_10,"[11, 9, 19, 3]",0.98,0.9,0.92
combo_11,"[11, 8, 16, 4]",0.96,0.88,0.92
combo_12,"[11, 8, 18, 2]",0.94,0.84,0.8
combo_13,"[11, 10, 16, 5]",1.0,1.0,1.0
combo_14,"[11, 9, 18, 14]",1.0,0.96,0.94
combo_15,"[11, 10, 19, 12]",1.0,1.0,1.0
combo_16,"[11, 8, 18, 12]",1.0,0.96,0.94
combo_17,"[11, 10, 18, 14]",1.0,0.98,1.0
combo_18,"[11, 10, 17, 4]",0.98,0.94,0.92
combo_19,"[11, 7, 15, 1]",0.96,0.84,0.84
combo_20,"[11, 13, 16, 14]",1.0,0.96,0.94
combo_21,"[11, 10, 19, 4]",1.0,1.0,1.0
combo_22,"[11, 13, 16, 6]",0.98,0.9,0.9
combo_23,"[11, 7, 17, 14]",1.0,0.92,0.82
combo_24,"[11, 8, 18, 5]",0.98,0.9,0.88
combo_25,"[11, 7, 19, 3]",0.98,0.84,0.84
combo_26,"[11, 13, 16, 5]",0.98,0.96,0.94
combo_27,"[11, 7, 15, 4]",1.0,0.86,0.86
combo_28,"[11, 9, 16, 12]",1.0,1.0,1.0
combo_29,"[11, 9, 17, 2]",0.96,0.88,0.84
combo_30,"[11, 10, 19, 14]",1.0,1.0,1.0
combo_31,"[11, 10, 17, 5]",1.0,0.98,0.98
combo_32,"[11, 9, 19, 5]",1.0,1.0,1.0
combo_33,"[11, 13, 15, 2]",0.94,0.94,0.88
combo_34,"[11, 7, 18, 6]",0.98,0.8,0.8
combo_35,"[11, 9, 15, 5]",1.0,1.0,1.0
combo_36,"[11, 8, 17, 5]",1.0,0.94,0.9
combo_37,"[11, 10, 18, 4]",1.0,0.94,0.92
combo_38,"[11, 7, 17, 6]",1.0,0.8,0.82
combo_39,"[11, 8, 16, 5]",1.0,0.94,0.94
combo_40,"[11, 13, 18, 3]",0.94,0.88,0.86
combo_41,"[11, 13, 19, 2]",0.9,0.86,0.82
combo_42,"[11, 10, 15, 12]",1.0,1.0,1.0
combo_43,"[11, 13, 18, 4]",0.94,0.86,0.84
combo_44,"[11, 7, 18, 5]",1.0,0.82,0.84
