Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[11, 8, 21, 10]",1.0,1.0,0.98
combo_1,"[11, 1, 25, 7]",0.82,0.74,0.72
combo_2,"[11, 8, 22, 12]",1.0,1.0,1.0
combo_3,"[11, 9, 21, 12]",1.0,1.0,1.0
combo_4,"[11, 8, 24, 12]",1.0,0.96,0.92
combo_5,"[11, 1, 22, 7]",0.86,0.76,0.8
combo_6,"[11, 1, 23, 14]",0.82,0.8,0.78
combo_7,"[11, 2, 20, 14]",0.82,0.74,0.74
combo_8,"[11, 6, 17, 7]",0.94,0.9,0.82
combo_9,"[11, 3, 15, 12]",1.0,1.0,1.0
combo_10,"[11, 8, 26, 10]",1.0,0.96,0.94
combo_11,"[11, 4, 20, 19]",0.9,0.74,0.72
combo_12,"[11, 4, 22, 7]",0.94,0.84,0.8
combo_13,"[11, 3, 23, 19]",0.84,0.78,0.74
combo_14,"[11, 1, 25, 19]",0.76,0.7,0.7
combo_15,"[11, 5, 15, 19]",0.94,0.88,0.86
combo_16,"[11, 1, 18, 10]",0.86,0.78,0.72
combo_17,"[11, 8, 16, 14]",1.0,0.98,0.98
combo_18,"[11, 9, 20, 19]",0.92,0.78,0.74
combo_19,"[11, 4, 16, 13]",0.96,0.96,0.96
combo_20,"[11, 8, 23, 13]",0.98,0.94,0.96
combo_21,"[11, 8, 20, 19]",1.0,0.82,0.76
combo_22,"[11, 4, 23, 14]",0.88,0.82,0.82
combo_23,"[11, 8, 26, 12]",1.0,1.0,1.0
combo_24,"[11, 2, 22, 13]",0.88,0.86,0.82
combo_25,"[11, 4, 25, 19]",0.84,0.8,0.76
combo_26,"[11, 4, 15, 10]",1.0,0.96,0.92
combo_27,"[11, 4, 23, 7]",0.88,0.8,0.76
combo_28,"[11, 3, 16, 7]",0.9,0.84,0.84
combo_29,"[11, 8, 22, 13]",1.0,1.0,0.98
combo_30,"[11, 3, 18, 7]",0.84,0.74,0.76
combo_31,"[11, 5, 21, 13]",1.0,0.9,0.9
combo_32,"[11, 3, 23, 14]",0.86,0.84,0.76
combo_33,"[11, 1, 24, 14]",0.78,0.78,0.7
combo_34,"[11, 3, 23, 7]",0.84,0.78,0.76
combo_35,"[11, 3, 17, 10]",0.94,0.88,0.88
combo_36,"[11, 6, 25, 12]",0.94,0.96,0.98
combo_37,"[11, 4, 16, 19]",0.94,0.86,0.8
combo_38,"[11, 8, 22, 19]",0.96,0.9,0.9
combo_39,"[11, 4, 25, 10]",0.88,0.84,0.8
combo_40,"[11, 3, 23, 12]",0.88,0.96,0.88
combo_41,"[11, 3, 24, 19]",0.82,0.74,0.72
combo_42,"[11, 4, 18, 7]",0.92,0.78,0.76
combo_43,"[11, 6, 18, 12]",1.0,0.96,0.96
combo_44,"[11, 8, 25, 12]",1.0,1.0,1.0
combo_45,"[11, 5, 24, 14]",0.82,0.74,0.74
combo_46,"[11, 3, 22, 19]",0.88,0.86,0.8
combo_47,"[11, 5, 18, 12]",0.94,0.86,0.84
combo_48,"[11, 1, 15, 14]",0.9,0.94,0.96
combo_49,"[11, 1, 24, 19]",0.84,0.72,0.72
combo_50,"[11, 8, 17, 7]",0.94,0.9,0.9
combo_51,"[11, 3, 24, 12]",0.88,0.86,0.86
combo_52,"[11, 9, 26, 14]",0.92,0.92,0.84
combo_53,"[11, 6, 22, 12]",0.98,0.98,0.98
combo_54,"[11, 5, 18, 14]",0.92,0.82,0.76
combo_55,"[11, 2, 23, 13]",0.9,0.8,0.82
combo_56,"[11, 8, 24, 7]",0.88,0.84,0.8
combo_57,"[11, 1, 23, 13]",0.9,0.86,0.82
combo_58,"[11, 5, 17, 19]",0.9,0.78,0.8
combo_59,"[11, 2, 25, 19]",0.82,0.76,0.72
combo_60,"[11, 9, 21, 14]",0.98,0.98,0.94
combo_61,"[11, 2, 18, 13]",0.9,0.8,0.8
combo_62,"[11, 2, 26, 13]",0.88,0.84,0.82
combo_63,"[11, 9, 22, 7]",0.94,0.82,0.84
combo_64,"[11, 5, 20, 13]",0.92,0.84,0.74
combo_65,"[11, 2, 20, 13]",0.86,0.8,0.76
combo_66,"[11, 2, 17, 7]",0.92,0.74,0.78
combo_67,"[11, 8, 18, 13]",1.0,0.96,1.0
combo_68,"[11, 5, 15, 10]",1.0,0.9,0.88
combo_69,"[11, 1, 22, 12]",0.92,0.9,0.88
combo_70,"[11, 3, 23, 10]",0.92,0.82,0.84
