Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[19, 11, 3, 4, 24]",0.96,0.92,0.92
combo_1,"[19, 7, 3, 4, 20]",0.88,0.72,0.8
combo_2,"[19, 7, 3, 4, 18]",0.9,0.74,0.74
combo_3,"[19, 11, 3, 4, 14]",0.86,0.72,0.74
combo_4,"[19, 13, 3, 4, 25]",1.0,0.96,0.94
combo_5,"[19, 16, 3, 4, 25]",1.0,1.0,1.0
combo_6,"[19, 6, 3, 4, 20]",0.84,0.78,0.76
combo_7,"[19, 17, 3, 4, 24]",1.0,0.98,0.92
combo_8,"[19, 6, 3, 4, 10]",0.84,0.68,0.72
combo_9,"[19, 8, 3, 4, 9]",0.98,0.8,0.8
combo_10,"[19, 17, 3, 4, 9]",0.9,0.78,0.8
combo_11,"[19, 8, 3, 4, 20]",0.9,0.76,0.78
combo_12,"[19, 13, 3, 4, 20]",0.92,0.78,0.8
combo_13,"[19, 16, 3, 4, 22]",0.98,0.92,0.94
combo_14,"[19, 7, 3, 4, 26]",0.88,0.8,0.84
combo_15,"[19, 2, 3, 4, 23]",1.0,1.0,1.0
combo_16,"[19, 11, 3, 4, 21]",0.94,0.84,0.82
combo_17,"[19, 15, 3, 4, 22]",0.96,0.88,0.88
combo_18,"[19, 6, 3, 4, 18]",0.86,0.76,0.82
combo_19,"[19, 2, 3, 4, 20]",0.96,0.98,0.98
combo_20,"[19, 11, 3, 4, 26]",0.94,0.9,0.92
combo_21,"[19, 13, 3, 4, 22]",0.88,0.78,0.78
combo_22,"[19, 2, 3, 4, 26]",1.0,1.0,1.0
combo_23,"[19, 17, 3, 4, 25]",1.0,1.0,1.0
combo_24,"[19, 12, 3, 4, 27]",0.98,0.94,0.92
combo_25,"[19, 5, 3, 4, 22]",0.88,0.78,0.74
combo_26,"[19, 16, 3, 4, 27]",0.96,0.98,0.96
combo_27,"[19, 17, 3, 4, 23]",1.0,0.88,0.9
combo_28,"[19, 5, 3, 4, 18]",0.9,0.78,0.78
combo_29,"[19, 8, 3, 4, 27]",0.94,0.9,0.94
combo_30,"[19, 11, 3, 4, 18]",0.9,0.82,0.8
combo_31,"[19, 15, 3, 4, 9]",0.9,0.8,0.78
combo_32,"[19, 13, 3, 4, 14]",0.88,0.72,0.72
combo_33,"[19, 5, 3, 4, 26]",0.86,0.84,0.84
combo_34,"[19, 8, 3, 4, 25]",0.98,0.96,0.96
combo_35,"[19, 2, 3, 4, 21]",0.98,0.98,1.0
combo_36,"[19, 2, 3, 4, 24]",1.0,1.0,1.0
