Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[8, 14]",0.92,0.96,0.96
combo_1,"[8, 7]",1.0,1.0,1.0
combo_2,"[8, 12]",1.0,1.0,1.0
combo_3,"[8, 4]",1.0,1.0,1.0
combo_4,"[8, 13]",1.0,1.0,1.0
combo_5,"[8, 16]",1.0,1.0,1.0
combo_6,"[8, 1]",0.82,0.84,0.84
combo_7,"[8, 2]",0.9,0.88,0.92
combo_8,"[8, 15]",1.0,1.0,1.0
combo_9,"[8, 11]",1.0,1.0,1.0
combo_10,"[8, 9]",1.0,1.0,1.0
combo_11,"[8, 6]",1.0,1.0,1.0
combo_12,"[8, 5]",1.0,1.0,1.0
combo_13,"[8, 10]",1.0,1.0,1.0
combo_14,"[8, 3]",0.8,0.8,0.78
