Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[11, 12, 26, 2, 10]",0.94,0.72,0.6
combo_1,"[11, 1, 23, 18, 3]",0.94,0.76,0.68
combo_2,"[11, 7, 13, 22, 28]",1.0,0.96,0.98
combo_3,"[11, 1, 13, 27, 20]",1.0,0.9,0.72
combo_4,"[11, 15, 21, 17, 3]",1.0,0.72,0.7
combo_5,"[11, 6, 8, 25, 20]",1.0,0.78,0.74
combo_6,"[11, 7, 8, 18, 10]",0.98,0.84,0.82
combo_7,"[11, 7, 13, 27, 20]",1.0,0.96,0.96
combo_8,"[11, 1, 13, 22, 20]",1.0,0.94,0.78
combo_9,"[11, 14, 26, 9, 28]",1.0,0.8,0.58
combo_10,"[11, 15, 13, 17, 28]",1.0,0.86,0.6
combo_11,"[11, 14, 8, 27, 24]",0.98,0.76,0.64
combo_12,"[11, 1, 23, 22, 16]",0.88,0.72,0.66
combo_13,"[11, 15, 13, 17, 10]",1.0,0.86,0.8
combo_14,"[11, 14, 13, 17, 28]",1.0,0.92,0.68
combo_15,"[11, 7, 23, 17, 20]",0.98,0.84,0.84
combo_16,"[11, 14, 13, 27, 28]",1.0,0.88,0.6
combo_17,"[11, 15, 21, 25, 3]",1.0,0.72,0.7
combo_18,"[11, 15, 5, 25, 10]",1.0,0.84,0.62
combo_19,"[11, 6, 13, 9, 3]",0.98,0.82,0.74
combo_20,"[11, 6, 5, 17, 28]",1.0,0.8,0.0
combo_21,"[11, 7, 5, 17, 10]",0.98,0.84,0.8
combo_22,"[11, 1, 26, 18, 24]",1.0,0.94,0.7
combo_23,"[11, 14, 23, 22, 3]",0.9,0.74,0.66
combo_24,"[11, 6, 13, 27, 16]",0.94,0.76,0.76
combo_25,"[11, 12, 26, 18, 16]",0.96,0.78,0.66
combo_26,"[11, 12, 8, 25, 20]",0.98,0.76,0.66
combo_27,"[11, 7, 19, 9, 24]",1.0,0.8,0.0
combo_28,"[11, 14, 21, 18, 28]",1.0,0.84,0.62
combo_29,"[11, 14, 26, 17, 10]",0.98,0.76,0.7
combo_30,"[11, 7, 13, 27, 24]",1.0,0.98,1.0
combo_31,"[11, 14, 19, 27, 16]",0.88,0.72,0.6
combo_32,"[11, 1, 19, 9, 16]",0.94,0.62,0.0
combo_33,"[11, 12, 19, 18, 10]",0.98,0.72,0.64
combo_34,"[11, 7, 23, 4, 24]",0.98,0.82,0.82
combo_35,"[11, 15, 23, 27, 24]",0.96,0.7,0.7
combo_36,"[11, 14, 5, 2, 28]",0.98,0.82,0.64
combo_37,"[11, 14, 13, 27, 16]",0.94,0.84,0.58
combo_38,"[11, 7, 5, 4, 3]",0.96,0.86,0.72
combo_39,"[11, 1, 21, 22, 28]",1.0,0.86,0.7
combo_40,"[11, 15, 19, 9, 16]",0.98,0.66,0.0
combo_41,"[11, 15, 19, 25, 10]",0.9,0.76,0.6
combo_42,"[11, 1, 23, 25, 28]",0.98,0.76,0.58
combo_43,"[11, 12, 21, 27, 3]",0.94,0.72,0.62
combo_44,"[11, 15, 23, 4, 24]",0.92,0.78,0.62
combo_45,"[11, 6, 23, 18, 3]",0.94,0.8,0.72
combo_46,"[11, 7, 21, 25, 28]",1.0,0.88,0.92
combo_47,"[11, 14, 21, 18, 20]",1.0,0.84,0.74
combo_48,"[11, 7, 21, 27, 20]",1.0,0.86,0.84
combo_49,"[11, 14, 13, 27, 3]",0.96,0.84,0.6
combo_50,"[11, 14, 8, 22, 24]",1.0,0.8,0.66
combo_51,"[11, 6, 26, 25, 3]",0.96,0.7,0.72
combo_52,"[11, 1, 5, 17, 28]",1.0,0.82,0.74
combo_53,"[11, 15, 26, 25, 10]",0.96,0.76,0.72
combo_54,"[11, 6, 19, 25, 16]",0.92,0.72,0.54
combo_55,"[11, 7, 21, 25, 16]",1.0,0.82,0.82
combo_56,"[11, 14, 19, 9, 24]",1.0,0.66,0.0
combo_57,"[11, 6, 13, 2, 3]",0.96,0.78,0.7
combo_58,"[11, 12, 5, 22, 16]",0.9,0.78,0.72
combo_59,"[11, 12, 19, 4, 10]",0.9,0.64,0.58
combo_60,"[11, 1, 13, 18, 10]",1.0,0.9,0.68
combo_61,"[11, 12, 26, 18, 3]",0.92,0.76,0.66
combo_62,"[11, 1, 5, 9, 28]",1.0,0.86,0.6
