Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[4, 2, 16]",1.0,0.96,1.0
combo_1,"[4, 17, 18]",1.0,0.9,0.86
combo_2,"[4, 6, 11]",0.96,0.88,0.92
combo_3,"[4, 13, 16]",1.0,0.9,0.88
combo_4,"[4, 1, 15]",1.0,1.0,1.0
combo_5,"[4, 6, 15]",1.0,0.9,0.9
combo_6,"[4, 12, 16]",1.0,1.0,1.0
combo_7,"[4, 17, 11]",1.0,0.92,0.88
combo_8,"[4, 2, 14]",1.0,0.9,0.9
combo_9,"[4, 5, 14]",0.98,0.94,0.96
combo_10,"[4, 13, 14]",1.0,0.82,0.8
combo_11,"[4, 13, 19]",1.0,0.84,0.84
combo_12,"[4, 6, 10]",1.0,0.88,0.86
combo_13,"[4, 2, 3]",1.0,1.0,1.0
combo_14,"[4, 12, 8]",1.0,0.98,0.98
combo_15,"[4, 6, 19]",0.98,0.92,0.96
combo_16,"[4, 2, 10]",1.0,0.82,0.0
combo_17,"[4, 9, 15]",0.94,0.88,0.82
combo_18,"[4, 6, 18]",0.96,0.88,0.88
combo_19,"[4, 5, 19]",1.0,1.0,0.96
combo_20,"[4, 9, 19]",0.98,0.96,0.86
combo_21,"[4, 7, 3]",1.0,1.0,1.0
combo_22,"[4, 7, 8]",1.0,1.0,1.0
combo_23,"[4, 1, 19]",1.0,1.0,1.0
combo_24,"[4, 1, 8]",1.0,1.0,1.0
combo_25,"[4, 1, 16]",1.0,1.0,1.0
combo_26,"[4, 17, 8]",1.0,0.92,0.86
combo_27,"[4, 13, 18]",1.0,0.84,0.84
combo_28,"[4, 9, 16]",0.98,0.92,0.9
combo_29,"[4, 12, 10]",1.0,0.92,0.98
combo_30,"[4, 17, 14]",1.0,0.86,0.8
combo_31,"[4, 9, 18]",0.96,0.9,0.84
combo_32,"[4, 12, 18]",1.0,1.0,1.0
combo_33,"[4, 1, 11]",1.0,1.0,1.0
combo_34,"[4, 12, 11]",1.0,0.98,1.0
combo_35,"[4, 2, 11]",1.0,0.94,0.94
combo_36,"[4, 7, 18]",1.0,1.0,1.0
combo_37,"[4, 5, 3]",1.0,1.0,1.0
combo_38,"[4, 9, 11]",0.94,0.88,0.86
combo_39,"[4, 6, 14]",0.92,0.84,0.82
combo_40,"[4, 7, 19]",1.0,1.0,1.0
combo_41,"[4, 5, 18]",0.98,1.0,0.96
combo_42,"[4, 6, 3]",1.0,1.0,1.0
combo_43,"[4, 12, 14]",1.0,0.98,0.94
combo_44,"[4, 5, 8]",1.0,1.0,0.96
combo_45,"[4, 12, 3]",1.0,0.98,0.0
combo_46,"[4, 1, 18]",1.0,1.0,1.0
combo_47,"[4, 7, 10]",1.0,0.96,0.96
combo_48,"[4, 12, 15]",1.0,1.0,0.98
combo_49,"[4, 2, 15]",1.0,0.94,0.96
combo_50,"[4, 17, 16]",1.0,0.92,0.9
combo_51,"[4, 9, 10]",1.0,0.8,0.82
combo_52,"[4, 13, 15]",1.0,0.9,0.86
combo_53,"[4, 9, 8]",0.98,0.88,0.84
combo_54,"[4, 7, 15]",1.0,1.0,1.0
combo_55,"[4, 17, 15]",1.0,0.86,0.82
combo_56,"[4, 7, 16]",1.0,1.0,1.0
combo_57,"[4, 2, 18]",1.0,0.96,0.98
combo_58,"[4, 5, 15]",1.0,0.94,0.94
combo_59,"[4, 5, 10]",0.98,0.86,0.9
combo_60,"[4, 9, 14]",0.92,0.88,0.8
combo_61,"[4, 17, 10]",1.0,0.9,0.84
combo_62,"[4, 7, 11]",1.0,1.0,0.98
combo_63,"[4, 1, 14]",1.0,1.0,0.98
combo_64,"[4, 13, 10]",0.96,0.84,0.82
combo_65,"[4, 1, 3]",1.0,1.0,1.0
combo_66,"[4, 7, 14]",1.0,0.98,0.96
combo_67,"[4, 13, 3]",1.0,0.98,1.0
combo_68,"[4, 5, 11]",1.0,0.98,0.96
combo_69,"[4, 5, 16]",1.0,1.0,0.96
combo_70,"[4, 12, 19]",1.0,1.0,1.0
combo_71,"[4, 13, 11]",1.0,0.9,0.72
combo_72,"[4, 9, 3]",0.98,1.0,0.98
combo_73,"[4, 2, 19]",1.0,0.98,0.98
combo_74,"[4, 17, 3]",1.0,1.0,1.0
combo_75,"[4, 6, 8]",0.98,0.88,0.88
combo_76,"[4, 13, 8]",1.0,0.94,0.86
combo_77,"[4, 1, 10]",1.0,1.0,1.0
combo_78,"[4, 2, 8]",1.0,0.78,0.0
combo_79,"[4, 6, 16]",1.0,0.96,0.94
combo_80,"[4, 17, 19]",1.0,0.94,0.98
