Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[4, 1, 36]",1.0,1.0,1.0
combo_1,"[4, 7, 14]",1.0,1.0,0.98
combo_2,"[4, 5, 15]",0.98,0.98,0.94
combo_3,"[4, 30, 44]",0.86,0.84,0.8
combo_4,"[4, 31, 3]",1.0,1.0,1.0
combo_5,"[4, 10, 15]",0.98,0.96,0.94
combo_6,"[4, 33, 41]",0.94,0.88,0.82
combo_7,"[4, 2, 41]",1.0,0.96,0.94
combo_0,"[4, 30, 3]",0.92,0.92,0.88
combo_1,"[4, 2, 25]",0.98,1.0,0.96
combo_2,"[4, 33, 42]",0.92,0.94,0.84
combo_3,"[4, 7, 3]",1.0,1.0,1.0
combo_4,"[4, 38, 22]",0.88,0.82,0.78
combo_5,"[4, 2, 14]",1.0,1.0,1.0
combo_6,"[4, 33, 37]",1.0,1.0,1.0
combo_7,"[4, 38, 36]",0.9,0.92,0.86
combo_8,"[4, 10, 12]",0.92,0.88,0.88
combo_9,"[4, 2, 42]",1.0,1.0,1.0
combo_10,"[4, 8, 44]",0.98,0.98,0.94
combo_11,"[4, 40, 14]",0.94,0.88,0.84
combo_12,"[4, 10, 24]",0.86,0.8,0.72
combo_13,"[4, 5, 43]",0.9,0.92,0.84
combo_14,"[4, 8, 36]",0.96,0.98,0.98
combo_15,"[4, 2, 19]",1.0,0.98,0.94
combo_16,"[4, 33, 45]",0.92,0.94,0.86
combo_17,"[4, 38, 17]",0.92,0.82,0.88
combo_18,"[4, 5, 45]",0.92,0.9,0.84
combo_19,"[4, 40, 17]",0.86,0.88,0.82
combo_20,"[4, 29, 45]",0.96,0.96,0.86
combo_21,"[4, 1, 24]",1.0,0.96,0.92
combo_22,"[4, 39, 12]",0.82,0.82,0.78
combo_23,"[4, 10, 23]",0.88,0.86,0.74
combo_24,"[4, 35, 44]",0.98,0.94,0.96
combo_25,"[4, 13, 24]",1.0,0.92,0.9
combo_26,"[4, 26, 15]",1.0,1.0,0.98
combo_27,"[4, 1, 44]",1.0,1.0,1.0
