Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[5, 14, 11, 21, 16]",0.86,0.7,0.64
combo_1,"[5, 14, 11, 25, 16]",1.0,0.78,0.74
combo_2,"[5, 14, 11, 26, 7]",0.94,0.68,0.7
combo_3,"[5, 10, 11, 22, 7]",0.84,0.7,0.68
combo_4,"[5, 14, 11, 26, 19]",0.92,0.82,0.82
combo_5,"[5, 4, 11, 9, 17]",0.76,0.68,0.64
combo_6,"[5, 10, 11, 26, 17]",0.86,0.82,0.82
combo_7,"[5, 2, 11, 25, 18]",1.0,0.94,0.92
combo_8,"[5, 3, 11, 27, 16]",0.96,0.82,0.84
combo_9,"[5, 20, 11, 26, 7]",0.84,0.72,0.7
combo_10,"[5, 3, 11, 27, 13]",0.98,0.86,0.88
combo_11,"[5, 14, 11, 26, 24]",0.78,0.74,0.7
combo_12,"[5, 10, 11, 25, 16]",0.98,0.88,0.86
combo_13,"[5, 1, 11, 12, 17]",0.94,0.9,0.86
combo_14,"[5, 6, 11, 12, 16]",0.94,0.78,0.8
combo_15,"[5, 10, 11, 12, 16]",0.92,0.8,0.76
combo_16,"[5, 1, 11, 27, 7]",0.9,0.78,0.8
combo_17,"[5, 3, 11, 27, 17]",0.86,0.8,0.84
combo_18,"[5, 3, 11, 9, 15]",1.0,0.86,0.86
combo_19,"[5, 4, 11, 12, 24]",0.78,0.72,0.74
combo_20,"[5, 2, 11, 21, 13]",0.92,0.8,0.8
combo_21,"[5, 8, 11, 25, 17]",0.92,0.86,0.86
combo_22,"[5, 3, 11, 12, 16]",0.94,0.88,0.86
combo_23,"[5, 8, 11, 9, 18]",0.84,0.74,0.74
combo_24,"[5, 4, 11, 25, 24]",0.84,0.74,0.8
combo_25,"[5, 6, 11, 9, 7]",0.8,0.66,0.66
combo_26,"[5, 20, 11, 22, 15]",0.9,0.82,0.8
combo_27,"[5, 1, 11, 12, 24]",0.94,0.82,0.86
combo_28,"[5, 6, 11, 21, 7]",0.84,0.7,0.68
combo_29,"[5, 3, 11, 21, 24]",0.82,0.74,0.7
combo_30,"[5, 2, 11, 12, 7]",0.98,0.8,0.8
combo_31,"[5, 10, 11, 23, 18]",0.88,0.82,0.8
combo_32,"[5, 2, 11, 22, 19]",0.92,0.88,0.9
combo_33,"[5, 2, 11, 25, 13]",1.0,0.96,0.92
combo_34,"[5, 1, 11, 9, 24]",0.82,0.76,0.72
combo_35,"[5, 8, 11, 12, 18]",0.96,0.84,0.84
combo_36,"[5, 10, 11, 26, 15]",1.0,0.96,0.94
combo_37,"[5, 3, 11, 25, 17]",0.94,0.94,0.92
combo_38,"[5, 2, 11, 22, 17]",0.84,0.78,0.72
combo_39,"[5, 3, 11, 23, 19]",0.96,0.9,0.92
combo_40,"[5, 8, 11, 26, 17]",0.9,0.78,0.8
combo_41,"[5, 4, 11, 23, 13]",0.86,0.8,0.74
combo_42,"[5, 20, 11, 23, 18]",0.86,0.76,0.78
combo_43,"[5, 1, 11, 9, 13]",0.88,0.84,0.78
combo_44,"[5, 3, 11, 27, 24]",0.84,0.76,0.74
combo_45,"[5, 1, 11, 12, 16]",0.98,0.9,0.9
combo_46,"[5, 8, 11, 9, 16]",0.9,0.74,0.7
combo_47,"[5, 8, 11, 25, 18]",0.98,0.88,0.88
combo_48,"[5, 3, 11, 26, 18]",0.94,0.9,0.88
combo_49,"[5, 8, 11, 22, 18]",0.84,0.76,0.72
combo_50,"[5, 1, 11, 23, 7]",0.96,0.82,0.8
combo_51,"[5, 3, 11, 25, 15]",1.0,1.0,1.0
combo_52,"[5, 3, 11, 21, 17]",0.86,0.78,0.76
combo_53,"[5, 20, 11, 9, 13]",0.92,0.72,0.7
combo_54,"[5, 1, 11, 22, 7]",0.9,0.76,0.76
combo_55,"[5, 1, 11, 9, 15]",1.0,0.88,0.9
combo_56,"[5, 14, 11, 12, 19]",0.9,0.78,0.8
combo_57,"[5, 14, 11, 25, 19]",1.0,0.9,0.88
combo_58,"[5, 20, 11, 12, 19]",0.88,0.88,0.84
combo_59,"[5, 2, 11, 9, 17]",0.82,0.78,0.76
combo_60,"[5, 2, 11, 21, 7]",0.84,0.76,0.7
combo_61,"[5, 6, 11, 9, 15]",0.88,0.78,0.76
combo_62,"[5, 20, 11, 25, 17]",0.9,0.8,0.8
combo_63,"[5, 3, 11, 12, 19]",1.0,0.96,0.96
combo_64,"[5, 8, 11, 22, 19]",0.9,0.82,0.78
combo_65,"[5, 3, 11, 12, 17]",0.92,0.86,0.88
combo_66,"[5, 10, 11, 25, 19]",1.0,0.94,0.94
combo_67,"[5, 2, 11, 26, 16]",0.98,0.88,0.84
combo_68,"[5, 2, 11, 22, 15]",0.96,0.9,0.92
combo_69,"[5, 8, 11, 9, 19]",0.86,0.78,0.74
combo_70,"[5, 14, 11, 27, 24]",0.78,0.66,0.66
combo_71,"[5, 3, 11, 22, 13]",0.88,0.86,0.76
combo_72,"[5, 4, 11, 9, 24]",0.74,0.66,0.64
combo_73,"[5, 6, 11, 21, 15]",0.96,0.84,0.86
combo_74,"[5, 10, 11, 21, 18]",0.84,0.76,0.72
combo_75,"[5, 6, 11, 21, 13]",0.86,0.76,0.76
combo_76,"[5, 3, 11, 12, 15]",1.0,0.98,0.98
combo_77,"[5, 1, 11, 25, 24]",0.94,0.88,0.92
combo_78,"[5, 10, 11, 27, 7]",0.86,0.72,0.72
combo_79,"[5, 1, 11, 26, 24]",0.94,0.84,0.82
combo_80,"[5, 6, 11, 22, 16]",0.9,0.72,0.72
combo_81,"[5, 2, 11, 22, 13]",0.92,0.84,0.8
combo_82,"[5, 14, 11, 9, 13]",0.86,0.68,0.6
combo_83,"[5, 1, 11, 9, 18]",0.88,0.8,0.76
combo_84,"[5, 20, 11, 26, 16]",0.88,0.78,0.74
combo_85,"[5, 8, 11, 23, 18]",0.9,0.82,0.82
combo_86,"[5, 8, 11, 21, 24]",0.8,0.72,0.66
combo_0,"[5, 6, 11, 12, 13]",0.94,0.88,0.84
combo_1,"[5, 3, 11, 12, 16]",0.98,0.84,0.84
combo_2,"[5, 3, 11, 27, 15]",0.98,0.96,0.96
combo_3,"[5, 8, 11, 26, 18]",0.92,0.84,0.9
combo_4,"[5, 2, 11, 12, 24]",0.88,0.82,0.84
combo_5,"[5, 6, 11, 12, 15]",1.0,0.96,0.98
combo_6,"[5, 4, 11, 22, 15]",0.92,0.78,0.76
combo_7,"[5, 14, 11, 21, 17]",0.74,0.7,0.68
combo_8,"[5, 1, 11, 23, 19]",1.0,0.96,0.96
combo_9,"[5, 10, 11, 23, 16]",0.88,0.74,0.72
combo_10,"[5, 1, 11, 12, 24]",0.88,0.84,0.86
combo_11,"[5, 3, 11, 27, 7]",0.88,0.76,0.74
combo_12,"[5, 6, 11, 23, 17]",0.84,0.76,0.74
combo_13,"[5, 2, 11, 22, 16]",0.9,0.76,0.76
combo_14,"[5, 6, 11, 22, 16]",0.86,0.74,0.72
combo_15,"[5, 3, 11, 26, 17]",0.88,0.82,0.82
combo_16,"[5, 2, 11, 23, 17]",0.88,0.78,0.8
combo_17,"[5, 20, 11, 21, 17]",0.82,0.7,0.66
combo_18,"[5, 2, 11, 21, 7]",0.9,0.72,0.74
combo_19,"[5, 20, 11, 22, 19]",0.9,0.74,0.76
combo_20,"[5, 6, 11, 12, 17]",0.84,0.82,0.82
combo_21,"[5, 6, 11, 25, 7]",0.98,0.86,0.84
combo_22,"[5, 10, 11, 21, 7]",0.84,0.76,0.64
combo_23,"[5, 14, 11, 23, 17]",0.76,0.7,0.66
combo_24,"[5, 2, 11, 25, 7]",1.0,0.86,0.82
combo_25,"[5, 8, 11, 25, 19]",1.0,0.92,0.94
combo_26,"[5, 2, 11, 21, 18]",0.84,0.8,0.76
combo_27,"[5, 10, 11, 25, 16]",0.98,0.84,0.82
combo_28,"[5, 10, 11, 26, 17]",0.9,0.8,0.76
combo_29,"[5, 4, 11, 22, 18]",0.8,0.72,0.7
combo_30,"[5, 8, 11, 9, 16]",0.9,0.74,0.7
combo_31,"[5, 10, 11, 12, 18]",0.92,0.88,0.86
combo_32,"[5, 14, 11, 26, 15]",0.94,0.9,0.86
combo_33,"[5, 2, 11, 21, 19]",0.94,0.86,0.88
combo_34,"[5, 14, 11, 21, 15]",0.84,0.74,0.76
combo_35,"[5, 3, 11, 23, 15]",1.0,0.96,0.94
combo_36,"[5, 10, 11, 9, 15]",0.98,0.82,0.78
combo_37,"[5, 1, 11, 12, 18]",0.98,0.98,0.94
combo_38,"[5, 20, 11, 9, 7]",0.88,0.68,0.64
combo_39,"[5, 14, 11, 12, 17]",0.84,0.7,0.72
combo_40,"[5, 1, 11, 25, 13]",1.0,0.96,0.98
combo_41,"[5, 4, 11, 27, 15]",0.9,0.86,0.84
combo_42,"[5, 10, 11, 21, 16]",0.88,0.74,0.72
combo_43,"[5, 4, 11, 22, 19]",0.84,0.78,0.76
combo_44,"[5, 4, 11, 9, 13]",0.86,0.7,0.7
combo_45,"[5, 4, 11, 21, 17]",0.78,0.68,0.72
combo_46,"[5, 3, 11, 26, 16]",0.94,0.86,0.84
combo_47,"[5, 14, 11, 23, 24]",0.74,0.68,0.68
combo_48,"[5, 6, 11, 26, 18]",0.96,0.82,0.86
combo_49,"[5, 14, 11, 21, 24]",0.72,0.68,0.64
combo_50,"[5, 20, 11, 25, 16]",0.9,0.82,0.82
combo_51,"[5, 1, 11, 23, 13]",0.96,0.92,0.9
combo_52,"[5, 14, 11, 9, 19]",0.84,0.74,0.7
combo_53,"[5, 3, 11, 23, 16]",0.92,0.84,0.78
combo_54,"[5, 20, 11, 27, 16]",0.88,0.74,0.7
combo_55,"[5, 3, 11, 12, 24]",0.92,0.78,0.84
combo_56,"[5, 8, 11, 22, 13]",0.92,0.76,0.76
combo_57,"[5, 6, 11, 21, 17]",0.78,0.74,0.7
combo_58,"[5, 8, 11, 27, 16]",0.96,0.74,0.78
combo_59,"[5, 8, 11, 26, 24]",0.84,0.76,0.76
combo_60,"[5, 1, 11, 12, 17]",0.96,0.94,0.88
combo_61,"[5, 14, 11, 22, 24]",0.76,0.64,0.62
combo_62,"[5, 2, 11, 21, 24]",0.82,0.74,0.7
combo_63,"[5, 6, 11, 12, 7]",0.92,0.78,0.78
combo_64,"[5, 2, 11, 27, 19]",0.96,0.88,0.88
combo_65,"[5, 2, 11, 25, 13]",1.0,0.96,0.96
combo_66,"[5, 1, 11, 23, 15]",1.0,1.0,1.0
combo_67,"[5, 3, 11, 21, 15]",0.98,0.9,0.9
combo_68,"[5, 6, 11, 23, 7]",0.92,0.74,0.7
combo_69,"[5, 2, 11, 25, 24]",0.9,0.82,0.82
combo_70,"[5, 3, 11, 26, 15]",1.0,0.98,0.98
combo_71,"[5, 3, 11, 26, 13]",0.96,0.88,0.86
combo_72,"[5, 1, 11, 22, 24]",0.82,0.78,0.74
combo_73,"[5, 14, 11, 27, 16]",0.9,0.7,0.66
combo_74,"[5, 4, 11, 23, 13]",0.86,0.78,0.76
combo_75,"[5, 8, 11, 23, 16]",0.94,0.74,0.76
combo_76,"[5, 20, 11, 21, 13]",0.88,0.72,0.72
combo_77,"[5, 3, 11, 22, 19]",0.9,0.84,0.88
combo_78,"[5, 6, 11, 26, 19]",0.96,0.9,0.92
combo_79,"[5, 14, 11, 9, 15]",0.82,0.76,0.68
combo_80,"[5, 3, 11, 26, 24]",0.84,0.76,0.8
combo_81,"[5, 20, 11, 26, 17]",0.82,0.76,0.8
combo_82,"[5, 4, 11, 9, 7]",0.82,0.64,0.66
combo_83,"[5, 6, 11, 21, 7]",0.86,0.74,0.66
combo_84,"[5, 6, 11, 26, 24]",0.82,0.74,0.76
combo_85,"[5, 10, 11, 9, 7]",0.9,0.68,0.62
