Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[7, 5, 3, 10]",1.0,0.94,0.88
combo_1,"[7, 4, 3, 10]",1.0,1.0,0.96
combo_2,"[7, 9, 1, 12]",1.0,0.98,0.98
combo_3,"[7, 4, 3, 12]",1.0,1.0,1.0
combo_4,"[7, 9, 3, 8]",1.0,0.9,0.88
combo_5,"[7, 9, 1, 10]",1.0,0.94,0.88
combo_6,"[7, 4, 6, 12]",1.0,1.0,1.0
combo_7,"[7, 4, 11, 12]",1.0,1.0,1.0
combo_8,"[7, 5, 11, 10]",1.0,1.0,0.96
combo_9,"[7, 9, 11, 12]",1.0,1.0,1.0
combo_10,"[7, 5, 2, 12]",1.0,1.0,1.0
combo_11,"[7, 5, 2, 10]",1.0,0.98,0.92
combo_12,"[7, 4, 1, 8]",1.0,1.0,1.0
combo_13,"[7, 9, 11, 10]",1.0,0.94,0.92
combo_14,"[7, 5, 3, 12]",1.0,1.0,1.0
combo_15,"[7, 4, 2, 10]",1.0,1.0,0.96
combo_16,"[7, 9, 6, 10]",1.0,0.92,0.86
combo_17,"[7, 4, 2, 8]",1.0,1.0,1.0
combo_18,"[7, 4, 3, 8]",1.0,1.0,0.98
combo_19,"[7, 9, 1, 8]",1.0,0.98,0.94
combo_20,"[7, 9, 2, 10]",1.0,0.92,0.9
combo_21,"[7, 5, 6, 10]",1.0,0.96,0.94
combo_22,"[7, 9, 2, 8]",1.0,0.94,0.94
combo_23,"[7, 5, 11, 8]",1.0,1.0,1.0
combo_24,"[7, 5, 11, 12]",1.0,1.0,1.0
combo_25,"[7, 9, 6, 8]",1.0,0.96,0.96
combo_26,"[7, 9, 3, 10]",1.0,0.86,0.86
combo_27,"[7, 5, 2, 8]",1.0,1.0,1.0
combo_28,"[7, 4, 11, 10]",1.0,1.0,1.0
combo_29,"[7, 4, 2, 12]",1.0,1.0,1.0
combo_30,"[7, 9, 11, 8]",1.0,0.98,1.0
combo_31,"[7, 4, 6, 10]",1.0,0.98,0.96
combo_32,"[7, 5, 1, 12]",1.0,1.0,1.0
combo_33,"[7, 9, 3, 12]",1.0,0.96,0.92
combo_34,"[7, 4, 1, 10]",1.0,1.0,1.0
combo_35,"[7, 4, 11, 8]",1.0,1.0,1.0
combo_36,"[7, 9, 6, 12]",1.0,1.0,0.98
combo_37,"[7, 9, 2, 12]",1.0,0.98,1.0
combo_38,"[7, 5, 6, 8]",1.0,0.98,1.0
combo_39,"[7, 5, 1, 8]",1.0,1.0,0.96
combo_40,"[7, 5, 3, 8]",1.0,1.0,0.92
combo_41,"[7, 5, 6, 12]",1.0,1.0,1.0
combo_42,"[7, 4, 1, 12]",1.0,1.0,1.0
combo_43,"[7, 5, 1, 10]",1.0,0.96,0.96
combo_44,"[7, 4, 6, 8]",1.0,1.0,1.0
