Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[13, 9, 14]",1.0,1.0,1.0
combo_1,"[13, 22, 25]",1.0,0.9,0.86
combo_2,"[13, 22, 24]",1.0,0.88,0.94
combo_3,"[13, 2, 12]",1.0,1.0,1.0
combo_4,"[13, 4, 26]",0.98,0.9,0.92
combo_5,"[13, 8, 24]",0.98,1.0,0.96
combo_6,"[13, 7, 26]",0.96,0.92,0.86
combo_7,"[13, 10, 25]",1.0,0.92,0.9
combo_8,"[13, 4, 25]",0.96,0.96,0.94
combo_9,"[13, 3, 20]",0.98,0.98,0.98
combo_10,"[13, 1, 12]",1.0,1.0,1.0
combo_11,"[13, 8, 15]",1.0,1.0,0.98
combo_12,"[13, 5, 15]",1.0,1.0,0.98
combo_13,"[13, 9, 16]",1.0,1.0,1.0
combo_14,"[13, 18, 14]",1.0,1.0,0.98
combo_15,"[13, 3, 24]",0.94,0.96,0.94
combo_16,"[13, 6, 16]",1.0,0.88,0.86
combo_17,"[13, 6, 17]",0.98,0.94,0.92
combo_18,"[13, 2, 14]",1.0,1.0,1.0
combo_19,"[13, 11, 14]",1.0,1.0,1.0
combo_20,"[13, 7, 17]",1.0,0.96,1.0
combo_21,"[13, 1, 23]",1.0,0.96,0.94
combo_22,"[13, 11, 15]",1.0,1.0,1.0
combo_23,"[13, 3, 12]",1.0,0.98,1.0
combo_24,"[13, 4, 20]",1.0,1.0,1.0
combo_25,"[13, 6, 24]",0.94,0.92,0.84
combo_26,"[13, 9, 25]",1.0,1.0,0.96
combo_27,"[13, 9, 24]",1.0,1.0,0.98
combo_28,"[13, 9, 19]",1.0,1.0,1.0
combo_29,"[13, 6, 25]",0.92,0.92,0.86
combo_30,"[13, 4, 16]",0.98,0.96,0.92
combo_31,"[13, 6, 20]",1.0,0.98,0.96
combo_32,"[13, 5, 14]",1.0,1.0,1.0
combo_33,"[13, 4, 17]",1.0,1.0,1.0
combo_34,"[13, 2, 24]",1.0,1.0,0.98
combo_35,"[13, 1, 25]",1.0,1.0,1.0
combo_36,"[13, 9, 15]",1.0,1.0,1.0
combo_37,"[13, 1, 19]",1.0,1.0,0.98
combo_38,"[13, 10, 19]",0.98,0.96,0.94
combo_39,"[13, 5, 19]",0.98,0.96,0.84
combo_40,"[13, 11, 19]",1.0,1.0,1.0
combo_41,"[13, 7, 24]",0.96,0.96,0.9
combo_0,"[13, 10, 22]",1.0,0.94,0.88
combo_1,"[13, 8, 14]",1.0,1.0,1.0
combo_2,"[13, 8, 26]",0.98,0.9,0.9
combo_3,"[13, 23, 12]",1.0,0.94,0.94
combo_4,"[13, 7, 20]",1.0,1.0,0.98
combo_5,"[13, 1, 14]",1.0,1.0,1.0
combo_6,"[13, 23, 25]",1.0,0.88,0.8
combo_7,"[13, 1, 25]",1.0,1.0,1.0
combo_8,"[13, 6, 14]",1.0,1.0,1.0
combo_9,"[13, 23, 18]",1.0,0.88,0.78
combo_10,"[13, 6, 24]",0.92,0.9,0.84
combo_11,"[13, 11, 12]",1.0,1.0,1.0
combo_12,"[13, 8, 18]",1.0,0.92,0.92
combo_13,"[13, 5, 12]",1.0,0.98,0.98
combo_14,"[13, 10, 18]",1.0,0.9,0.88
combo_15,"[13, 6, 25]",0.94,0.9,0.86
combo_16,"[13, 23, 19]",1.0,0.8,0.74
combo_17,"[13, 7, 16]",1.0,0.88,0.92
combo_18,"[13, 9, 22]",1.0,1.0,1.0
combo_19,"[13, 11, 26]",1.0,1.0,1.0
combo_20,"[13, 9, 14]",1.0,1.0,1.0
combo_21,"[13, 5, 14]",1.0,1.0,1.0
combo_22,"[13, 1, 22]",1.0,1.0,1.0
combo_23,"[13, 3, 17]",1.0,0.98,0.92
combo_24,"[13, 3, 21]",0.98,0.98,0.94
combo_25,"[13, 6, 26]",0.94,0.88,0.82
combo_26,"[13, 4, 26]",0.98,0.96,0.9
combo_27,"[13, 7, 25]",0.96,0.94,0.94
combo_28,"[13, 9, 21]",1.0,1.0,1.0
combo_29,"[13, 5, 19]",0.98,0.92,0.9
combo_30,"[13, 10, 15]",1.0,0.88,0.76
combo_31,"[13, 4, 24]",1.0,1.0,0.94
combo_32,"[13, 6, 18]",0.96,0.88,0.78
combo_33,"[13, 6, 21]",0.98,0.94,0.92
combo_34,"[13, 5, 24]",0.98,0.96,0.88
combo_35,"[13, 5, 22]",1.0,0.94,0.88
combo_36,"[13, 9, 26]",1.0,0.98,0.98
combo_37,"[13, 7, 12]",1.0,1.0,1.0
combo_38,"[13, 10, 26]",0.92,0.92,0.86
combo_39,"[13, 1, 20]",1.0,1.0,1.0
combo_40,"[13, 4, 14]",1.0,1.0,1.0
combo_41,"[13, 5, 21]",1.0,0.96,0.96
combo_42,"[13, 11, 20]",1.0,1.0,1.0
combo_43,"[13, 3, 16]",0.96,0.9,0.88
combo_44,"[13, 6, 22]",0.96,0.92,0.84
combo_45,"[13, 5, 15]",1.0,0.98,0.94
combo_46,"[13, 9, 19]",1.0,1.0,1.0
combo_47,"[13, 1, 16]",1.0,0.98,1.0
combo_48,"[13, 4, 17]",1.0,1.0,0.98
combo_49,"[13, 8, 21]",1.0,1.0,1.0
combo_50,"[13, 7, 18]",1.0,0.9,0.84
