Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[16, 4, 11]",0.88,0.86,0.82
combo_1,"[16, 14, 18]",0.76,0.76,0.7
combo_2,"[16, 5, 11]",0.88,0.84,0.82
combo_3,"[16, 1, 15]",1.0,1.0,1.0
combo_4,"[16, 5, 19]",0.98,0.98,0.98
combo_5,"[16, 10, 19]",0.88,0.86,0.84
combo_6,"[16, 1, 18]",0.88,0.9,0.88
combo_7,"[16, 5, 24]",1.0,1.0,1.0
combo_8,"[16, 5, 17]",0.96,0.96,0.94
combo_9,"[16, 4, 23]",1.0,1.0,1.0
combo_10,"[16, 14, 21]",0.9,0.76,0.78
combo_11,"[16, 5, 15]",1.0,1.0,1.0
combo_12,"[16, 10, 12]",0.84,0.68,0.66
combo_13,"[16, 5, 18]",0.9,0.96,0.88
combo_14,"[16, 3, 22]",1.0,1.0,1.0
combo_15,"[16, 10, 18]",0.78,0.74,0.74
combo_16,"[16, 1, 12]",0.84,0.86,0.78
combo_17,"[16, 3, 13]",1.0,0.94,0.98
combo_18,"[16, 3, 19]",1.0,1.0,1.0
combo_19,"[16, 10, 8]",0.92,0.78,0.8
combo_20,"[16, 14, 19]",0.86,0.82,0.82
combo_21,"[16, 14, 12]",0.9,0.68,0.66
combo_22,"[16, 4, 15]",1.0,1.0,1.0
combo_23,"[16, 1, 8]",0.96,0.98,0.94
combo_24,"[16, 6, 23]",1.0,1.0,0.98
combo_25,"[16, 14, 15]",0.96,0.94,0.9
combo_26,"[16, 1, 17]",0.96,0.98,0.96
combo_27,"[16, 3, 12]",0.94,0.86,0.92
combo_28,"[16, 5, 13]",0.9,0.84,0.86
combo_29,"[16, 2, 11]",0.88,0.86,0.86
combo_30,"[16, 9, 13]",0.94,0.76,0.72
combo_31,"[16, 4, 8]",1.0,1.0,0.98
combo_32,"[16, 2, 18]",0.94,0.96,0.96
combo_33,"[16, 1, 11]",0.84,0.82,0.8
combo_34,"[16, 4, 13]",0.94,0.9,0.88
combo_35,"[16, 2, 19]",1.0,1.0,1.0
combo_36,"[16, 9, 7]",0.88,0.84,0.78
combo_37,"[16, 14, 13]",0.96,0.7,0.7
combo_38,"[16, 10, 7]",0.92,0.78,0.76
combo_39,"[16, 4, 22]",1.0,1.0,1.0
combo_40,"[16, 5, 23]",1.0,1.0,1.0
combo_41,"[16, 9, 18]",0.86,0.86,0.8
combo_42,"[16, 3, 24]",1.0,1.0,1.0
combo_43,"[16, 10, 24]",0.88,0.82,0.92
combo_44,"[16, 10, 20]",0.92,0.92,0.94
combo_45,"[16, 9, 21]",0.88,0.86,0.9
combo_46,"[16, 14, 7]",0.92,0.72,0.72
combo_47,"[16, 9, 15]",0.98,0.98,0.98
combo_48,"[16, 1, 23]",1.0,1.0,1.0
combo_49,"[16, 2, 23]",1.0,1.0,1.0
combo_50,"[16, 3, 23]",1.0,1.0,1.0
combo_51,"[16, 3, 11]",0.88,0.92,0.92
combo_52,"[16, 4, 19]",1.0,1.0,1.0
combo_53,"[16, 6, 8]",0.92,0.96,0.86
combo_54,"[16, 9, 19]",0.96,0.88,0.92
combo_55,"[16, 10, 13]",0.92,0.72,0.72
combo_56,"[16, 2, 15]",1.0,1.0,1.0
combo_57,"[16, 2, 13]",0.94,0.9,0.94
combo_58,"[16, 4, 24]",1.0,1.0,1.0
combo_59,"[16, 2, 21]",0.98,1.0,1.0
combo_60,"[16, 2, 7]",0.94,0.92,0.94
combo_61,"[16, 9, 22]",0.94,0.9,0.92
combo_62,"[16, 2, 12]",0.88,0.86,0.86
combo_63,"[16, 6, 21]",0.9,0.9,0.88
combo_64,"[16, 6, 7]",0.88,0.88,0.82
combo_65,"[16, 10, 11]",0.88,0.68,0.66
combo_66,"[16, 1, 7]",0.9,0.96,0.9
combo_67,"[16, 10, 21]",0.86,0.8,0.8
combo_68,"[16, 5, 7]",0.92,0.92,0.9
combo_69,"[16, 14, 20]",0.96,0.86,0.84
combo_70,"[16, 10, 15]",0.98,0.96,0.96
combo_71,"[16, 1, 13]",0.86,0.84,0.86
combo_72,"[16, 9, 20]",0.94,0.98,0.96
combo_73,"[16, 6, 20]",0.98,1.0,0.98
combo_74,"[16, 9, 17]",0.84,0.88,0.86
combo_75,"[16, 4, 18]",0.94,0.96,0.94
combo_76,"[16, 4, 20]",1.0,1.0,1.0
combo_77,"[16, 3, 8]",1.0,1.0,1.0
combo_78,"[16, 6, 15]",1.0,1.0,1.0
combo_79,"[16, 6, 12]",0.88,0.8,0.74
combo_80,"[16, 9, 11]",0.9,0.74,0.72
combo_81,"[16, 6, 11]",0.9,0.76,0.76
combo_82,"[16, 2, 20]",1.0,1.0,1.0
combo_83,"[16, 1, 20]",1.0,1.0,1.0
combo_84,"[16, 2, 17]",1.0,1.0,1.0
combo_85,"[16, 10, 22]",0.88,0.9,0.84
combo_86,"[16, 10, 23]",0.9,0.88,0.9
combo_87,"[16, 3, 20]",1.0,1.0,1.0
combo_0,"[16, 2, 19]",1.0,1.0,1.0
combo_1,"[16, 3, 19]",1.0,1.0,1.0
combo_2,"[16, 6, 11]",0.86,0.8,0.76
combo_3,"[16, 5, 17]",0.94,0.94,0.94
combo_4,"[16, 3, 24]",1.0,1.0,1.0
combo_5,"[16, 10, 23]",0.94,0.92,0.9
combo_6,"[16, 5, 11]",0.9,0.82,0.76
combo_7,"[16, 3, 15]",1.0,1.0,1.0
combo_8,"[16, 9, 17]",0.88,0.86,0.86
combo_9,"[16, 1, 22]",1.0,0.98,1.0
combo_10,"[16, 9, 24]",0.92,0.92,0.92
combo_11,"[16, 5, 20]",1.0,1.0,1.0
combo_12,"[16, 5, 19]",1.0,0.98,1.0
combo_13,"[16, 1, 15]",1.0,1.0,1.0
combo_14,"[16, 1, 7]",0.9,0.88,0.92
combo_15,"[16, 2, 8]",0.98,1.0,1.0
combo_16,"[16, 3, 11]",0.9,0.9,0.88
combo_17,"[16, 5, 12]",0.86,0.8,0.82
combo_18,"[16, 1, 20]",1.0,1.0,1.0
combo_19,"[16, 3, 21]",1.0,1.0,1.0
combo_20,"[16, 14, 8]",0.92,0.78,0.76
combo_21,"[16, 1, 23]",1.0,1.0,1.0
combo_22,"[16, 6, 8]",0.92,0.92,0.9
combo_23,"[16, 5, 21]",0.96,0.94,0.96
combo_24,"[16, 2, 13]",0.92,0.88,0.88
combo_25,"[16, 9, 19]",0.9,0.92,0.96
combo_26,"[16, 14, 19]",0.86,0.78,0.82
combo_27,"[16, 5, 13]",0.94,0.86,0.84
combo_28,"[16, 14, 23]",0.96,0.88,0.88
combo_29,"[16, 2, 23]",1.0,1.0,1.0
combo_30,"[16, 3, 8]",1.0,1.0,1.0
combo_31,"[16, 2, 24]",1.0,1.0,1.0
combo_32,"[16, 5, 15]",1.0,1.0,1.0
combo_33,"[16, 2, 7]",0.96,1.0,0.94
combo_34,"[16, 5, 8]",0.94,0.96,0.94
combo_35,"[16, 4, 22]",1.0,1.0,1.0
combo_36,"[16, 5, 24]",0.98,1.0,1.0
combo_37,"[16, 5, 18]",0.92,0.88,0.88
combo_38,"[16, 4, 7]",0.92,0.94,0.92
combo_39,"[16, 6, 21]",0.92,0.92,0.92
combo_40,"[16, 14, 18]",0.72,0.72,0.72
combo_41,"[16, 3, 17]",1.0,1.0,1.0
combo_42,"[16, 6, 7]",0.88,0.86,0.84
combo_43,"[16, 6, 24]",0.94,0.96,0.96
combo_44,"[16, 10, 20]",0.94,0.88,0.92
combo_45,"[16, 2, 15]",1.0,1.0,1.0
combo_46,"[16, 1, 18]",0.9,0.88,0.92
combo_47,"[16, 2, 21]",1.0,0.98,0.98
combo_48,"[16, 4, 21]",1.0,1.0,1.0
combo_49,"[16, 2, 22]",1.0,1.0,1.0
combo_50,"[16, 10, 11]",0.86,0.68,0.68
combo_51,"[16, 6, 12]",0.86,0.74,0.76
combo_52,"[16, 10, 17]",0.82,0.82,0.8
combo_53,"[16, 4, 13]",0.92,0.88,0.92
combo_54,"[16, 1, 8]",0.98,0.98,0.98
