Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[9, 2, 6, 5, 11, 13, 12]",0.98,0.96,0.94
combo_1,"[9, 2, 8, 5, 10, 14, 12]",0.94,0.8,0.8
combo_2,"[9, 1, 6, 7, 10, 14, 15]",0.96,0.74,0.72
combo_3,"[9, 3, 6, 5, 17, 13, 15]",1.0,0.84,0.86
combo_4,"[9, 2, 8, 7, 11, 14, 19]",0.94,0.66,0.66
combo_5,"[9, 3, 8, 7, 18, 13, 15]",0.98,0.74,0.72
combo_6,"[9, 3, 6, 7, 17, 16, 19]",0.98,0.68,0.68
combo_7,"[9, 1, 8, 7, 10, 14, 12]",0.94,0.72,0.0
combo_8,"[9, 2, 8, 7, 10, 14, 15]",0.96,0.64,0.7
combo_9,"[9, 3, 6, 4, 10, 16, 15]",0.96,0.74,0.7
combo_10,"[9, 2, 8, 7, 11, 16, 15]",0.94,0.72,0.72
combo_11,"[9, 2, 8, 4, 11, 16, 19]",0.94,0.68,0.68
combo_12,"[9, 1, 6, 7, 18, 13, 19]",0.96,0.74,0.68
combo_13,"[9, 3, 6, 7, 18, 13, 19]",1.0,0.76,0.72
combo_14,"[9, 2, 6, 7, 11, 14, 12]",0.98,0.82,0.0
combo_15,"[9, 1, 6, 5, 18, 16, 19]",1.0,0.7,0.68
combo_16,"[9, 3, 6, 5, 11, 16, 19]",0.98,0.82,0.74
combo_17,"[9, 3, 6, 7, 11, 16, 15]",1.0,0.78,0.76
combo_18,"[9, 2, 6, 5, 11, 16, 19]",0.96,0.76,0.76
combo_19,"[9, 3, 8, 4, 10, 14, 19]",0.96,0.7,0.68
combo_20,"[9, 2, 8, 7, 10, 16, 15]",0.96,0.7,0.66
combo_21,"[9, 3, 6, 5, 17, 16, 15]",1.0,0.76,0.74
combo_22,"[9, 1, 6, 5, 18, 14, 19]",0.98,0.74,0.68
combo_23,"[9, 1, 6, 4, 11, 16, 19]",0.96,0.68,0.7
combo_24,"[9, 2, 8, 5, 17, 16, 15]",0.96,0.72,0.66
combo_25,"[9, 1, 8, 5, 11, 13, 19]",0.92,0.76,0.76
combo_26,"[9, 2, 8, 5, 17, 13, 12]",1.0,0.82,0.86
combo_27,"[9, 3, 8, 5, 18, 14, 19]",0.94,0.68,0.7
combo_28,"[9, 1, 8, 5, 18, 16, 12]",0.96,0.76,0.74
combo_29,"[9, 3, 6, 5, 18, 16, 15]",0.98,0.72,0.72
combo_30,"[9, 2, 8, 7, 17, 14, 19]",0.88,0.7,0.64
combo_31,"[9, 1, 6, 4, 10, 14, 12]",0.98,0.8,0.78
combo_32,"[9, 1, 8, 7, 17, 16, 12]",0.94,0.64,0.0
combo_33,"[9, 2, 8, 4, 18, 16, 19]",0.9,0.62,0.62
combo_34,"[9, 3, 8, 7, 18, 13, 12]",1.0,0.8,0.78
combo_35,"[9, 3, 8, 4, 18, 13, 12]",0.98,0.84,0.8
combo_36,"[9, 1, 8, 5, 17, 16, 19]",0.96,0.64,0.68
combo_37,"[9, 1, 8, 4, 18, 14, 15]",0.94,0.7,0.64
