Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[7, 12, 14, 4]",1.0,0.94,0.92
combo_1,"[7, 11, 6, 2]",1.0,1.0,1.0
combo_2,"[7, 9, 6, 2]",1.0,1.0,1.0
combo_3,"[7, 12, 14, 1]",1.0,0.98,0.96
combo_4,"[7, 11, 14, 4]",1.0,0.98,0.96
combo_5,"[7, 5, 14, 3]",1.0,1.0,1.0
combo_6,"[7, 12, 6, 4]",1.0,1.0,1.0
combo_7,"[7, 11, 6, 3]",1.0,1.0,1.0
combo_8,"[7, 11, 6, 4]",1.0,1.0,0.98
combo_9,"[7, 10, 14, 2]",1.0,0.98,1.0
combo_10,"[7, 8, 14, 4]",1.0,1.0,0.98
combo_11,"[7, 9, 14, 4]",1.0,0.92,0.96
combo_12,"[7, 9, 14, 3]",1.0,1.0,1.0
combo_13,"[7, 8, 6, 3]",1.0,1.0,1.0
combo_14,"[7, 9, 6, 3]",1.0,1.0,1.0
combo_15,"[7, 10, 6, 4]",1.0,0.98,0.98
combo_16,"[7, 5, 6, 3]",1.0,1.0,1.0
combo_17,"[7, 8, 14, 2]",1.0,1.0,1.0
combo_18,"[7, 13, 14, 3]",1.0,1.0,1.0
combo_19,"[7, 5, 6, 1]",1.0,1.0,0.98
combo_20,"[7, 11, 14, 1]",1.0,0.96,0.96
combo_21,"[7, 9, 14, 1]",1.0,0.98,0.94
combo_22,"[7, 13, 6, 4]",1.0,0.98,0.98
combo_23,"[7, 12, 14, 3]",1.0,1.0,1.0
combo_24,"[7, 9, 6, 4]",1.0,1.0,0.98
combo_25,"[7, 9, 14, 2]",1.0,0.98,0.98
combo_26,"[7, 8, 14, 1]",1.0,1.0,0.98
combo_27,"[7, 10, 6, 1]",1.0,1.0,0.98
combo_28,"[7, 5, 6, 4]",1.0,1.0,0.98
combo_29,"[7, 8, 14, 3]",1.0,1.0,1.0
combo_30,"[7, 8, 6, 2]",1.0,1.0,1.0
combo_31,"[7, 13, 14, 2]",1.0,1.0,1.0
combo_32,"[7, 12, 6, 2]",1.0,1.0,1.0
combo_33,"[7, 13, 6, 1]",1.0,1.0,1.0
combo_34,"[7, 9, 6, 1]",1.0,0.98,1.0
combo_35,"[7, 11, 6, 1]",1.0,1.0,1.0
combo_36,"[7, 10, 14, 3]",1.0,1.0,1.0
combo_37,"[7, 11, 14, 3]",1.0,1.0,1.0
combo_38,"[7, 13, 6, 2]",1.0,1.0,1.0
combo_39,"[7, 12, 14, 2]",1.0,1.0,1.0
combo_40,"[7, 11, 14, 2]",1.0,1.0,0.98
combo_41,"[7, 10, 6, 2]",1.0,1.0,1.0
combo_42,"[7, 10, 14, 4]",1.0,0.94,0.92
combo_43,"[7, 12, 6, 3]",1.0,1.0,1.0
combo_44,"[7, 10, 6, 3]",1.0,1.0,1.0
combo_45,"[7, 13, 14, 4]",1.0,0.94,0.96
combo_46,"[7, 5, 14, 2]",1.0,1.0,1.0
combo_47,"[7, 8, 6, 4]",1.0,1.0,1.0
combo_48,"[7, 5, 6, 2]",1.0,1.0,1.0
combo_49,"[7, 10, 14, 1]",1.0,0.98,0.94
combo_50,"[7, 8, 6, 1]",1.0,1.0,1.0
combo_51,"[7, 5, 14, 4]",1.0,0.94,0.94
combo_52,"[7, 13, 6, 3]",1.0,1.0,1.0
combo_53,"[7, 13, 14, 1]",1.0,0.98,0.94
combo_54,"[7, 5, 14, 1]",1.0,0.96,1.0
combo_55,"[7, 12, 6, 1]",1.0,1.0,1.0
