Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[27, 9, 14, 24]",1.0,0.92,0.94
combo_1,"[27, 4, 21, 24]",1.0,0.88,0.9
combo_2,"[27, 10, 20, 24]",1.0,0.9,0.92
combo_3,"[27, 4, 16, 25]",1.0,1.0,1.0
combo_4,"[27, 6, 15, 24]",0.92,0.8,0.78
combo_5,"[27, 5, 16, 25]",0.98,0.96,0.96
combo_6,"[27, 6, 18, 25]",0.94,0.88,0.9
combo_7,"[27, 3, 17, 24]",1.0,1.0,1.0
combo_8,"[27, 8, 17, 25]",1.0,0.98,1.0
combo_9,"[27, 10, 21, 24]",0.96,0.84,0.86
combo_10,"[27, 13, 19, 24]",0.98,0.92,0.84
combo_11,"[27, 11, 17, 24]",0.96,0.9,0.92
combo_12,"[27, 23, 14, 24]",1.0,0.9,0.92
combo_13,"[27, 13, 21, 25]",0.98,0.92,0.88
combo_14,"[27, 10, 14, 25]",0.98,0.9,0.9
combo_15,"[27, 5, 17, 26]",1.0,1.0,1.0
combo_16,"[27, 10, 15, 24]",0.98,0.86,0.84
combo_17,"[27, 1, 21, 24]",1.0,0.92,0.88
combo_18,"[27, 9, 16, 25]",1.0,1.0,1.0
combo_19,"[27, 10, 14, 26]",1.0,0.98,0.94
combo_20,"[27, 5, 19, 25]",0.98,0.88,0.88
combo_21,"[27, 9, 20, 26]",1.0,1.0,1.0
combo_22,"[27, 10, 15, 25]",0.98,0.9,0.92
combo_23,"[27, 4, 20, 24]",1.0,0.94,0.98
combo_24,"[27, 1, 19, 26]",1.0,1.0,1.0
combo_25,"[27, 13, 20, 25]",1.0,0.92,0.94
combo_26,"[27, 7, 19, 25]",0.98,0.86,0.86
combo_27,"[27, 8, 19, 26]",1.0,0.96,0.92
combo_28,"[27, 7, 14, 26]",1.0,0.92,0.9
combo_29,"[27, 3, 15, 26]",1.0,1.0,1.0
combo_30,"[27, 4, 15, 26]",1.0,0.96,1.0
combo_31,"[27, 12, 21, 25]",0.96,0.84,0.8
combo_32,"[27, 4, 14, 24]",1.0,0.92,0.88
combo_33,"[27, 11, 16, 24]",0.98,0.82,0.86
combo_34,"[27, 1, 18, 24]",0.98,0.98,0.96
combo_35,"[27, 2, 15, 26]",1.0,1.0,1.0
combo_36,"[27, 10, 17, 26]",1.0,1.0,1.0
combo_37,"[27, 12, 19, 24]",0.98,0.86,0.78
combo_38,"[27, 22, 20, 25]",1.0,0.96,0.94
combo_39,"[27, 23, 15, 24]",0.98,0.9,0.92
combo_40,"[27, 13, 21, 26]",1.0,0.98,0.94
