Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[11, 10]",0.98,0.98,1.0
combo_1,"[11, 24]",1.0,1.0,1.0
combo_2,"[11, 28]",1.0,1.0,1.0
combo_3,"[11, 14]",1.0,1.0,1.0
combo_4,"[11, 17]",1.0,1.0,1.0
combo_5,"[11, 1]",1.0,1.0,1.0
combo_6,"[11, 6]",1.0,1.0,1.0
combo_7,"[11, 21]",1.0,1.0,1.0
combo_8,"[11, 5]",1.0,1.0,1.0
combo_9,"[11, 31]",1.0,1.0,1.0
combo_10,"[11, 13]",1.0,1.0,1.0
combo_11,"[11, 32]",1.0,1.0,1.0
combo_12,"[11, 7]",1.0,0.98,0.92
combo_13,"[11, 16]",1.0,1.0,1.0
combo_14,"[11, 9]",1.0,1.0,1.0
combo_15,"[11, 25]",1.0,1.0,1.0
combo_16,"[11, 8]",1.0,1.0,0.98
combo_17,"[11, 23]",1.0,1.0,1.0
combo_18,"[11, 26]",1.0,1.0,1.0
combo_19,"[11, 12]",1.0,1.0,1.0
combo_20,"[11, 4]",1.0,1.0,1.0
combo_21,"[11, 29]",1.0,1.0,1.0
combo_22,"[11, 3]",1.0,1.0,1.0
combo_23,"[11, 15]",1.0,1.0,1.0
combo_24,"[11, 30]",1.0,1.0,1.0
combo_25,"[11, 18]",1.0,1.0,0.98
combo_26,"[11, 20]",1.0,1.0,1.0
combo_27,"[11, 27]",1.0,1.0,1.0
combo_28,"[11, 22]",1.0,1.0,1.0
combo_29,"[11, 33]",1.0,1.0,1.0
combo_30,"[11, 19]",1.0,1.0,1.0
combo_31,"[11, 2]",1.0,1.0,1.0
